step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier,val_support_evidence_corr,val_conflict_corr
1,0.6944853067398071,0.4765625,0.00692296028137207,,,,,,
2,0.6935371160507202,0.4921875,0.01262807846069336,,,,,,
3,0.69361811876297,0.4765625,0.02082514762878418,,,,,,
4,0.6930328011512756,0.5390625,0.02841496467590332,,,,,,
5,0.6931222677230835,0.515625,0.03748202323913574,,,,,,
6,0.6933561563491821,0.4296875,0.04559206962585449,,,,,,
7,0.6932868957519531,0.4609375,0.05414605140686035,,,,,,
8,0.6930730938911438,0.515625,0.06190800666809082,,,,,,
9,0.6928368806838989,0.546875,0.06906700134277344,,,,,,
10,0.69334876537323,0.484375,0.07578325271606445,0.46875,0.6937235593795776,0.03551280498504639,0.5005764365196228,0.03045337274670601,-0.0632367804646492
11,0.6917273998260498,0.5859375,0.08603024482727051,,,,,,
12,0.6950109601020813,0.4296875,0.0938413143157959,,,,,,
13,0.6919225454330444,0.546875,0.10206007957458496,,,,,,
14,0.6917957663536072,0.546875,0.11009716987609863,,,,,,
15,0.6921488046646118,0.53125,0.11827707290649414,,,,,,
16,0.6887644529342651,0.6015625,0.12552714347839355,,,,,,
17,0.6962844133377075,0.453125,0.13219094276428223,,,,,,
18,0.6971643567085266,0.4453125,0.139847993850708,,,,,,
19,0.6886205673217773,0.578125,0.14639520645141602,,,,,,
20,0.6921717524528503,0.5234375,0.15418004989624023,0.5546875,0.6897643208503723,0.03635364770889282,0.49661847949028015,-0.0033992088865488768,0.03148303180932999
21,0.6932883262634277,0.5078125,0.1707901954650879,,,,,,
22,0.6933059096336365,0.5078125,0.17832398414611816,,,,,,
23,0.6970205903053284,0.4609375,0.18688106536865234,,,,,,
24,0.6950408220291138,0.484375,0.19479703903198242,,,,,,
25,0.6965361833572388,0.4609375,0.2080380916595459,,,,,,
26,0.6897253394126892,0.5625,0.21923303604125977,,,,,,
27,0.6921741366386414,0.5234375,0.22805023193359375,,,,,,
28,0.6906065344810486,0.5546875,0.2430589199066162,,,,,,
29,0.6957069039344788,0.4609375,0.2534980773925781,,,,,,
30,0.698881208896637,0.3984375,0.2623770236968994,0.5,0.6934003829956055,0.011439740657806396,0.5002532005310059,-0.04361036419868469,0.06110354885458946
31,0.6958380341529846,0.4453125,0.2760891914367676,,,,,,
32,0.6967313885688782,0.40625,0.28749513626098633,,,,,,
33,0.6927424669265747,0.515625,0.29900527000427246,,,,,,
34,0.6937645077705383,0.4609375,0.3095722198486328,,,,,,
35,0.6933121681213379,0.4765625,0.31874990463256836,,,,,,
36,0.6931326985359192,0.4765625,0.3283650875091553,,,,,,
37,0.6940579414367676,0.3984375,0.33681321144104004,,,,,,
38,0.6931613087654114,0.5,0.34863805770874023,,,,,,
39,0.6928336024284363,0.5234375,0.35895514488220215,,,,,,
40,0.6922231912612915,0.5546875,0.3691372871398926,0.52734375,0.6926267147064209,0.02181696891784668,0.49947959184646606,-0.08349926024675369,-0.0020390970166772604
