step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.302640199661255,0.09375,0.001,0.017017841339111328,2.302640199661255,0.0,0.0,,
2,2.3031466007232666,0.03125,0.001,0.03273725509643555,2.3031466007232666,0.0,0.0,,
3,2.3024001121520996,0.109375,0.001,0.061127424240112305,2.3024001121520996,0.0,0.0,,
4,2.30257511138916,0.109375,0.001,0.08135056495666504,2.30257511138916,0.0,0.0,,
5,2.302457571029663,0.125,0.001,0.09850907325744629,2.302457571029663,0.0,0.0,,
6,2.3025739192962646,0.03125,0.001,0.11663174629211426,2.3025739192962646,0.0,0.0,,
7,2.302579402923584,0.171875,0.001,0.13503766059875488,2.302579402923584,0.0,0.0,,
8,2.3024709224700928,0.109375,0.001,0.15273356437683105,2.3024709224700928,0.0,0.0,,
9,2.301952362060547,0.09375,0.001,0.6453988552093506,2.301952362060547,0.0,0.0,,
10,2.30014705657959,0.1875,0.001,0.6851372718811035,2.30014705657959,0.0,0.0,,
11,2.2985126972198486,0.28125,0.001,0.7799384593963623,2.2985126972198486,0.0,0.0,,
12,2.2958621978759766,0.296875,0.001,0.7988801002502441,2.2958621978759766,0.0,0.0,,
13,2.2944767475128174,0.1875,0.001,0.8166778087615967,2.2944767475128174,0.0,0.0,,
14,2.290113925933838,0.359375,0.001,0.8347125053405762,2.290113925933838,0.0,0.0,,
15,2.290146827697754,0.1875,0.001,0.8570969104766846,2.290146827697754,0.0,0.0,,
16,2.2819952964782715,0.296875,0.001,0.8752129077911377,2.2819952964782715,0.0,0.0,,
17,2.282578945159912,0.140625,0.001,0.8902745246887207,2.282578945159912,0.0,0.0,,
18,2.2722842693328857,0.203125,0.001,0.9116947650909424,2.2722842693328857,0.0,0.0,,
19,2.252699136734009,0.3125,0.001,0.9313058853149414,2.252699136734009,0.0,0.0,,
20,2.2531166076660156,0.21875,0.001,0.9492001533508301,2.2531166076660156,0.0,0.0,,
21,2.251270055770874,0.171875,0.001,0.9722578525543213,2.251270055770874,0.0,0.0,,
22,2.2243142127990723,0.171875,0.001,0.9915101528167725,2.2243142127990723,0.0,0.0,,
23,2.207789421081543,0.171875,0.001,1.006120204925537,2.207789421081543,0.0,0.0,,
24,2.1624937057495117,0.140625,0.001,1.0278444290161133,2.1624937057495117,0.0,0.0,,
25,2.11549973487854,0.296875,0.001,1.0513274669647217,2.11549973487854,0.0,0.0,0.203125,0.05045434832572937
26,2.139935255050659,0.1875,0.001,1.1628222465515137,2.139935255050659,0.0,0.0,,
27,2.0784056186676025,0.109375,0.001,1.1771125793457031,2.0784056186676025,0.0,0.0,,
