step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,4.433028697967529,4.433028697967529,0.005102040711790323,0.005102040711790323,84.18600516292679,6.3955085186762135,0.001,3.2496774196624756,0.009340047836303711,0.011246204376220703,20984.903229100193,0.0,0.017146747559309006,0.25,nan,nan,nan,nan,nan
2,4.401840686798096,4.401840686798096,0.0446428582072258,0.0446428582072258,81.60093227129312,6.350513729626882,0.001,2.1615912914276123,0.008484840393066406,0.02225518226623535,26400.025177025964,0.0,0.08752579241991043,0.5,nan,nan,nan,nan,nan
3,4.3813066482543945,4.3813066482543945,0.08955223858356476,0.08955223858356476,79.94242181668334,6.320889374050461,0.001,1.78398597240448,0.0081939697265625,0.033228158950805664,24530.234636871508,0.0,-0.08429563790559769,0.75,nan,nan,nan,nan,nan
4,4.360711097717285,4.360711097717285,0.11249999701976776,0.11249999701976776,78.31280268317435,6.291176275426196,0.001,1.6807845830917358,0.008009910583496094,0.04359602928161621,29962.881295392308,0.0,-0.020731553435325623,1.0,nan,nan,nan,nan,nan
