step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.5971124172210693,0.25,0.25,1.0,0.001,319.9012451171875,0.05371713638305664,0.05676603317260742,297.85653289304327,0.0,0.8632323741912842,0.31960761547088623
2,1.625490665435791,0.3125,0.3125,1.0,0.001,4.264522075653076,0.05069589614868164,0.11061716079711914,315.60740050979615,0.0,-0.38054540753364563,-0.2372153103351593
3,1.6283372640609741,0.1875,0.1875,1.0,0.001,1.5726567506790161,0.05347299575805664,0.16826295852661133,299.21645071829215,0.0,0.25890859961509705,-0.5743706822395325
4,1.6313806772232056,0.125,0.125,1.0,0.001,2.1119067668914795,0.055024147033691406,0.228255033493042,290.781427110595,0.0,-0.3155662417411804,0.31781914830207825
5,1.6365782022476196,0.125,0.125,1.0,0.001,1.406064748764038,0.05110669136047363,0.2840709686279297,313.0705505301903,0.0,-0.016325319185853004,-0.09640844911336899
6,1.6150224208831787,0.1875,0.1875,1.0,0.001,0.8490737676620483,0.04925203323364258,0.3365180492401123,324.8596849616126,0.0,-0.21657870709896088,0.25825995206832886
7,1.5947672128677368,0.25,0.25,1.0,0.001,0.6960440278053284,0.048777103424072266,0.3892371654510498,328.0227581554945,0.0,0.06409618258476257,-0.34518271684646606
8,1.6233309507369995,0.1875,0.1875,1.0,0.001,1.4311590194702148,0.04879403114318848,0.44150304794311523,327.9089598694401,0.0,0.0677134245634079,0.07037471234798431
9,1.605145812034607,0.3125,0.3125,1.0,0.001,0.8186860680580139,0.050985097885131836,0.4967191219329834,313.8171870542958,0.0,-0.0747625008225441,0.2392328679561615
10,1.6019054651260376,0.25,0.25,1.0,0.001,0.3765580654144287,0.05059361457824707,0.5512521266937256,316.24544190758934,0.0,0.08139704912900925,0.291108101606369
11,1.640289306640625,0.0625,0.0625,1.0,0.001,1.3039618730545044,0.04998493194580078,0.6062180995941162,320.0964646175567,0.0,0.23457816243171692,0.5249416828155518
12,1.6209312677383423,0.125,0.125,1.0,0.001,0.7105055451393127,0.045886993408203125,0.6558122634887695,348.68268351483914,0.0,0.09425833076238632,-0.3882119059562683
13,1.6234198808670044,0.0625,0.0625,1.0,0.001,1.0866475105285645,0.04643988609313965,0.705747127532959,344.53142214669657,0.0,0.04553826525807381,0.21436187624931335
