edge_drive_mean,edge_drive_std,edge_resistance_mean,edge_resistance_std,edge_energy_mean,edge_energy_std,edge_output_mean,edge_output_std,drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std
0.009467988274991512,0.11198462545871735,0.24968236684799194,0.2676551043987274,-0.00610042829066515,0.013371938839554787,-0.0022148473653942347,0.07217532396316528,0.009467988274991512,0.11198462545871735,0.24968236684799194,0.2676551043987274,-0.00610042829066515,0.013371938839554787
0.0032133893109858036,0.14482226967811584,0.2672237157821655,0.31629446148872375,-0.007879601791501045,0.024944787845015526,0.0031184027902781963,0.1299629956483841,0.0032133893109858036,0.14482226967811584,0.2672237157821655,0.31629446148872375,-0.007879601791501045,0.024944787845015526
-0.002057091100141406,0.15842503309249878,0.29638269543647766,0.34152260422706604,-0.010833486914634705,0.03220453858375549,0.007743454072624445,0.16569940745830536,-0.002057091100141406,0.15842503309249878,0.29638269543647766,0.34152260422706604,-0.010833486914634705,0.03220453858375549
-0.0037133963778615,0.19415980577468872,0.3569797873497009,0.4251299202442169,-0.014624558389186859,0.04283304512500763,-0.0016926105599850416,0.22940479218959808,-0.0037133963778615,0.19415980577468872,0.3569797873497009,0.4251299202442169,-0.014624558389186859,0.04283304512500763
0.006244221702218056,0.25466015934944153,0.40728139877319336,0.4843594431877136,-0.013507535681128502,0.06274282932281494,-0.0023730574175715446,0.27345335483551025,0.006244221702218056,0.25466015934944153,0.40728139877319336,0.4843594431877136,-0.013507535681128502,0.06274282932281494
0.021426310762763023,0.2966265380382538,0.4391079545021057,0.526905357837677,-0.012674086727201939,0.09611399471759796,-0.006082519423216581,0.2999189496040344,0.021426310762763023,0.2966265380382538,0.4391079545021057,0.526905357837677,-0.012674086727201939,0.09611399471759796
0.024967143312096596,0.3190702795982361,0.4722113609313965,0.5763168931007385,-0.014461714774370193,0.1087455078959465,-0.006461114156991243,0.33165809512138367,0.024967143312096596,0.3190702795982361,0.4722113609313965,0.5763168931007385,-0.014461714774370193,0.1087455078959465
0.030390966683626175,0.34171056747436523,0.499470591545105,0.6263735294342041,-0.015397991985082626,0.12289615720510483,-0.008030612021684647,0.3564353287220001,0.030390966683626175,0.34171056747436523,0.499470591545105,0.6263735294342041,-0.015397991985082626,0.12289615720510483
0.041096046566963196,0.3547533452510834,0.5204825401306152,0.6763767600059509,-0.015414903871715069,0.13727305829524994,-0.013050708919763565,0.3746359348297119,0.041096046566963196,0.3547533452510834,0.5204825401306152,0.6763767600059509,-0.015414903871715069,0.13727305829524994
0.04933517426252365,0.37508511543273926,0.5407334566116333,0.7484310865402222,-0.015538583509624004,0.15809603035449982,-0.01459310483187437,0.3877231776714325,0.04933517426252365,0.37508511543273926,0.5407334566116333,0.7484310865402222,-0.015538583509624004,0.15809603035449982
0.051352307200431824,0.4038119614124298,0.5629914402961731,0.844310462474823,-0.016646403819322586,0.18240322172641754,-0.013058019801974297,0.40142983198165894,0.051352307200431824,0.4038119614124298,0.5629914402961731,0.844310462474823,-0.016646403819322586,0.18240322172641754
0.04419693350791931,0.4369809031486511,0.5902993679046631,0.9430423974990845,-0.020694442093372345,0.20515699684619904,-0.016220003366470337,0.4135277271270752,0.04419693350791931,0.4369809031486511,0.5902993679046631,0.9430423974990845,-0.020694442093372345,0.20515699684619904
