step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,4.431701183319092,4.431701183319092,0.010638297535479069,0.010638297535479069,84.07432115535927,6.393593319876205,0.001,0.4113108813762665,0.005174875259399414,0.00687718391418457,36329.37811564156,0.0,nan,0.25,nan,nan,nan,nan,nan
2,4.391919136047363,4.391919136047363,0.024390242993831635,0.024390242993831635,80.79532751314638,6.336199957560872,0.001,0.34028360247612,0.0034842491149902344,0.012435197830200195,70603.44765293555,0.0,nan,0.5,nan,nan,nan,nan,nan
3,4.405455589294434,4.405455589294434,0.021052632480859756,0.021052632480859756,81.89644548899629,6.355728931531646,0.001,0.3156595528125763,0.004070281982421875,0.01821732521057129,46679.812558575446,0.0,nan,0.75,nan,nan,nan,nan,nan
4,4.358455181121826,4.358455181121826,0.04545454680919647,0.04545454680919647,78.13633465538021,6.287921675741267,0.001,0.3609938323497772,0.0038750171661376953,0.02393317222595215,45419.15363317541,0.0,nan,1.0,nan,nan,nan,nan,nan
