accuracy,nll,brier,ece,group0_accuracy,group1_accuracy,worst_group_accuracy,group_accuracy_gap,group0_nll,group1_nll,worst_group_nll,group_nll_gap,group0_positive_rate,group1_positive_rate,positive_rate_gap,uncertainty_error_auc,resistance_error_auc,resistance_mean,energy_error_auc,diag_edge_drive_mean,diag_edge_drive_std,diag_edge_resistance_mean,diag_edge_resistance_std,diag_edge_energy_mean,diag_edge_energy_std,diag_edge_output_mean,diag_edge_output_std
0.4580078125,0.6976488828659058,0.504494309425354,0.05839139223098755,0.46065258979797363,0.45526838302612305,0.45526838302612305,0.005384206771850586,0.6989085078239441,0.6963441371917725,0.6989085078239441,0.002564370632171631,0.6238003373146057,0.6998011469841003,0.07600080966949463,0.47831785678863525,0.5082637071609497,0.24946792423725128,0.45881691575050354,-0.002573775127530098,0.11327876895666122,0.24946953356266022,0.26623067259788513,-0.007287728134542704,0.01389116421341896,-0.00308586866594851,0.0663134902715683
0.47705078125,0.7557910680770874,0.5582152605056763,0.1740417629480362,0.4923224449157715,0.46123257279396057,0.46123257279396057,0.031089872121810913,0.7536543607711792,0.7580042481422424,0.7580042481422424,0.004349887371063232,0.2639155387878418,0.30218687653541565,0.03827133774757385,0.5553481578826904,0.3821001648902893,0.27523118257522583,0.3783595860004425,-0.025073964148759842,0.16056479513645172,0.27545326948165894,0.3502294421195984,-0.02324574440717697,0.05393515154719353,-0.0005709666293114424,0.1345013827085495
0.43798828125,0.9834401607513428,0.7334069013595581,0.33002105355262756,0.4452974796295166,0.4304174780845642,0.4304174780845642,0.014880001544952393,0.9832660555839539,0.9836203455924988,0.9836203455924988,0.0003542900085449219,0.4088291525840759,0.42047712206840515,0.011647969484329224,0.5261713266372681,0.36793753504753113,0.31366705894470215,0.3342263698577881,-0.020847138017416,0.23620814085006714,0.31468525528907776,0.4410470724105835,-0.036604057997465134,0.09831976890563965,0.0012807128950953484,0.21543565392494202
0.42578125,1.1820898056030273,0.8381384611129761,0.405040979385376,0.42706331610679626,0.4244532585144043,0.4244532585144043,0.0026100575923919678,1.178566575050354,1.1857388019561768,1.1857388019561768,0.007172226905822754,0.44433778524398804,0.390656054019928,0.05368173122406006,0.5385802984237671,0.35828378796577454,0.3597496747970581,0.33632513880729675,-0.00039418553933501244,0.30952709913253784,0.3612056374549866,0.5296000242233276,-0.0383724570274353,0.11793294548988342,0.002393512288108468,0.2781776189804077
0.43798828125,1.3087143898010254,0.881963312625885,0.4193861186504364,0.43857964873313904,0.4373757243156433,0.4373757243156433,0.0012039244174957275,1.321730375289917,1.2952326536178589,1.321730375289917,0.026497721672058105,0.45969289541244507,0.44731608033180237,0.0123768150806427,0.5170454382896423,0.3666222095489502,0.40154069662094116,0.35341086983680725,0.030986927449703217,0.37448984384536743,0.40298253297805786,0.5958346128463745,-0.03397766873240471,0.12828528881072998,0.005326549522578716,0.32610172033309937
0.44970703125,1.3731322288513184,0.8863361477851868,0.4227701425552368,0.44433778524398804,0.45526838302612305,0.44433778524398804,0.01093059778213501,1.4078277349472046,1.3371951580047607,1.4078277349472046,0.07063257694244385,0.4673704206943512,0.4652087390422821,0.002161681652069092,0.524755597114563,0.3720734715461731,0.4442894160747528,0.35754990577697754,0.05708710849285126,0.4367184042930603,0.4462149143218994,0.6999571323394775,-0.028753656893968582,0.14406026899814606,0.006056228186935186,0.37420952320098877
0.44775390625,1.4482781887054443,0.9029325842857361,0.42876020073890686,0.4424184262752533,0.4532802999019623,0.4424184262752533,0.010861873626708984,1.4899094104766846,1.4051573276519775,1.4899094104766846,0.08475208282470703,0.46545103192329407,0.4592445194721222,0.006206512451171875,0.5183521509170532,0.3611438274383545,0.48643603920936584,0.34992146492004395,0.07611824572086334,0.4904641807079315,0.4888148009777069,0.7754907011985779,-0.023517485707998276,0.16365505754947662,0.0076447539031505585,0.4135468602180481
0.451171875,1.5142511129379272,0.9078648686408997,0.43310293555259705,0.44721686840057373,0.45526838302612305,0.44721686840057373,0.008051514625549316,1.5533511638641357,1.4737517833709717,1.5533511638641357,0.07959938049316406,0.4587332010269165,0.4393638074398041,0.019369393587112427,0.5258758068084717,0.3641572594642639,0.5263458490371704,0.3644596040248871,0.09194619953632355,0.5405285954475403,0.5283908247947693,0.864303708076477,-0.018276352435350418,0.18859367072582245,0.007492994889616966,0.4519425928592682
0.453125,1.5186856985092163,0.8944607973098755,0.42886149883270264,0.4587332010269165,0.44731608033180237,0.44731608033180237,0.011417120695114136,1.57695472240448,1.4583314657211304,1.57695472240448,0.11862325668334961,0.42226487398147583,0.4453279972076416,0.02306312322616577,0.5318369269371033,0.3638816177845001,0.5663203597068787,0.3894011676311493,0.09978577494621277,0.5802748799324036,0.5680009126663208,0.9304383397102356,-0.014767013490200043,0.21448208391666412,0.0064290957525372505,0.4845464527606964
0.45166015625,1.5603646039962769,0.9018514752388,0.4314650297164917,0.4500959515571594,0.4532802999019623,0.4500959515571594,0.0031843483448028564,1.602724313735962,1.516488790512085,1.602724313735962,0.08623552322387695,0.45969289541244507,0.4373757243156433,0.022317171096801758,0.5247931480407715,0.3648817241191864,0.5907655954360962,0.42019107937812805,0.11222939193248749,0.6156699061393738,0.5931063294410706,0.9837755560874939,-0.010681169107556343,0.24031025171279907,0.0062006618827581406,0.5161263942718506
