step,train_loss,wall_clock_time_sec,eval_action_accuracy,eval_unsafe_action_rate,eval_expected_utility,eval_risk_weighted_reward,eval_approval_precision,eval_approval_recall,eval_risk_corr,eval_ece
1,1.4111003875732422,0.08273458480834961,,,,,,,,
2,1.4067083597183228,0.10317492485046387,,,,,,,,
3,1.4065653085708618,0.11583876609802246,,,,,,,,
4,1.409226417541504,0.1295788288116455,,,,,,,,
5,1.412340521812439,0.14380621910095215,,,,,,,,
6,1.4068870544433594,0.1572413444519043,,,,,,,,
7,1.4145859479904175,0.17275428771972656,,,,,,,,
8,1.4051011800765991,0.18743252754211426,,,,,,,,
9,1.4099576473236084,0.20238828659057617,,,,,,,,
10,1.4055187702178955,0.217454195022583,,,,,,,,
11,1.4035543203353882,0.23157334327697754,,,,,,,,
12,1.4063611030578613,0.24760723114013672,,,,,,,,
13,1.4075379371643066,0.26143622398376465,,,,,,,,
14,1.4024240970611572,0.2766702175140381,,,,,,,,
15,1.4040566682815552,0.29028964042663574,,,,,,,,
16,1.4039061069488525,0.30568766593933105,,,,,,,,
17,1.40528404712677,0.32028698921203613,,,,,,,,
18,1.402703046798706,0.33588385581970215,,,,,,,,
19,1.4069534540176392,0.3512442111968994,,,,,,,,
20,1.4014736413955688,0.3653542995452881,,,,,,,,
21,1.4100369215011597,0.3824453353881836,,,,,,,,
22,1.4042835235595703,0.40364551544189453,,,,,,,,
23,1.4055702686309814,0.4183785915374756,,,,,,,,
24,1.401972770690918,0.43387627601623535,,,,,,,,
25,1.4089332818984985,0.4479668140411377,0.375,0.06640625,0.4856945276260376,-0.12274573743343353,0.140625,0.336448609828949,-0.07871963828802109,0.11658145487308502
26,1.40408194065094,0.5742101669311523,,,,,,,,
27,1.4120457172393799,0.5879034996032715,,,,,,,,
28,1.4060962200164795,0.6016650199890137,,,,,,,,
29,1.400680422782898,0.6161472797393799,,,,,,,,
30,1.4059945344924927,0.6297910213470459,,,,,,,,
31,1.4053980112075806,0.6444003582000732,,,,,,,,
32,1.3962372541427612,0.6586291790008545,,,,,,,,
33,1.4040756225585938,0.6729469299316406,,,,,,,,
34,1.4086946249008179,0.6879627704620361,,,,,,,,
35,1.3984676599502563,0.7015020847320557,,,,,,,,
36,1.4011805057525635,0.7163569927215576,,,,,,,,
37,1.4019744396209717,0.7350332736968994,,,,,,,,
38,1.397619605064392,0.7497830390930176,,,,,,,,
39,1.396579384803772,0.7648971080780029,,,,,,,,
40,1.4027076959609985,0.7800312042236328,,,,,,,,
41,1.4053282737731934,0.7944691181182861,,,,,,,,
42,1.3963326215744019,0.8107931613922119,,,,,,,,
43,1.3883424997329712,0.8269867897033691,,,,,,,,
