step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.6161025762557983,0.21875,0.21875,1.0,0.001,109.03058624267578,0.029325246810913086,0.07644128799438477,2182.419824551419,96.2001953125
2,1.6373966932296753,0.15625,0.15625,1.0,0.001,7.222707748413086,0.012086629867553711,0.09061527252197266,5295.107130880758,96.2001953125
3,1.6140127182006836,0.203125,0.203125,1.0,0.001,5.493612289428711,0.011576414108276367,0.10659289360046387,5528.4822572340645,96.2001953125
4,1.6293721199035645,0.15625,0.15625,1.0,0.001,3.923779249191284,0.013910055160522461,0.12426471710205078,4600.9882248084605,96.2001953125
5,1.606121301651001,0.234375,0.234375,1.0,0.001,1.907408595085144,0.011116743087768555,0.13953924179077148,5757.081862440217,96.2001953125
6,1.6107546091079712,0.21875,0.21875,1.0,0.001,2.1463022232055664,0.010822057723999023,0.15452790260314941,5913.847590932123,96.2001953125
7,1.6195911169052124,0.171875,0.171875,1.0,0.001,1.988396167755127,0.013653755187988281,0.17418599128723145,4687.355172172941,96.2001953125
8,1.6207255125045776,0.15625,0.15625,1.0,0.001,1.9640697240829468,0.010726451873779297,0.18886637687683105,5966.558257390531,96.2001953125
9,1.614673137664795,0.171875,0.171875,1.0,0.001,1.8639410734176636,0.011482715606689453,0.20629334449768066,5573.594452057639,96.2001953125
10,1.6220892667770386,0.203125,0.203125,1.0,0.001,1.9627704620361328,0.012925386428833008,0.2232658863067627,4951.496061830188,96.2001953125
11,1.622300148010254,0.140625,0.140625,1.0,0.001,1.8929253816604614,0.012705802917480469,0.24157476425170898,5037.068528109285,96.2001953125
12,1.614755392074585,0.28125,0.28125,1.0,0.001,1.6161322593688965,0.011308908462524414,0.2586531639099121,5659.255286403981,96.2001953125
13,1.60616934299469,0.28125,0.28125,1.0,0.001,1.4262959957122803,0.011544227600097656,0.2760038375854492,5543.896241222636,96.2001953125
14,1.607295274734497,0.234375,0.234375,1.0,0.001,1.1221842765808105,0.011525392532348633,0.2946646213531494,5552.956206946485,96.2001953125
15,1.604584813117981,0.203125,0.203125,1.0,0.001,1.4983980655670166,0.011200666427612305,0.3108372688293457,5713.945720428276,96.2001953125
16,1.6127815246582031,0.125,0.125,1.0,0.001,1.6762712001800537,0.010939836502075195,0.3263061046600342,5850.1788384003485,96.2001953125
17,1.606914758682251,0.234375,0.234375,1.0,0.001,0.7963906526565552,0.013689041137695312,0.3459603786468506,4675.272676605824,96.2001953125
18,1.6181514263153076,0.1875,0.1875,1.0,0.001,0.7904953360557556,0.01076054573059082,0.36132192611694336,5947.65373451798,96.2001953125
19,1.600748062133789,0.25,0.25,1.0,0.001,1.8761848211288452,0.012096643447875977,0.3796265125274658,5290.7238504444485,96.2001953125
20,1.5967198610305786,0.3125,0.3125,1.0,0.001,0.8307551145553589,0.013422489166259766,0.3993964195251465,4768.117091193293,96.2001953125
21,1.606068730354309,0.140625,0.140625,1.0,0.001,0.9596467614173889,0.02087259292602539,0.42926597595214844,3066.2218262399197,96.2001953125
22,1.6073148250579834,0.28125,0.28125,1.0,0.001,1.1387192010879517,0.017214298248291016,0.45708298683166504,3717.839616631118,96.2001953125
23,1.5958889722824097,0.359375,0.359375,1.0,0.001,1.8030610084533691,0.01899886131286621,0.4860873222351074,3368.6229372419593,96.2001953125
24,1.6268348693847656,0.25,0.25,1.0,0.001,0.9338857531547546,0.018543004989624023,0.5138132572174072,3451.4362712954035,96.2001953125
25,1.5881553888320923,0.203125,0.203125,1.0,0.001,0.9210971593856812,0.01899123191833496,0.5438449382781982,3369.976222459356,96.2001953125
26,1.6261446475982666,0.171875,0.171875,1.0,0.001,1.4595905542373657,0.016595125198364258,0.5706815719604492,3856.5542130594067,96.2001953125
27,1.6351869106292725,0.140625,0.140625,1.0,0.001,1.416886568069458,0.018992185592651367,0.5992038249969482,3369.807002347506,96.2001953125
28,1.5855852365493774,0.34375,0.34375,1.0,0.001,0.7141202092170715,0.017679929733276367,0.6298251152038574,3619.9238891511022,96.2001953125
29,1.610592246055603,0.1875,0.1875,1.0,0.001,0.6815606355667114,0.014651775360107422,0.6552553176879883,4368.071337911283,96.2001953125
30,1.5888357162475586,0.21875,0.21875,1.0,0.001,1.232424020767212,0.017838001251220703,0.6833608150482178,3587.845919431153,96.2001953125
31,1.5981110334396362,0.21875,0.21875,1.0,0.001,0.7988998293876648,0.016950368881225586,0.7111673355102539,3775.72903861031,96.2001953125
32,1.6162495613098145,0.203125,0.203125,1.0,0.001,0.9328227043151855,0.017395973205566406,0.7387773990631104,3679.012334850063,96.2001953125
33,1.5920976400375366,0.28125,0.28125,1.0,0.001,1.1467608213424683,0.01645517349243164,0.7655806541442871,3889.3543133675275,96.2001953125
34,1.5891824960708618,0.265625,0.265625,1.0,0.001,1.6900601387023926,0.017652273178100586,0.7936170101165771,3625.5953754102566,96.2001953125
35,1.6040492057800293,0.21875,0.21875,1.0,0.001,1.1908180713653564,0.020051956176757812,0.8255534172058105,3191.7085513174165,96.2001953125
36,1.5838216543197632,0.3125,0.3125,1.0,0.001,1.0542395114898682,0.010048866271972656,0.8462193012237549,6368.877669165797,96.2001953125
37,1.5957763195037842,0.328125,0.328125,1.0,0.001,0.8723130226135254,0.022062301635742188,0.879582405090332,2900.8759401746347,96.2001953125
38,1.6036100387573242,0.265625,0.265625,1.0,0.001,1.4662772417068481,0.017270326614379883,0.9088704586029053,3705.7782072697655,96.2001953125
39,1.6081593036651611,0.21875,0.21875,1.0,0.001,1.3988898992538452,0.009733438491821289,0.9291303157806396,6575.271426821801,96.2001953125
40,1.564061164855957,0.359375,0.359375,1.0,0.001,1.326230525970459,0.020128250122070312,0.9615306854248047,3179.610726807543,96.2001953125
41,1.5776158571243286,0.375,0.375,1.0,0.001,1.4630197286605835,0.01225733757019043,0.9865851402282715,5221.362276555601,96.2001953125
42,1.6142058372497559,0.21875,0.21875,1.0,0.001,1.9286963939666748,0.013002872467041016,1.0104167461395264,4921.989365213246,96.2001953125
43,1.5871702432632446,0.28125,0.28125,1.0,0.001,1.2803300619125366,0.013457536697387695,1.0350563526153564,4755.699459650988,96.2001953125
44,1.5854445695877075,0.234375,0.234375,1.0,0.001,1.4266232252120972,0.013004541397094727,1.0593576431274414,4921.357704647538,96.2001953125
45,1.5797622203826904,0.328125,0.328125,1.0,0.001,1.5247018337249756,0.012977838516235352,1.0838077068328857,4931.483769037165,96.2001953125
46,1.5681216716766357,0.375,0.375,1.0,0.001,1.7963945865631104,0.012891054153442383,1.1081550121307373,4964.683201094897,96.2001953125
47,1.5927292108535767,0.28125,0.28125,1.0,0.001,1.2050487995147705,0.012787818908691406,1.1326136589050293,5004.7627712730255,96.2001953125
48,1.5895596742630005,0.28125,0.28125,1.0,0.001,0.6232863068580627,0.012789011001586914,1.1559934616088867,5004.2962659159975,96.2001953125
49,1.566645622253418,0.328125,0.328125,1.0,0.001,1.1104282140731812,0.01360011100769043,1.1814942359924316,4705.843942289151,96.2001953125
50,1.5659444332122803,0.3125,0.3125,1.0,0.001,1.6600109338760376,0.019153594970703125,1.209172010421753,3341.409281019717,96.2001953125
51,1.574522614479065,0.3125,0.3125,1.0,0.001,1.3381510972976685,0.019703149795532227,1.2420063018798828,3248.2116140898584,96.2001953125
52,1.5611724853515625,0.359375,0.359375,1.0,0.001,1.3506466150283813,0.011012792587280273,1.2667028903961182,5811.423350869217,96.2001953125
53,1.5807089805603027,0.234375,0.234375,1.0,0.001,1.698682427406311,0.01405644416809082,1.290440559387207,4553.071832013162,96.2001953125
54,1.623428463935852,0.140625,0.140625,1.0,0.001,0.9366792440414429,0.018879413604736328,1.3226697444915771,3389.9357967317455,96.2001953125
55,1.5767730474472046,0.28125,0.28125,1.0,0.001,0.6428176164627075,0.01751089096069336,1.3543834686279297,3654.8682841815757,96.2001953125
56,1.5771931409835815,0.25,0.25,1.0,0.001,1.142577886581421,0.013111591339111328,1.376997947692871,4881.177146597811,96.2001953125
57,1.583247423171997,0.21875,0.21875,1.0,0.001,1.8527413606643677,0.013922691345214844,1.4001619815826416,4596.812384409891,96.2001953125
58,1.5614193677902222,0.25,0.25,1.0,0.001,1.7086974382400513,0.011927366256713867,1.4240572452545166,5365.811581745857,96.2001953125
59,1.5790061950683594,0.265625,0.265625,1.0,0.001,1.1126682758331299,0.01599431037902832,1.4514305591583252,4001.422911232019,96.2001953125
60,1.555428147315979,0.25,0.25,1.0,0.001,1.5697002410888672,0.012315034866333008,1.4754066467285156,5196.899618608793,96.2001953125
61,1.557968258857727,0.25,0.25,1.0,0.001,1.0489224195480347,0.014593362808227539,1.5005228519439697,4385.555326831021,96.2001953125
62,1.6075639724731445,0.25,0.25,1.0,0.001,2.0013978481292725,0.01764702796936035,1.5320138931274414,3626.673007552319,96.2001953125
63,1.5800098180770874,0.234375,0.234375,1.0,0.001,2.749612331390381,0.009453535079956055,1.5546033382415771,6769.954250838567,96.2001953125
64,1.5672504901885986,0.3125,0.3125,1.0,0.001,1.236997127532959,0.014122486114501953,1.5794906616210938,4531.779991221258,96.2001953125
65,1.559751272201538,0.3125,0.3125,1.0,0.001,1.5066159963607788,0.011687040328979492,1.6046266555786133,5476.151206674963,96.2001953125
