step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier,val_support_evidence_corr,val_conflict_corr
1,0.6768674254417419,0.953125,0.008034944534301758,,,,,,
2,0.6689107418060303,0.9765625,0.014937162399291992,,,,,,
3,0.6621548533439636,0.9609375,0.022402048110961914,,,,,,
4,0.6534603238105774,0.9609375,0.030184268951416016,,,,,,
5,0.6451560854911804,0.9453125,0.03665518760681152,,,,,,
6,0.6327025294303894,0.953125,0.0429072380065918,,,,,,
7,0.6152884364128113,0.9765625,0.049317121505737305,,,,,,
8,0.5986915230751038,0.9765625,0.056670188903808594,,,,,,
9,0.5954890251159668,0.9140625,0.06330418586730957,,,,,,
10,0.5668649077415466,0.9453125,0.06943106651306152,0.96484375,0.535531222820282,0.37186312675476074,0.3441246747970581,-0.18032515048980713,0.5398049354553223
11,0.5342640280723572,0.96875,0.08309125900268555,,,,,,
12,0.5221220254898071,0.9296875,0.0906531810760498,,,,,,
13,0.5058845281600952,0.90625,0.10051918029785156,,,,,,
14,0.44353577494621277,0.953125,0.10726499557495117,,,,,,
15,0.41006410121917725,0.9453125,0.11510109901428223,,,,,,
16,0.35994336009025574,0.953125,0.12885808944702148,,,,,,
17,0.2882217764854431,0.9765625,0.13585305213928223,,,,,,
18,0.2808070182800293,0.9453125,0.14271807670593262,,,,,,
19,0.22837689518928528,0.953125,0.15493106842041016,,,,,,
20,0.13675318658351898,0.984375,0.16414523124694824,0.9609375,0.16472919285297394,0.027912074699997902,0.0747191533446312,0.11751934140920639,0.6133272647857666
21,0.21979714930057526,0.9375,0.17502093315124512,,,,,,
22,0.17906881868839264,0.953125,0.1824171543121338,,,,,,
23,0.10255531966686249,0.9765625,0.1911451816558838,,,,,,
24,0.30259984731674194,0.921875,0.20034313201904297,,,,,,
25,0.16544631123542786,0.9609375,0.21004104614257812,,,,,,
26,0.20028884708881378,0.953125,0.2162332534790039,,,,,,
27,0.26594430208206177,0.9375,0.2231900691986084,,,,,,
28,0.19936630129814148,0.953125,0.231673002243042,,,,,,
29,0.27661243081092834,0.9375,0.2391679286956787,,,,,,
30,0.17108383774757385,0.9609375,0.246718168258667,0.95703125,0.18174338340759277,0.032980144023895264,0.08296029269695282,0.4173719882965088,0.6183941960334778
31,0.16645921766757965,0.9609375,0.2590162754058838,,,,,,
32,0.2478218823671341,0.9375,0.26979494094848633,,,,,,
33,0.12455175817012787,0.96875,0.2790091037750244,,,,,,
34,0.16019630432128906,0.9609375,0.2877480983734131,,,,,,
35,0.21382398903369904,0.9375,0.29494333267211914,,,,,,
36,0.16825146973133087,0.953125,0.30274200439453125,,,,,,
37,0.2206253707408905,0.921875,0.31134915351867676,,,,,,
38,0.1131305992603302,0.9609375,0.3195459842681885,,,,,,
39,0.15771333873271942,0.953125,0.32793593406677246,,,,,,
40,0.09721621125936508,0.96875,0.3363182544708252,0.92578125,0.16246989369392395,0.06751925498247147,0.098507821559906,0.6475130319595337,0.5815811157226562
