drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,null_weight_mean,null_weight_std,update_strength_mean,update_strength_std,update_gate_mean,update_gate_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std,attractor_activation_mean,attractor_activation_std,attractor_diversity
-0.00018100094166584313,0.03335762023925781,1.377152681350708,0.08375583589076996,-0.239821657538414,0.027992859482765198,0.16466599702835083,0.04119373485445976,0.8794580698013306,0.06742972880601883,0.09020258486270905,0.003110702382400632,0.33233413100242615,0.12200893461704254,0.019999999552965164,0.0,0.693126916885376,4.812405904885964e-07,0.01920010894536972,0.0,1.0,0.0,0.9943719506263733
-0.002079135039821267,0.0519617460668087,1.3732973337173462,0.08303172141313553,-0.23891235888004303,0.027763154357671738,0.16450825333595276,0.041127294301986694,0.8795531988143921,0.06737899035215378,0.0903022512793541,0.003115234896540642,0.4604717195034027,0.317497193813324,0.03999999910593033,0.0,0.6931341886520386,2.5809567816281742e-08,0.01855122670531273,0.0,1.0,0.0,0.999993622303009
-0.002860968466848135,0.04224633052945137,1.3741425275802612,0.0833611711859703,-0.23968122899532318,0.027578571811318398,0.16465619206428528,0.04121454060077667,0.8794800043106079,0.06741820275783539,0.0902789831161499,0.003114850725978613,0.11603288352489471,0.15931248664855957,0.059999994933605194,3.725290298461914e-09,0.6935376524925232,2.107342389479072e-08,0.01846570335328579,0.0,1.0,0.0,0.999997079372406
-0.008311949670314789,0.05094365030527115,1.375622272491455,0.08308383822441101,-0.24100734293460846,0.02821490727365017,0.1649034023284912,0.04132451117038727,0.8793344497680664,0.06749600172042847,0.09011971950531006,0.0031100192572921515,0.578012228012085,0.391512393951416,0.07999999821186066,0.0,0.6936403512954712,2.107342389479072e-08,0.017614047974348068,0.0,1.0,0.0,0.9999991655349731
-0.01642833650112152,0.0478534922003746,1.3772969245910645,0.08310944586992264,-0.24272854626178741,0.028446314856410027,0.1651950180530548,0.04143277555704117,0.8791492581367493,0.0675952136516571,0.089918352663517,0.0031039402820169926,0.6202963590621948,0.4950487017631531,0.10000000149011612,0.0,0.6939786672592163,2.5809567816281742e-08,0.017599914222955704,0.0,1.0,0.0,0.9999998807907104
-0.021961797028779984,0.04234902188181877,1.378336787223816,0.08336177468299866,-0.24394591152668,0.028429783880710602,0.16544711589813232,0.041575923562049866,0.8790205121040344,0.06766404956579208,0.0897822380065918,0.003099849447607994,0.4180452823638916,0.38787588477134705,0.11999998986721039,7.450580596923828e-09,0.6944020986557007,3.942476567431186e-08,0.018218357115983963,0.0,1.0,0.0,0.9999999403953552
-0.02960609272122383,0.040451910346746445,1.3798730373382568,0.08359956741333008,-0.2455286830663681,0.028578875586390495,0.16570055484771729,0.041657377034425735,0.8788512349128723,0.06775464117527008,0.08960898220539093,0.0030946664046496153,0.33378952741622925,0.3228239119052887,0.14000000059604645,0.0,0.6947624683380127,5.1619135632563484e-08,0.018582213670015335,0.0,1.0,0.0,1.0
-0.03450824320316315,0.03739160671830177,1.380960464477539,0.08389148861169815,-0.246627077460289,0.028591496869921684,0.16591253876686096,0.04176529496908188,0.8787348866462708,0.06781686097383499,0.08949354290962219,0.003091229358687997,0.20523770153522491,0.24639105796813965,0.1599999964237213,0.0,0.6951466798782349,0.0,0.01888110116124153,0.0,1.0,0.0,1.0
-0.0358707532286644,0.03609299287199974,1.3814749717712402,0.084052674472332,-0.24712394177913666,0.028588496148586273,0.16597308218479156,0.04176738113164902,0.8786832690238953,0.06784439831972122,0.0894513726234436,0.0030900100246071815,0.13466373085975647,0.19225503504276276,0.18000000715255737,0.0,0.6955255270004272,3.650024282819686e-08,0.01917431503534317,0.0,1.0,0.0,1.0
-0.04074013605713844,0.03780505061149597,1.3823471069335938,0.08412041515111923,-0.2481193095445633,0.02873506210744381,0.1661549061536789,0.041849859058856964,0.8785772323608398,0.06790121644735336,0.08933717757463455,0.00308654410764575,0.13993406295776367,0.18687500059604645,0.20000000298023224,0.0,0.6958137154579163,0.0,0.019443649798631668,0.0,1.0,0.0,1.0
