drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std
-0.0855538472533226,0.4519076645374298,0.8931471705436707,0.0,-0.03615650534629822,0.04408727213740349,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.01610911451280117,0.0
-0.08873285353183746,0.46029719710350037,0.8931299448013306,0.00018126884242519736,-0.036382775753736496,0.04494921863079071,0.0,0.0,0.0,0.0,0.6931270956993103,3.4458914797141915e-06,0.016135241836309433,0.0
-0.13103222846984863,0.4124126136302948,0.8934303522109985,0.00032178478431887925,-0.04041595011949539,0.04046028107404709,0.0,0.0,0.0,0.0,0.6934369802474976,0.00021130417007952929,0.016249973326921463,0.0
-0.13108739256858826,0.44987305998802185,0.8935551047325134,0.0006467046332545578,-0.04024873301386833,0.04416104033589363,0.0,0.0,0.0,0.0,0.6935838460922241,0.0005695624276995659,0.01637442596256733,0.0
-0.12707574665546417,0.4735434949398041,0.8936724066734314,0.0009891485096886754,-0.0396127812564373,0.04650375247001648,0.0,0.0,0.0,0.0,0.6937202215194702,0.000917496916372329,0.01646093837916851,0.0
-0.12601248919963837,0.4445609450340271,0.8942018747329712,0.001260627992451191,-0.03947418928146362,0.043423548340797424,0.0,0.0,0.0,0.0,0.6942625045776367,0.0011839080834761262,0.016553601250052452,0.0
-0.15069440007209778,0.443665474653244,0.8944951891899109,0.0015773532213643193,-0.04174879938364029,0.043460045009851456,0.0,0.0,0.0,0.0,0.694560706615448,0.0015056272968649864,0.016638338565826416,0.0
-0.16478852927684784,0.4376572370529175,0.8948978781700134,0.0018925738986581564,-0.04303375631570816,0.042800042778253555,0.0,0.0,0.0,0.0,0.6949646472930908,0.0018322039395570755,0.016743801534175873,0.0
-0.13431571424007416,0.45881718397140503,0.8956325650215149,0.0019185778219252825,-0.040044259279966354,0.04470360279083252,0.0,0.0,0.0,0.0,0.6956962943077087,0.001862526754848659,0.016846463084220886,0.0
-0.15890853106975555,0.45997169613838196,0.8960027098655701,0.002455655951052904,-0.042415887117385864,0.04491148889064789,0.0,0.0,0.0,0.0,0.6960598230361938,0.0024165352806448936,0.016967423260211945,0.0
-0.1748400181531906,0.47567668557167053,0.8960342407226562,0.003080348949879408,-0.04385235533118248,0.04628845304250717,0.0,0.0,0.0,0.0,0.696083664894104,0.003052597865462303,0.01709875650703907,0.0
-0.17158101499080658,0.49472886323928833,0.8967813849449158,0.003353351028636098,-0.04357176646590233,0.04802394658327103,0.0,0.0,0.0,0.0,0.6968199014663696,0.0033302009105682373,0.01724926196038723,0.0
-0.20979247987270355,0.5332809686660767,0.8964999318122864,0.003713269717991352,-0.04709316045045853,0.051538821309804916,0.0,0.0,0.0,0.0,0.6965323090553284,0.0036913033109158278,0.01739712804555893,0.0
-0.17373333871364594,0.5186187028884888,0.8975228667259216,0.0037961832713335752,-0.04366159066557884,0.050000615417957306,0.0,0.0,0.0,0.0,0.6975506544113159,0.003772768657654524,0.01755029894411564,0.0
-0.18882864713668823,0.5506275296211243,0.897564709186554,0.004030879121273756,-0.045023199170827866,0.053084082901477814,0.0,0.0,0.0,0.0,0.6975858807563782,0.004005629103630781,0.017730146646499634,0.0
-0.1724335253238678,0.6015991568565369,0.8976424336433411,0.004667578265070915,-0.043361980468034744,0.057821858674287796,0.0,0.0,0.0,0.0,0.6976580619812012,0.0046418155543506145,0.017920833081007004,0.0
-0.1947161853313446,0.6583232879638672,0.89790278673172,0.004533760715276003,-0.04524175077676773,0.06294795125722885,0.0,0.0,0.0,0.0,0.6979132294654846,0.004502188879996538,0.018139978870749474,0.0
