step,train_loss,wall_clock_time_sec,eval_clean_accuracy,eval_clean_ece,eval_clean_aurc,eval_clean_resistance_noise_corr,eval_clean_resistance_occlusion_corr,eval_noisy_accuracy,eval_noisy_ece,eval_noisy_aurc,eval_clean_vs_noisy_auroc,eval_noisy_resistance_noise_corr,eval_noisy_resistance_occlusion_corr,eval_occluded_accuracy,eval_occluded_ece,eval_occluded_aurc,eval_clean_vs_occluded_auroc,eval_occluded_resistance_noise_corr,eval_occluded_resistance_occlusion_corr
1,2.3138279914855957,0.02399754524230957,,,,,,,,,,,,,,,,,
2,2.317951202392578,0.045452117919921875,,,,,,,,,,,,,,,,,
3,2.2874836921691895,0.06558418273925781,,,,,,,,,,,,,,,,,
4,2.3095149993896484,0.08268427848815918,,,,,,,,,,,,,,,,,
5,2.2788760662078857,0.10195207595825195,,,,,,,,,,,,,,,,,
6,2.2623796463012695,0.11899614334106445,,,,,,,,,,,,,,,,,
7,2.254876136779785,0.13684296607971191,,,,,,,,,,,,,,,,,
8,2.2265079021453857,0.15397310256958008,,,,,,,,,,,,,,,,,
9,2.2593939304351807,0.1752917766571045,,,,,,,,,,,,,,,,,
10,2.198242425918579,0.19291138648986816,,,,,,,,,,,,,,,,,
11,2.181476593017578,0.21126866340637207,,,,,,,,,,,,,,,,,
12,2.2266602516174316,0.22917866706848145,,,,,,,,,,,,,,,,,
13,2.206378936767578,0.2549614906311035,,,,,,,,,,,,,,,,,
14,2.1590218544006348,0.2730731964111328,,,,,,,,,,,,,,,,,
15,2.1799862384796143,0.29012155532836914,,,,,,,,,,,,,,,,,
16,2.1651995182037354,0.3061861991882324,,,,,,,,,,,,,,,,,
17,2.1354923248291016,0.32419443130493164,,,,,,,,,,,,,,,,,
18,2.162803888320923,0.343308687210083,,,,,,,,,,,,,,,,,
19,2.121518611907959,0.3586435317993164,,,,,,,,,,,,,,,,,
20,2.1033823490142822,0.3749680519104004,,,,,,,,,,,,,,,,,
21,2.153271198272705,0.39041876792907715,,,,,,,,,,,,,,,,,
22,2.1496503353118896,0.4073822498321533,,,,,,,,,,,,,,,,,
23,2.0694198608398438,0.42506837844848633,,,,,,,,,,,,,,,,,
24,2.146562337875366,0.4415018558502197,,,,,,,,,,,,,,,,,
25,2.114630699157715,0.4584977626800537,0.1435546875,0.01032925583422184,0.7765401601791382,nan,nan,0.1337890625,0.01928851753473282,0.7905682325363159,0.515045166015625,nan,nan,0.1279296875,0.025579912588000298,0.7926603555679321,0.5021286010742188,nan,nan
26,2.2521021366119385,1.205932855606079,,,,,,,,,,,,,,,,,
27,2.1893258094787598,1.2341558933258057,,,,,,,,,,,,,,,,,
28,2.21274471282959,1.2620506286621094,,,,,,,,,,,,,,,,,
29,2.136538505554199,1.291060209274292,,,,,,,,,,,,,,,,,
30,2.105389356613159,1.3153717517852783,,,,,,,,,,,,,,,,,
31,2.1017448902130127,1.333005428314209,,,,,,,,,,,,,,,,,
32,2.1235759258270264,1.352111577987671,,,,,,,,,,,,,,,,,
33,2.0993266105651855,1.3724780082702637,,,,,,,,,,,,,,,,,
34,2.0129287242889404,1.391758918762207,,,,,,,,,,,,,,,,,
35,2.0555155277252197,1.4130210876464844,,,,,,,,,,,,,,,,,
36,2.0252928733825684,1.4314250946044922,,,,,,,,,,,,,,,,,
37,2.1924684047698975,1.449061632156372,,,,,,,,,,,,,,,,,
38,2.020634174346924,1.467966079711914,,,,,,,,,,,,,,,,,
39,2.0400569438934326,1.486206293106079,,,,,,,,,,,,,,,,,
40,2.01900053024292,1.5041494369506836,,,,,,,,,,,,,,,,,
41,2.132416009902954,1.5232791900634766,,,,,,,,,,,,,,,,,
42,2.055823802947998,1.5418353080749512,,,,,,,,,,,,,,,,,
43,2.05263352394104,1.5594754219055176,,,,,,,,,,,,,,,,,
44,2.034874439239502,1.577331781387329,,,,,,,,,,,,,,,,,
45,2.030423164367676,1.5967018604278564,,,,,,,,,,,,,,,,,
46,2.126307964324951,1.616441011428833,,,,,,,,,,,,,,,,,
47,2.1092021465301514,1.6349496841430664,,,,,,,,,,,,,,,,,
