drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,gate_mean,gate_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,gate_activation_rate
0.00013342795136850327,0.010307428427040577,0.00011910585453733802,0.014129002578556538,-0.1438586711883545,0.0828045979142189,0.4641655683517456,0.020473161712288857,0.3834208846092224,0.13933660089969635,0.019999999552965164,0.0,0.6931244134902954,0.00011343526421114802,0.4641655683517456
0.00017238734290003777,0.022068018093705177,1.87144960364094e-05,0.014548420906066895,-0.14387640357017517,0.0828857347369194,0.4641638994216919,0.020492054522037506,0.8354969024658203,0.7585785984992981,0.03999999910593033,0.0,0.6928651928901672,7.053413719404489e-05,0.4641638994216919
0.00018381567497272044,0.02850399911403656,-6.895472324686125e-05,0.015008321031928062,-0.1439162939786911,0.08278004080057144,0.46415477991104126,0.020463835448026657,1.0376904010772705,0.9611244201660156,0.059999994933605194,3.725290298461914e-09,0.692553699016571,6.693297473248094e-05,0.46415477991104126
0.00020589795894920826,0.027230219915509224,-0.00013372238026931882,0.01481891144067049,-0.14393357932567596,0.08270050585269928,0.4641510546207428,0.02044578641653061,0.6049011945724487,0.7214397192001343,0.07999999821186066,0.0,0.6930598020553589,3.989610559074208e-05,0.4641510546207428
0.00023945371503941715,0.02806192822754383,-0.0001833545247791335,0.015197654254734516,-0.14398251473903656,0.08264279365539551,0.464138388633728,0.0204301830381155,0.7215493321418762,0.7058205008506775,0.10000000149011612,0.0,0.6930105090141296,5.553548544412479e-05,0.464138388633728
0.00021283452224452049,0.027162229642271996,-0.00022712015197612345,0.015078924596309662,-0.1440088450908661,0.08259858191013336,0.46413207054138184,0.02042047120630741,0.5196401476860046,0.6964516043663025,0.11999998986721039,7.450580596923828e-09,0.6933820843696594,5.804638203699142e-05,0.46413207054138184
0.0001743350876495242,0.026442570611834526,-0.0002743667864706367,0.014919896610081196,-0.1440415233373642,0.08255718648433685,0.46412426233291626,0.02041122317314148,0.3529319763183594,0.7102466821670532,0.14000000059604645,0.0,0.693701982498169,0.00010239464609185234,0.46412426233291626
0.00014935342187527567,0.02600611187517643,-0.00030347862048074603,0.014810043387115002,-0.1440935879945755,0.08250749856233597,0.464111328125,0.0203994307667017,0.2524447739124298,0.671535849571228,0.1599999964237213,0.0,0.6940408945083618,6.690987356705591e-05,0.464111328125
0.00010530403960729018,0.024560002610087395,-0.0003346307494211942,0.0139427799731493,-0.14412391185760498,0.08246568590402603,0.4641042947769165,0.020391561090946198,-0.09206309169530869,0.5085863471031189,0.18000000715255737,0.0,0.6944781541824341,7.598094816785306e-05,0.4641042947769165
7.283927698154002e-05,0.023411599919199944,-0.00035613388172350824,0.012850324623286724,-0.14413058757781982,0.08244200050830841,0.46410322189331055,0.02038802020251751,-0.4400993287563324,0.3243473172187805,0.20000000298023224,0.0,0.6948920488357544,0.00010108622518600896,0.46410322189331055
7.074201857903972e-05,0.022583667188882828,-0.0003736293292604387,0.012206868268549442,-0.14412368834018707,0.08243490010499954,0.46410509943962097,0.020387258380651474,-0.5971004366874695,0.24762360751628876,0.2199999988079071,0.0,0.6951358318328857,7.086942787282169e-05,0.46410509943962097
5.642864925903268e-05,0.02222992293536663,-0.00039147003553807735,0.011879161931574345,-0.14408168196678162,0.0824541226029396,0.464115709066391,0.020392270758748055,-0.654489278793335,0.3407289385795593,0.23999997973442078,1.4901161193847656e-08,0.6953290700912476,8.330474520334974e-05,0.464115709066391
5.178737046662718e-05,0.021969860419631004,-0.0003937689180020243,0.011463921517133713,-0.1440272182226181,0.08248542249202728,0.46412938833236694,0.020400334149599075,-0.7230812311172485,0.3764420747756958,0.25999999046325684,0.0,0.6952663660049438,9.5290997705888e-05,0.46412938833236694
8.02695649326779e-05,0.02179591730237007,-0.0004032143042422831,0.011108707636594772,-0.14391903579235077,0.08256515115499496,0.4641564190387726,0.020420324057340622,-0.7664170265197754,0.3753618896007538,0.2800000011920929,0.0,0.6952241659164429,8.348284609382972e-05,0.4641564190387726
0.00010762189776869491,0.022073162719607353,-0.00042563650640659034,0.010893300175666809,-0.14380896091461182,0.08264084160327911,0.4641838073730469,0.020439159125089645,-0.77108234167099,0.3623015582561493,0.30000001192092896,0.0,0.6952577233314514,0.00010339549044147134,0.4641838073730469
0.0002126053732354194,0.022015292197465897,-0.0004404022765811533,0.010756933130323887,-0.14362366497516632,0.08279085159301758,0.46422985196113586,0.02047649584710598,-0.7482608556747437,0.28469350934028625,0.3199999928474426,0.0,0.6950010061264038,7.036243914626539e-05,0.46422985196113586
0.00033388525480404496,0.022588590160012245,-0.0004500954819377512,0.010944956913590431,-0.14342758059501648,0.08295530080795288,0.46427837014198303,0.02051711268723011,-0.6643484234809875,0.2158094197511673,0.3400000035762787,0.0,0.6947885155677795,4.904107117909007e-05,0.46427837014198303
