step,train_mse,val_mse,best_val_mse,warmup_eta
1,1.0380325317382812,1.0214276313781738,1.0214276313781738,0.005
50,0.4458622932434082,0.4196232557296753,0.4196232557296753,0.25
100,0.2811247706413269,0.2603819966316223,0.2603819966316223,0.5
150,0.21566838026046753,0.2101765275001526,0.2101765275001526,0.75
200,0.1536591649055481,0.1690896898508072,0.1690896898508072,1.0
250,0.1333572268486023,0.1247251033782959,0.1247251033782959,1.0
300,0.10086241364479065,0.08164773136377335,0.08164773136377335,1.0
350,0.04899512976408005,0.0512998104095459,0.0512998104095459,1.0
400,0.036204732954502106,0.0305941142141819,0.0305941142141819,1.0
450,0.015616877935826778,0.015711627900600433,0.015711627900600433,1.0
500,0.009173223748803139,0.008737633004784584,0.008737633004784584,1.0
550,0.005178052932024002,0.005366886034607887,0.005366886034607887,1.0
600,0.0035518277436494827,0.0040818797424435616,0.0040818797424435616,1.0
650,0.00270439637824893,0.0031027263030409813,0.0031027263030409813,1.0
700,0.0023900591768324375,0.0029441043734550476,0.0029441043734550476,1.0
750,0.00197145389392972,0.002322110813111067,0.002322110813111067,1.0
800,0.0017385908868163824,0.001721036620438099,0.001721036620438099,1.0
850,0.00182307418435812,0.0015650149434804916,0.0015650149434804916,1.0
900,0.001285719103179872,0.0013429498067125678,0.0013429498067125678,1.0
950,0.0013282479485496879,0.0011525379959493876,0.0011525379959493876,1.0
1000,0.0011194434482604265,0.0011049855966120958,0.0011525379959493876,1.0
1050,0.0011589131318032742,0.0011887603905051947,0.0011525379959493876,1.0
1100,0.0008952958160080016,0.0009421599679626524,0.0009421599679626524,1.0
1150,0.000602592364884913,0.0008111007045954466,0.0008111007045954466,1.0
1200,0.0007707540644332767,0.0007441898342221975,0.0008111007045954466,1.0
1250,0.0007738877320662141,0.0007160580134950578,0.0008111007045954466,1.0
1300,0.000503304589074105,0.0006309485761448741,0.0006309485761448741,1.0
1350,0.0007845506770536304,0.0006855418905615807,0.0006309485761448741,1.0
1400,0.0005073191714473069,0.0006630157586187124,0.0006309485761448741,1.0
1450,0.0007384982891380787,0.000866109156049788,0.0006309485761448741,1.0
1500,0.0004553021281026304,0.000520409899763763,0.000520409899763763,1.0
1550,0.00043708994053304195,0.000592410855460912,0.000520409899763763,1.0
1600,0.0004253892111591995,0.0004665539599955082,0.000520409899763763,1.0
1650,0.00035656988620758057,0.00041918858187273145,0.00041918858187273145,1.0
1700,0.00046301144175231457,0.0004155774076934904,0.00041918858187273145,1.0
1750,0.00041207377216778696,0.00038894254248589277,0.00041918858187273145,1.0
1800,0.00039969244971871376,0.00036090059438720345,0.00041918858187273145,1.0
1850,0.000350208836607635,0.00034065142972394824,0.00041918858187273145,1.0
1900,0.0003572403220459819,0.00031892131664790213,0.00031892131664790213,1.0
1950,0.00029219110729172826,0.00034329554182477295,0.00031892131664790213,1.0
2000,0.00029264637851156294,0.00039453813224099576,0.00031892131664790213,1.0
2050,0.00035708025097846985,0.0003980865585617721,0.00031892131664790213,1.0
2100,0.00020938963280059397,0.0002707781386561692,0.00031892131664790213,1.0
2150,0.0005888297455385327,0.0003497050784062594,0.00031892131664790213,1.0
2200,0.00020425445109140128,0.0003461205051280558,0.00031892131664790213,1.0
2250,0.00025389663642272353,0.00027840081020258367,0.00031892131664790213,1.0
2300,0.0002231677353847772,0.0002917258534580469,0.00031892131664790213,1.0
2350,0.00020303184282965958,0.00022165081463754177,0.00031892131664790213,1.0
2400,0.00028948599356226623,0.00025375402765348554,0.00031892131664790213,1.0
2450,0.00041872967267408967,0.00022937238099984825,0.00031892131664790213,1.0
2500,0.00019865939975716174,0.00027717393822968006,0.00031892131664790213,1.0
