step,train_loss,val_score,best_val_score,warmup_eta
1,0.926606297492981,-0.9473140239715576,-0.9473140239715576,0.01
50,0.4346087872982025,-0.4630255699157715,-0.4630255699157715,0.5
100,0.24412938952445984,-0.25161466002464294,-0.25161466002464294,1.0
150,0.29333555698394775,-0.23175540566444397,-0.23175540566444397,1.0
200,0.21915584802627563,-0.2169853299856186,-0.2169853299856186,1.0
250,0.2023516297340393,-0.2040107548236847,-0.2040107548236847,1.0
300,0.23015864193439484,-0.18626755475997925,-0.18626755475997925,1.0
350,0.17623689770698547,-0.16889986395835876,-0.16889986395835876,1.0
400,0.13201163709163666,-0.15424582362174988,-0.15424582362174988,1.0
450,0.1456238031387329,-0.1401430368423462,-0.1401430368423462,1.0
500,0.12574821710586548,-0.12744416296482086,-0.12744416296482086,1.0
550,0.12329213321208954,-0.11680077016353607,-0.11680077016353607,1.0
600,0.10332133620977402,-0.10898088663816452,-0.10898088663816452,1.0
650,0.08485612273216248,-0.10169962793588638,-0.10169962793588638,1.0
700,0.09640301764011383,-0.09414957463741302,-0.09414957463741302,1.0
750,0.07793840765953064,-0.08324162662029266,-0.08324162662029266,1.0
800,0.075079046189785,-0.0756668746471405,-0.0756668746471405,1.0
850,0.07020028680562973,-0.06919403374195099,-0.06919403374195099,1.0
900,0.04701187461614609,-0.06342968344688416,-0.06342968344688416,1.0
950,0.0485769584774971,-0.05780553072690964,-0.05780553072690964,1.0
1000,0.04495225474238396,-0.052682019770145416,-0.052682019770145416,1.0
1050,0.053967639803886414,-0.05042383074760437,-0.05042383074760437,1.0
1100,0.04594635218381882,-0.04777790606021881,-0.04777790606021881,1.0
1150,0.044385768473148346,-0.04647258669137955,-0.04647258669137955,1.0
1200,0.036498941481113434,-0.04351270943880081,-0.04351270943880081,1.0
1250,0.03929923474788666,-0.04053385555744171,-0.04053385555744171,1.0
1300,0.03444467484951019,-0.04123089462518692,-0.04053385555744171,1.0
1350,0.03607775643467903,-0.0374637208878994,-0.0374637208878994,1.0
1400,0.04101034998893738,-0.03904380649328232,-0.0374637208878994,1.0
1450,0.036799244582653046,-0.03376902639865875,-0.03376902639865875,1.0
1500,0.03558237478137016,-0.0317065492272377,-0.0317065492272377,1.0
1550,0.028415143489837646,-0.03001495823264122,-0.03001495823264122,1.0
1600,0.02864857017993927,-0.02929477021098137,-0.03001495823264122,1.0
1650,0.02805611491203308,-0.028549417853355408,-0.028549417853355408,1.0
1700,0.028363173827528954,-0.026851041242480278,-0.026851041242480278,1.0
1750,0.02510802447795868,-0.02710917964577675,-0.026851041242480278,1.0
1800,0.024496104568243027,-0.027604248374700546,-0.026851041242480278,1.0
1850,0.020823828876018524,-0.024439798668026924,-0.024439798668026924,1.0
1900,0.022099856287240982,-0.02532397210597992,-0.024439798668026924,1.0
1950,0.020213836804032326,-0.024986829608678818,-0.024439798668026924,1.0
2000,0.02645394392311573,-0.023572862148284912,-0.024439798668026924,1.0
2050,0.020617252215743065,-0.023612234741449356,-0.024439798668026924,1.0
2100,0.024863991886377335,-0.024685539305210114,-0.024439798668026924,1.0
2150,0.026324354112148285,-0.024721700698137283,-0.024439798668026924,1.0
2200,0.02256755717098713,-0.02374284714460373,-0.024439798668026924,1.0
2250,0.021265335381031036,-0.02294648438692093,-0.02294648438692093,1.0
2300,0.018486948683857918,-0.022704102098941803,-0.02294648438692093,1.0
2350,0.020501427352428436,-0.023800762370228767,-0.02294648438692093,1.0
2400,0.017060719430446625,-0.023198280483484268,-0.02294648438692093,1.0
2450,0.021128160879015923,-0.022430874407291412,-0.02294648438692093,1.0
2500,0.01930331066250801,-0.022219287231564522,-0.02294648438692093,1.0
2550,0.022199362516403198,-0.02364620938897133,-0.02294648438692093,1.0
2600,0.02039642632007599,-0.021966606378555298,-0.02294648438692093,1.0
2650,0.019271938130259514,-0.021841183304786682,-0.021841183304786682,1.0
2700,0.019881848245859146,-0.020959870889782906,-0.021841183304786682,1.0
2750,0.024375775828957558,-0.021173015236854553,-0.021841183304786682,1.0
2800,0.02096281200647354,-0.022824352607131004,-0.021841183304786682,1.0
2850,0.020477691665291786,-0.02176653780043125,-0.021841183304786682,1.0
2900,0.019462447613477707,-0.021394992247223854,-0.021841183304786682,1.0
2950,0.018272889778017998,-0.02118019387125969,-0.021841183304786682,1.0
3000,0.019021324813365936,-0.02057911828160286,-0.02057911828160286,1.0
3050,0.018533457070589066,-0.02291228249669075,-0.02057911828160286,1.0
3100,0.01905905455350876,-0.020763671025633812,-0.02057911828160286,1.0
3150,0.01810580864548683,-0.02087065950036049,-0.02057911828160286,1.0
3200,0.016401970759034157,-0.020362235605716705,-0.02057911828160286,1.0
3250,0.01921551674604416,-0.021403182297945023,-0.02057911828160286,1.0
3300,0.01927083730697632,-0.021718692034482956,-0.02057911828160286,1.0
3350,0.02260414883494377,-0.020785778760910034,-0.02057911828160286,1.0
3400,0.02016715332865715,-0.021489787846803665,-0.02057911828160286,1.0
3450,0.019024252891540527,-0.020862694829702377,-0.02057911828160286,1.0
3500,0.019177276641130447,-0.019980555400252342,-0.02057911828160286,1.0
3550,0.01735461875796318,-0.020526163280010223,-0.02057911828160286,1.0
3600,0.021044159308075905,-0.020326713100075722,-0.02057911828160286,1.0
