mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.9473140239715576,0.973300576210022,0.8229382634162903,0.9212299585342407,0.9728935956954956,0.9728935956954956,0.05166363716125488
0.4630255699157715,0.6804597973823547,0.5507147312164307,0.4540450870990753,0.4718323349952698,0.4718323349952698,0.017787247896194458
0.25161466002464294,0.5016120672225952,0.3702217936515808,0.24696539342403412,0.2561739683151245,0.2561739683151245,0.009208574891090393
0.23175540566444397,0.48140981793403625,0.35827136039733887,0.22852618992328644,0.23492218554019928,0.23492218554019928,0.006395995616912842
0.2169853299856186,0.465816855430603,0.32977306842803955,0.21418817341327667,0.21972842514514923,0.21972842514514923,0.005540251731872559
0.2040107548236847,0.45167550444602966,0.33012551069259644,0.20273035764694214,0.20526640117168427,0.20526640117168427,0.0025360435247421265
0.18626755475997925,0.43158724904060364,0.308540940284729,0.18299175798892975,0.1894800066947937,0.1894800066947937,0.006488248705863953
0.16889986395835876,0.41097429394721985,0.29145166277885437,0.16560706496238708,0.17212894558906555,0.17212894558906555,0.006521880626678467
0.15424582362174988,0.3927414119243622,0.2807579040527344,0.152145653963089,0.15630537271499634,0.15630537271499634,0.004159718751907349
0.1401430368423462,0.37435683608055115,0.2734519839286804,0.13780726492404938,0.14243367314338684,0.14243367314338684,0.004626408219337463
0.12744416296482086,0.3569932281970978,0.2628701329231262,0.1252099573612213,0.12963517010211945,0.12963517010211945,0.004425212740898132
0.11680077016353607,0.3417612910270691,0.2526230812072754,0.11688663065433502,0.11671657860279083,0.11688663065433502,0.00017005205154418945
0.10898088663816452,0.33012253046035767,0.24581728875637054,0.10732492059469223,0.11060482263565063,0.11060482263565063,0.0032799020409584045
0.10169962793588638,0.3189038038253784,0.2336210310459137,0.10089892148971558,0.10248485952615738,0.10248485952615738,0.001585938036441803
0.09414957463741302,0.3068380355834961,0.22922153770923615,0.09218304604291916,0.09607807546854019,0.09607807546854019,0.0038950294256210327
0.08324162662029266,0.28851625323295593,0.21402394771575928,0.08096745610237122,0.08547183126211166,0.08547183126211166,0.004504375159740448
0.0756668746471405,0.27507612109184265,0.20570296049118042,0.07180244475603104,0.07945657521486282,0.07945657521486282,0.007654130458831787
0.06919403374195099,0.26304757595062256,0.19559866189956665,0.06627389043569565,0.07205769419670105,0.07205769419670105,0.005783803761005402
