step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier
1,0.702245831489563,0.546875,0.0034449100494384766,,,,
2,0.7136463522911072,0.5,0.008301973342895508,,,,
3,0.712820291519165,0.4921875,0.011386871337890625,,,,
4,0.7240017652511597,0.4921875,0.015151739120483398,,,,
5,0.7077597975730896,0.484375,0.018034934997558594,,,,
6,0.6902424693107605,0.5390625,0.023056983947753906,,,,
7,0.7080265879631042,0.5234375,0.026510000228881836,,,,
8,0.6994730830192566,0.5546875,0.03004002571105957,,,,
9,0.7080508470535278,0.4765625,0.03320503234863281,,,,
10,0.7001610994338989,0.4765625,0.037802934646606445,0.5,0.7072248458862305,0.0839434489607811,0.5138998031616211
11,0.6783271431922913,0.5390625,0.04265999794006348,,,,
12,0.7066651582717896,0.4453125,0.05110597610473633,,,,
13,0.7008002400398254,0.5234375,0.055747032165527344,,,,
14,0.6879511475563049,0.53125,0.058714866638183594,,,,
15,0.6961426734924316,0.5078125,0.06145310401916504,,,,
16,0.6945754885673523,0.515625,0.06501507759094238,,,,
17,0.7017607092857361,0.4375,0.06772208213806152,,,,
18,0.7133045792579651,0.3828125,0.07129597663879395,,,,
19,0.694976806640625,0.453125,0.07431697845458984,,,,
20,0.7013066411018372,0.4453125,0.07820796966552734,0.57421875,0.6886771321296692,0.04318506643176079,0.49553346633911133
21,0.6956318616867065,0.4765625,0.08362293243408203,,,,
22,0.6905109286308289,0.53125,0.08810901641845703,,,,
23,0.7037592530250549,0.421875,0.09137678146362305,,,,
24,0.6975029110908508,0.515625,0.09576082229614258,,,,
25,0.6953595876693726,0.453125,0.09972000122070312,,,,
26,0.691680908203125,0.5234375,0.10301685333251953,,,,
27,0.6943314671516418,0.4921875,0.10754680633544922,,,,
28,0.6954834461212158,0.515625,0.11278796195983887,,,,
29,0.6888550519943237,0.5625,0.11578178405761719,,,,
30,0.6986634731292725,0.3984375,0.1190028190612793,0.50390625,0.6928671598434448,0.017397886142134666,0.49972712993621826
31,0.698590874671936,0.4765625,0.12669110298156738,,,,
32,0.7060470581054688,0.4375,0.13130688667297363,,,,
33,0.6961453557014465,0.4765625,0.1349198818206787,,,,
34,0.6984937787055969,0.4375,0.13914179801940918,,,,
35,0.7021969556808472,0.40625,0.14443707466125488,,,,
36,0.6981369853019714,0.4765625,0.1486039161682129,,,,
37,0.6975886225700378,0.4609375,0.15204310417175293,,,,
38,0.7017930746078491,0.375,0.1564311981201172,,,,
39,0.6942641139030457,0.4921875,0.16163206100463867,,,,
40,0.7041755318641663,0.4296875,0.16789507865905762,0.515625,0.6909965872764587,0.009233854711055756,0.49785491824150085
