step,train_mse,val_mse,best_val_mse,warmup_eta
1,1.0007851123809814,0.9438409805297852,0.9438409805297852,0.005
50,0.18461874127388,0.17466533184051514,0.17466533184051514,0.25
100,0.04749248921871185,0.0766691118478775,0.0766691118478775,0.5
150,0.017081676051020622,0.03494533523917198,0.03494533523917198,0.75
200,0.008385404013097286,0.020631974563002586,0.020631974563002586,1.0
250,0.0024357791990041733,0.01661522686481476,0.01661522686481476,1.0
300,0.00183845404535532,0.015440355986356735,0.015440355986356735,1.0
350,0.0005582679877988994,0.014949580654501915,0.014949580654501915,1.0
400,0.0003244155668653548,0.014626630581915379,0.014626630581915379,1.0
450,0.00034107366809621453,0.014471501111984253,0.014471501111984253,1.0
500,0.0001441894273739308,0.014360230416059494,0.014360230416059494,1.0
550,0.00015964056365191936,0.014363814145326614,0.014360230416059494,1.0
600,0.000404907128540799,0.014298472553491592,0.014360230416059494,1.0
650,0.0002103200531564653,0.014214814640581608,0.014214814640581608,1.0
700,0.0001839541073422879,0.014266138896346092,0.014214814640581608,1.0
750,0.0002110680507030338,0.014102272689342499,0.014102272689342499,1.0
800,0.0003530565300025046,0.014040166512131691,0.014102272689342499,1.0
850,0.0004407086526043713,0.014010380953550339,0.014102272689342499,1.0
900,0.00038003455847501755,0.01375458762049675,0.01375458762049675,1.0
950,0.00043753537465818226,0.013503983616828918,0.013503983616828918,1.0
1000,0.00034176924964413047,0.01323622278869152,0.01323622278869152,1.0
1050,0.0003515781427267939,0.01314902026206255,0.01323622278869152,1.0
1100,0.00039992487290874124,0.013075355440378189,0.013075355440378189,1.0
1150,0.00042941918945871294,0.012811807915568352,0.012811807915568352,1.0
1200,0.000520573346875608,0.012586519122123718,0.012586519122123718,1.0
1250,0.00032612611539661884,0.012642385438084602,0.012586519122123718,1.0
1300,0.00031089375261217356,0.012509734369814396,0.012586519122123718,1.0
1350,0.0003401626308914274,0.012236210517585278,0.012236210517585278,1.0
1400,0.00031064613722264767,0.012227152474224567,0.012236210517585278,1.0
1450,0.00028874800773337483,0.012220855802297592,0.012236210517585278,1.0
1500,0.00022638984955847263,0.012117190286517143,0.012117190286517143,1.0
1550,0.00021281096269376576,0.01206885650753975,0.012117190286517143,1.0
1600,0.00022333320521283895,0.012109181843698025,0.012117190286517143,1.0
1650,0.0002719082112889737,0.011876307427883148,0.011876307427883148,1.0
1700,0.00022661428374703974,0.011837732046842575,0.011876307427883148,1.0
1750,0.0002609815273899585,0.01174295786768198,0.01174295786768198,1.0
1800,0.00031222388497553766,0.01159181073307991,0.01159181073307991,1.0
1850,0.00023373152362182736,0.011400635354220867,0.011400635354220867,1.0
1900,0.00022660265676677227,0.011338194832205772,0.011400635354220867,1.0
1950,0.00022717894171364605,0.01136866770684719,0.011400635354220867,1.0
2000,0.00030628693639300764,0.011426614597439766,0.011400635354220867,1.0
2050,0.0002081658021779731,0.011423742398619652,0.011400635354220867,1.0
2100,0.00032228761119768023,0.01138802245259285,0.011400635354220867,1.0
2150,0.00024328558356501162,0.011153788305819035,0.011153788305819035,1.0
2200,0.00020753653370775282,0.011044544167816639,0.011044544167816639,1.0
2250,0.0001655721862334758,0.010895811021327972,0.010895811021327972,1.0
2300,0.00018778190133161843,0.010891035199165344,0.010895811021327972,1.0
2350,0.00014742804341949522,0.010818524286150932,0.010895811021327972,1.0
2400,0.0001678525295574218,0.010795185342431068,0.010795185342431068,1.0
2450,0.00020299473544582725,0.010821963660418987,0.010795185342431068,1.0
2500,0.00025040004402399063,0.010827239602804184,0.010795185342431068,1.0
2550,0.0002912969794124365,0.010699247010052204,0.010795185342431068,1.0
2600,0.0003790230257436633,0.010482518002390862,0.010482518002390862,1.0
2650,0.0003956397413276136,0.01049121469259262,0.010482518002390862,1.0
2700,0.0003800349368248135,0.010339190252125263,0.010339190252125263,1.0
2750,0.00032043541432358325,0.010262381285429,0.010339190252125263,1.0
2800,0.0002626928617246449,0.010067703202366829,0.010067703202366829,1.0
2850,0.00041661562863737345,0.010110564529895782,0.010067703202366829,1.0
2900,0.0004327123751863837,0.009996546432375908,0.010067703202366829,1.0
2950,0.0003643735544756055,0.009784087538719177,0.009784087538719177,1.0
3000,0.00032469170400872827,0.00973472185432911,0.009784087538719177,1.0
