mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.9905835390090942,0.9952806234359741,0.8319369554519653,0.9434605240821838,1.0369759798049927,1.0369759798049927,0.09351545572280884
0.7121369242668152,0.8438820838928223,0.6804922819137573,0.6695019602775574,0.7541108727455139,0.7541108727455139,0.08460891246795654
0.5852174758911133,0.7649950981140137,0.6136638522148132,0.5485989451408386,0.6212682127952576,0.6212682127952576,0.07266926765441895
0.3399985730648041,0.5830939412117004,0.4460233449935913,0.32339829206466675,0.35634151101112366,0.35634151101112366,0.03294321894645691
0.2741815447807312,0.5236234664916992,0.377521812915802,0.2669520378112793,0.2812989056110382,0.2812989056110382,0.014346867799758911
0.25444576144218445,0.5044261813163757,0.3670114576816559,0.25021448731422424,0.25861141085624695,0.25861141085624695,0.008396923542022705
0.2494341880083084,0.49943387508392334,0.3645891547203064,0.2486502230167389,0.25020599365234375,0.25020599365234375,0.0015557706356048584
0.24082961678504944,0.4907439351081848,0.3562547564506531,0.24182678759098053,0.23984791338443756,0.24182678759098053,0.0019788742065429688
0.2317025065422058,0.48135486245155334,0.33953604102134705,0.23207756876945496,0.23133327066898346,0.23207756876945496,0.0007442981004714966
0.2198535054922104,0.4688853919506073,0.3409484624862671,0.2189568728208542,0.22073622047901154,0.22073622047901154,0.0017793476581573486
0.20781934261322021,0.4558720588684082,0.3245224058628082,0.20853766798973083,0.2071121335029602,0.20853766798973083,0.0014255344867706299
0.1965063512325287,0.4432903826236725,0.31872621178627014,0.19809436798095703,0.19494296610355377,0.19809436798095703,0.0031514018774032593
0.1837422251701355,0.4286516308784485,0.3065425753593445,0.18509070575237274,0.18241465091705322,0.18509070575237274,0.002676054835319519
0.17110858857631683,0.4136527478694916,0.28930428624153137,0.1728595793247223,0.16938473284244537,0.1728595793247223,0.0034748464822769165
0.15851464867591858,0.39813897013664246,0.28735294938087463,0.1608225256204605,0.1562425196170807,0.1608225256204605,0.004580006003379822
