step,train_loss,val_score,best_val_score,warmup_eta
1,1.016922950744629,-0.9471480846405029,-0.9471480846405029,0.01
50,0.7475093603134155,-0.7292617559432983,-0.7292617559432983,0.5
100,0.6097385287284851,-0.6713659763336182,-0.6713659763336182,1.0
150,0.7855933904647827,-0.6133735775947571,-0.6133735775947571,1.0
200,0.5710842609405518,-0.5509121417999268,-0.5509121417999268,1.0
250,0.5162312984466553,-0.5026118159294128,-0.5026118159294128,1.0
300,0.647782027721405,-0.45479995012283325,-0.45479995012283325,1.0
350,0.2808794379234314,-0.4256371557712555,-0.4256371557712555,1.0
400,0.48620590567588806,-0.40533021092414856,-0.40533021092414856,1.0
450,0.3717012405395508,-0.38413020968437195,-0.38413020968437195,1.0
500,0.3434857428073883,-0.3698493242263794,-0.3698493242263794,1.0
550,0.3508037328720093,-0.3608817756175995,-0.3608817756175995,1.0
600,0.34700697660446167,-0.3441482484340668,-0.3441482484340668,1.0
650,0.49548596143722534,-0.33633920550346375,-0.33633920550346375,1.0
700,0.3934389352798462,-0.3354840874671936,-0.33633920550346375,1.0
750,0.24267137050628662,-0.3208382725715637,-0.3208382725715637,1.0
800,0.3235459327697754,-0.3134506940841675,-0.3134506940841675,1.0
850,0.2984049618244171,-0.3053703308105469,-0.3053703308105469,1.0
900,0.26000291109085083,-0.2917885184288025,-0.2917885184288025,1.0
950,0.25188976526260376,-0.286104679107666,-0.286104679107666,1.0
1000,0.2554749846458435,-0.27394014596939087,-0.27394014596939087,1.0
1050,0.21766354143619537,-0.26227694749832153,-0.26227694749832153,1.0
1100,0.168728306889534,-0.250154584646225,-0.250154584646225,1.0
1150,0.2577507495880127,-0.2584311366081238,-0.250154584646225,1.0
1200,0.2672252655029297,-0.2335837334394455,-0.2335837334394455,1.0
1250,0.14000435173511505,-0.21673822402954102,-0.21673822402954102,1.0
1300,0.17420470714569092,-0.20664536952972412,-0.20664536952972412,1.0
1350,0.19225040078163147,-0.1934107095003128,-0.1934107095003128,1.0
1400,0.1540067195892334,-0.18458861112594604,-0.18458861112594604,1.0
1450,0.16113495826721191,-0.17032977938652039,-0.17032977938652039,1.0
1500,0.10174883157014847,-0.16067296266555786,-0.16067296266555786,1.0
1550,0.1575833559036255,-0.1489391028881073,-0.1489391028881073,1.0
1600,0.16942894458770752,-0.13939204812049866,-0.13939204812049866,1.0
1650,0.09795382618904114,-0.13319385051727295,-0.13319385051727295,1.0
1700,0.14738596975803375,-0.12740132212638855,-0.12740132212638855,1.0
1750,0.14701610803604126,-0.12147773802280426,-0.12147773802280426,1.0
1800,0.10848712921142578,-0.11590929329395294,-0.11590929329395294,1.0
1850,0.0965818539261818,-0.11172229796648026,-0.11172229796648026,1.0
1900,0.10268992185592651,-0.1064794510602951,-0.1064794510602951,1.0
1950,0.11276982724666595,-0.10715071856975555,-0.1064794510602951,1.0
2000,0.08294272422790527,-0.09836816042661667,-0.09836816042661667,1.0
2050,0.07667664438486099,-0.10131648182868958,-0.09836816042661667,1.0
2100,0.061964251101017,-0.09478267282247543,-0.09478267282247543,1.0
2150,0.07484029233455658,-0.09115438163280487,-0.09115438163280487,1.0
2200,0.0582801029086113,-0.09172976762056351,-0.09115438163280487,1.0
2250,0.09506534785032272,-0.08596280217170715,-0.08596280217170715,1.0
2300,0.10755135118961334,-0.08824683725833893,-0.08596280217170715,1.0
2350,0.09325060248374939,-0.08572845160961151,-0.08596280217170715,1.0
2400,0.06437317281961441,-0.08347728103399277,-0.08347728103399277,1.0
2450,0.0998850166797638,-0.08533401042222977,-0.08347728103399277,1.0
2500,0.06864669173955917,-0.08521310240030289,-0.08347728103399277,1.0
2550,0.08393082767724991,-0.08190259337425232,-0.08190259337425232,1.0
2600,0.08125127106904984,-0.07672421634197235,-0.07672421634197235,1.0
2650,0.12140581011772156,-0.07723605632781982,-0.07672421634197235,1.0
2700,0.10511501133441925,-0.07658040523529053,-0.07672421634197235,1.0
2750,0.04599817469716072,-0.07696768641471863,-0.07672421634197235,1.0
2800,0.08325837552547455,-0.07290779054164886,-0.07290779054164886,1.0
2850,0.08809582889080048,-0.0734824687242508,-0.07290779054164886,1.0
2900,0.05798099562525749,-0.07412693649530411,-0.07290779054164886,1.0
2950,0.04925220459699631,-0.07176648825407028,-0.07176648825407028,1.0
3000,0.02885473519563675,-0.06671233475208282,-0.06671233475208282,1.0
