spline_edge_output_mean,spline_edge_output_std,spline_basis_mean,spline_basis_std,edge_output_mean,edge_output_std
0.015530160628259182,0.09344297647476196,0.05852973461151123,0.18911516666412354,0.015530160628259182,0.09344297647476196
-0.009674841538071632,0.11088985949754715,0.05819966271519661,0.1877402812242508,-0.009674841538071632,0.11088985949754715
-0.0109659843146801,0.1554708331823349,0.058045804500579834,0.18784257769584656,-0.0109659843146801,0.1554708331823349
-0.013377510011196136,0.20066651701927185,0.058030154556035995,0.1875121295452118,-0.013377510011196136,0.20066651701927185
-0.013536406680941582,0.23941566050052643,0.058107584714889526,0.18779736757278442,-0.013536406680941582,0.23941566050052643
-0.009903181344270706,0.26247626543045044,0.057990700006484985,0.1874677836894989,-0.009903181344270706,0.26247626543045044
-0.011504756286740303,0.28020012378692627,0.05783217027783394,0.18755027651786804,-0.011504756286740303,0.28020012378692627
-0.011386818252503872,0.2946731448173523,0.05766903609037399,0.18749140202999115,-0.011386818252503872,0.2946731448173523
-0.011242220178246498,0.30741024017333984,0.05754587799310684,0.1870134472846985,-0.011242220178246498,0.30741024017333984
-0.010978525504469872,0.31550338864326477,0.05757876858115196,0.18751049041748047,-0.010978525504469872,0.31550338864326477
-0.01170167326927185,0.32140472531318665,0.05747809261083603,0.18659700453281403,-0.01170167326927185,0.32140472531318665
-0.01175227016210556,0.3285481035709381,0.05740300938487053,0.1868632435798645,-0.01175227016210556,0.3285481035709381
-0.012162917293608189,0.3354780673980713,0.05736009031534195,0.18714994192123413,-0.012162917293608189,0.3354780673980713
-0.010371311567723751,0.3421799838542938,0.057273704558610916,0.18687200546264648,-0.010371311567723751,0.3421799838542938
-0.010248049162328243,0.3473019599914551,0.057276032865047455,0.1874353587627411,-0.010248049162328243,0.3473019599914551
-0.013500220142304897,0.3510076403617859,0.05730709806084633,0.18695113062858582,-0.013500220142304897,0.3510076403617859
-0.0140052055940032,0.35715317726135254,0.05719209089875221,0.1873229742050171,-0.0140052055940032,0.35715317726135254
-0.011916223913431168,0.3601858913898468,0.057198069989681244,0.18719051778316498,-0.011916223913431168,0.3601858913898468
-0.014008150435984135,0.36366721987724304,0.05717648193240166,0.1872587502002716,-0.014008150435984135,0.36366721987724304
-0.012654587626457214,0.36730992794036865,0.0571969635784626,0.18697991967201233,-0.012654587626457214,0.36730992794036865
-0.013181204907596111,0.37042564153671265,0.05715595558285713,0.1871059685945511,-0.013181204907596111,0.37042564153671265
