step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.5817362070083618,0.375,0.375,1.0,0.001,1334.668701171875,0.023212909698486328,0.02482295036315918,344.6358127400834,0.0,0.09356014430522919,-0.609910249710083
2,1.6458455324172974,0.25,0.25,1.0,0.001,6.417776584625244,0.021350860595703125,0.04828691482543945,374.69215651241734,0.0,nan,nan
3,1.6194698810577393,0.125,0.125,1.0,0.001,9.284737586975098,0.021008014678955078,0.07130789756774902,380.8070454184352,0.0,-0.18463721871376038,0.5929768085479736
4,1.6042717695236206,0.25,0.25,1.0,0.001,1.6217241287231445,0.02102494239807129,0.09445500373840332,380.5004479219822,0.0,nan,nan
