drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,gate_mean,gate_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std,gate_activation_rate
-0.004920717794448137,0.17609648406505585,0.12046600133180618,0.30571916699409485,-0.8690724968910217,0.331634521484375,0.2689442038536072,8.97726058610715e-05,0.06854607164859772,0.09215479344129562,0.009999999776482582,0.0,0.6931471824645996,0.0,0.015600030310451984,0.0,0.2689442038536072
0.0015520111192017794,0.2335062026977539,0.12110118567943573,0.30690696835517883,-0.8683671951293945,0.3334105908870697,0.2689701020717621,0.00017429611762054265,0.20768995583057404,0.1450740098953247,0.019999999552965164,0.0,0.6932703852653503,6.147951353341341e-05,0.015816058963537216,0.0,0.2689701020717621
0.0010041703935712576,0.27071765065193176,0.12142929434776306,0.30772629380226135,-0.8682813048362732,0.33349913358688354,0.26900017261505127,0.00024560600286349654,0.2637901306152344,0.14748694002628326,0.029999999329447746,0.0,0.6918715238571167,0.00019373153918422759,0.01579107902944088,0.0,0.26900017261505127
0.0011747468961402774,0.3069092631340027,0.12182173877954483,0.30885496735572815,-0.8678861260414124,0.33374685049057007,0.2690804600715637,0.00031854063854552805,0.32050955295562744,0.16017471253871918,0.03999999910593033,0.0,0.690165638923645,0.000374592375010252,0.015845591202378273,0.0,0.2690804600715637
0.00017587760521564633,0.32671019434928894,0.12223329395055771,0.3099542558193207,-0.8676663041114807,0.3335515856742859,0.26915356516838074,0.0004018148174509406,0.35694417357444763,0.18496651947498322,0.05000000074505806,0.0,0.6882889270782471,0.000925556174479425,0.015941763296723366,0.0,0.26915356516838074
0.0011379171628504992,0.3486195206642151,0.12254814803600311,0.31148725748062134,-0.8671236038208008,0.33389610052108765,0.2692493498325348,0.00048261432675644755,0.3966086804866791,0.20652563869953156,0.05999999865889549,0.0,0.6864747405052185,0.0015368744498118758,0.016051825135946274,0.0,0.2692493498325348
0.0021064025349915028,0.3710692822933197,0.12311433255672455,0.31356266140937805,-0.8665243983268738,0.3342900574207306,0.26935404539108276,0.0005486398003995419,0.44321614503860474,0.20320233702659607,0.07000000774860382,0.0,0.6850178837776184,0.002063911873847246,0.01622968353331089,0.0,0.26935404539108276
0.0008860288071446121,0.38487905263900757,0.12356085330247879,0.3151749074459076,-0.8661640286445618,0.3340126872062683,0.2694595456123352,0.0006032935343682766,0.4671347737312317,0.1905231773853302,0.07999999821186066,0.0,0.6831743717193604,0.002726996783167124,0.016409210860729218,0.0,0.2694595456123352
-0.00112657411955297,0.40761831402778625,0.12365873903036118,0.3165207505226135,-0.8656865954399109,0.3337145745754242,0.2695968449115753,0.000657399301417172,0.48438596725463867,0.17288172245025635,0.09000000357627869,0.0,0.6804488897323608,0.003420428838580847,0.01669127121567726,0.0,0.2695968449115753
0.001296537579037249,0.4325781464576721,0.12462873011827469,0.3201388716697693,-0.8647968769073486,0.33461228013038635,0.2697240114212036,0.0006987170781940222,0.5413088202476501,0.17069026827812195,0.10000000149011612,0.0,0.6799758672714233,0.0043689482845366,0.017048534005880356,0.0,0.2697240114212036
0.003903525648638606,0.4387151598930359,0.12483292818069458,0.321773886680603,-0.8638666868209839,0.33507680892944336,0.269879013299942,0.000735476438421756,0.5562401413917542,0.15846464037895203,0.10999999195337296,0.0,0.6772333383560181,0.0055529349483549595,0.01748511753976345,0.0,0.269879013299942
0.006209549959748983,0.44900038838386536,0.12538020312786102,0.3251122236251831,-0.8629668951034546,0.3354228734970093,0.2700432240962982,0.0007871542475186288,0.6008173227310181,0.17951954901218414,0.11999999731779099,0.0,0.6751981973648071,0.006851744372397661,0.01800108514726162,0.0,0.2700432240962982
0.007717487867921591,0.45929259061813354,0.12528365850448608,0.3264641761779785,-0.8620159029960632,0.335805207490921,0.2702115774154663,0.0008310485864058137,0.5986206531524658,0.17026430368423462,0.12999999523162842,0.0,0.6727734208106995,0.007219086401164532,0.01859920285642147,0.0,0.2702115774154663
0.010609160177409649,0.4673939645290375,0.12499554455280304,0.3290386497974396,-0.860930860042572,0.3359886407852173,0.2704228162765503,0.0008998733828775585,0.6185631155967712,0.18903924524784088,0.14000001549720764,0.0,0.6700549125671387,0.008504060097038746,0.01930033601820469,0.0,0.2704228162765503
0.015539907850325108,0.49497154355049133,0.12577150762081146,0.33398860692977905,-0.8594787120819092,0.3372725546360016,0.27064138650894165,0.0009638331830501556,0.6908860206604004,0.1883857250213623,0.15000000596046448,0.0,0.6662229299545288,0.0086636608466506,0.0200958214700222,0.0,0.27064138650894165
0.018163690343499184,0.511833906173706,0.1252480298280716,0.3359619081020355,-0.8582080602645874,0.33775657415390015,0.27087339758872986,0.001031586085446179,0.6974079012870789,0.20134425163269043,0.1599999964237213,0.0,0.6625074148178101,0.009596886113286018,0.021041270345449448,0.0,0.27087339758872986
0.024820946156978607,0.5394096970558167,0.12553784251213074,0.3414576053619385,-0.8564524054527283,0.3390711843967438,0.27115583419799805,0.001137199578806758,0.7638546824455261,0.21534529328346252,0.17000000178813934,0.0,0.6581721305847168,0.00974403228610754,0.022116096690297127,0.0,0.27115583419799805
0.031971611082553864,0.5397397875785828,0.12403086572885513,0.34349754452705383,-0.8547703623771667,0.3394046127796173,0.27147358655929565,0.001268821652047336,0.7695664763450623,0.22128938138484955,0.18000000715255737,0.0,0.6528361439704895,0.012249073944985867,0.02334449626505375,0.0,0.27147358655929565
0.036134883761405945,0.597848653793335,0.12418923527002335,0.3506150245666504,-0.8528354167938232,0.3411918580532074,0.2717953324317932,0.0014755305601283908,0.8434961438179016,0.20779810845851898,0.1899999976158142,0.0,0.6489841938018799,0.01203120592981577,0.024682501330971718,0.0,0.2717953324317932
0.04525618255138397,0.6211401224136353,0.12184576690196991,0.35395878553390503,-0.8506231904029846,0.34202510118484497,0.27221375703811646,0.0017144589219242334,0.8722187280654907,0.21467557549476624,0.20000000298023224,0.0,0.6404058933258057,0.012396924197673798,0.026112528517842293,0.0,0.27221375703811646
0.047165241092443466,0.6728297472000122,0.12323009967803955,0.36053961515426636,-0.8488370776176453,0.344650000333786,0.27243760228157043,0.002022458938881755,0.9343437552452087,0.22468417882919312,0.20999999344348907,0.0,0.6357375383377075,0.01443446334451437,0.02768552675843239,0.0,0.27243760228157043
0.05566415563225746,0.6966854929924011,0.12099869549274445,0.3623543977737427,-0.8465980291366577,0.3464042544364929,0.2727890610694885,0.002354741794988513,0.9437358975410461,0.2363002747297287,0.2199999839067459,0.0,0.6255207061767578,0.017032360658049583,0.02931353822350502,0.0,0.2727890610694885
0.0589975044131279,0.7507882714271545,0.12128442525863647,0.36965838074684143,-0.8446751832962036,0.34867581725120544,0.2730964124202728,0.00278640678152442,0.9998117685317993,0.2433096021413803,0.23000000417232513,0.0,0.6204421520233154,0.02038005366921425,0.031080977991223335,0.0,0.2730964124202728
0.06034722179174423,0.7718247175216675,0.12125512957572937,0.3718075454235077,-0.8433545231819153,0.3504379391670227,0.27326685190200806,0.0030276640318334103,1.01498544216156,0.26963192224502563,0.23999999463558197,0.0,0.6105408668518066,0.022056560963392258,0.0329677052795887,0.0,0.27326685190200806
0.06223123148083687,0.8283400535583496,0.12263648957014084,0.3794298768043518,-0.8413435816764832,0.3540858030319214,0.2734960913658142,0.0034473338164389133,1.0756405591964722,0.2535128891468048,0.25,0.0,0.6043183207511902,0.026671484112739563,0.034962981939315796,0.0,0.2734960913658142
0.06376651674509048,0.8380646705627441,0.12314947694540024,0.3808007538318634,-0.8403883576393127,0.35611945390701294,0.27355554699897766,0.003443306777626276,1.0896046161651611,0.255449116230011,0.25999999046325684,0.0,0.5928856730461121,0.03437933698296547,0.0370357409119606,0.0,0.27355554699897766
0.06369312852621078,0.9184035658836365,0.12612596154212952,0.38813960552215576,-0.8387337923049927,0.36190325021743774,0.2736046612262726,0.003765320871025324,1.1752411127090454,0.2399463951587677,0.27000004053115845,0.0,0.5791953802108765,0.034919194877147675,0.03915679454803467,0.0,0.2736046612262726
0.06135367229580879,0.9361298680305481,0.12788595259189606,0.3880239725112915,-0.8385030031204224,0.36484041810035706,0.2734721302986145,0.0037348459009081125,1.183187484741211,0.2369505763053894,0.2800000309944153,0.0,0.5656468868255615,0.03580935671925545,0.04137814790010452,0.0,0.2734721302986145
0.05150529369711876,0.9246479272842407,0.13165034353733063,0.3885141611099243,-0.8397296667098999,0.3652125597000122,0.2732051610946655,0.003712011268362403,1.1753616333007812,0.2661215364933014,0.2900000214576721,0.0,0.5593243837356567,0.04672124981880188,0.04371364042162895,0.0,0.2732051610946655
0.0487927570939064,0.9960688948631287,0.13316188752651215,0.3907954692840576,-0.8383257389068604,0.3711584210395813,0.27315419912338257,0.0038576407823711634,1.2089853286743164,0.2578071653842926,0.30000001192092896,0.0,0.5424764156341553,0.046435777097940445,0.046009611338377,0.0,0.27315419912338257
0.041788674890995026,1.0277928113937378,0.13445016741752625,0.3901240825653076,-0.8381277918815613,0.3743874132633209,0.27302178740501404,0.0038574179634451866,1.2128247022628784,0.2718987464904785,0.3100000023841858,0.0,0.5266472101211548,0.04630107432603836,0.048353731632232666,0.0,0.27302178740501404
0.030717836692929268,1.0613603591918945,0.141824871301651,0.39839431643486023,-0.8385188579559326,0.3788434863090515,0.272675096988678,0.003999838139861822,1.2587738037109375,0.2753990888595581,0.3199999928474426,0.0,0.5249221324920654,0.0522180013358593,0.05074865743517876,0.0,0.272675096988678
0.025074146687984467,1.1349842548370361,0.14280138909816742,0.3995515704154968,-0.8370435237884521,0.38540637493133545,0.27260226011276245,0.004396907053887844,1.2704825401306152,0.2907032370567322,0.33000001311302185,0.0,0.5064417123794556,0.04916662350296974,0.05315348505973816,0.0,0.27260226011276245
0.020456308498978615,1.1462376117706299,0.14541181921958923,0.4032667279243469,-0.8369380831718445,0.3879241943359375,0.2724817097187042,0.004341928754001856,1.3039520978927612,0.2578565180301666,0.3400000035762787,0.0,0.4944823384284973,0.0533670149743557,0.05555234104394913,0.0,0.2724817097187042
0.02653280273079872,1.0677160024642944,0.13622255623340607,0.38411712646484375,-0.8378092050552368,0.3829466998577118,0.27256473898887634,0.0039048136677592993,1.1796149015426636,0.3568660020828247,0.3499999940395355,0.0,0.46498075127601624,0.05337793752551079,0.057945262640714645,0.0,0.27256473898887634
0.024086199700832367,1.2287182807922363,0.1445339173078537,0.4058932363986969,-0.834181010723114,0.3966946303844452,0.27259361743927,0.0044924672693014145,1.3621158599853516,0.26691895723342896,0.36000001430511475,0.0,0.4503394365310669,0.05756697058677673,0.06030959263443947,0.0,0.27259361743927
