drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std
0.004252362530678511,0.17636771500110626,0.24990807473659515,0.2571372985839844,-0.007190911564975977,0.019510941579937935
-0.004948774818331003,0.17867980897426605,0.2503201365470886,0.3556520938873291,-0.008138748817145824,0.019961196929216385
-0.0071514686569571495,0.17978155612945557,0.25050580501556396,0.36715617775917053,-0.008279605768620968,0.020363159477710724
-0.006391630508005619,0.17396174371242523,0.250683069229126,0.35108083486557007,-0.008187935687601566,0.019876325502991676
-0.007749723736196756,0.1753978580236435,0.2509523332118988,0.39785677194595337,-0.00826374813914299,0.020547764375805855
-0.007208393421024084,0.1761079728603363,0.251036673784256,0.41972362995147705,-0.008172080852091312,0.02082010731101036
-0.007529254071414471,0.17697876691818237,0.2511129677295685,0.4404919147491455,-0.008162911050021648,0.021151810884475708
-0.007399831898510456,0.1777774542570114,0.2512092888355255,0.44780606031417847,-0.008111519739031792,0.02124941535294056
-0.006893584504723549,0.17897847294807434,0.2512144446372986,0.4293709397315979,-0.00804379303008318,0.021008867770433426
-0.006051503587514162,0.17912760376930237,0.2511539161205292,0.38291892409324646,-0.007978114299476147,0.02047733962535858
-0.005516007076948881,0.17945349216461182,0.2511863708496094,0.36162853240966797,-0.007917698472738266,0.02027014084160328
