step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.6630364656448364,0.125,0.125,1.0,0.001,1322.6707763671875,0.06132388114929199,0.0643320083618164,260.90977446532224,0.0,-0.7305513620376587,0.21564766764640808
2,1.6365699768066406,0.125,0.125,1.0,0.001,6.320009708404541,0.0577092170715332,0.12572908401489258,277.252071885974,0.0,-0.13847635686397552,-0.25778287649154663
3,1.604122519493103,0.3125,0.3125,1.0,0.001,2.325273036956787,0.0588221549987793,0.18801403045654297,272.0063554341394,0.0,-0.21321848034858704,0.5013483762741089
4,1.6867098808288574,0.0625,0.0625,1.0,0.001,6.439153671264648,0.0554502010345459,0.2474839687347412,288.5471955283242,0.0,-0.513337254524231,0.20828230679035187
5,1.562021017074585,0.375,0.375,1.0,0.001,2.660601854324341,0.05740189552307129,0.30877184867858887,278.73643987190616,0.0,-0.025554966181516647,-0.15463879704475403
6,1.686279296875,0.0625,0.0625,1.0,0.001,4.4170403480529785,0.05645585060119629,0.3689758777618408,283.40729666839815,0.0,-0.01686563715338707,-0.4094385504722595
7,1.5436712503433228,0.375,0.375,1.0,0.001,2.3609042167663574,0.05723214149475098,0.4299657344818115,279.56318918220865,0.0,0.206167533993721,-0.49897485971450806
8,1.608774185180664,0.25,0.25,1.0,0.001,1.042638897895813,0.05856776237487793,0.49234795570373535,273.18783151707095,0.0,0.07786411046981812,-0.26842179894447327
9,1.5503144264221191,0.375,0.375,1.0,0.001,1.7830920219421387,0.06025075912475586,0.5562808513641357,265.55682007043646,0.0,-0.12033140659332275,-0.3675574064254761
10,1.6805909872055054,0.125,0.125,1.0,0.001,2.356522798538208,0.057624101638793945,0.6179559230804443,277.66159549511156,0.0,0.33068081736564636,-0.06854849308729172
11,1.6614744663238525,0.125,0.125,1.0,0.001,2.073080539703369,0.06157708168029785,0.6836600303649902,259.8369322383679,0.0,0.38150638341903687,-0.4359600841999054
12,1.6168960332870483,0.1875,0.1875,1.0,0.001,1.0043790340423584,0.05655717849731445,0.7440519332885742,282.8995438794695,0.0,0.16595135629177094,-0.6410850882530212
13,1.60624098777771,0.3125,0.3125,1.0,0.001,1.450777530670166,0.05951213836669922,0.8078100681304932,268.85271541432303,0.0,-0.23925943672657013,-0.323855459690094
14,1.6364660263061523,0.1875,0.1875,1.0,0.001,1.012974739074707,0.05127310752868652,0.8629360198974609,312.0544232870661,0.0,0.5050714015960693,-0.08472287654876709
15,1.649406909942627,0.0,0.0,1.0,0.001,1.94546639919281,0.05649590492248535,0.9239318370819092,283.20636729250805,0.0,-0.02584112621843815,-0.5061781406402588
16,1.5759092569351196,0.4375,0.4375,1.0,0.001,1.4597328901290894,0.05701708793640137,0.9852259159088135,280.6176284879175,0.0,-0.05983467772603035,-0.2501279413700104
17,1.5891586542129517,0.3125,0.3125,1.0,0.001,0.6349588632583618,0.05651998519897461,1.0458829402923584,283.08570753642505,0.0,-0.15385784208774567,-0.31753551959991455
18,1.5889794826507568,0.1875,0.1875,1.0,0.001,1.2221847772598267,0.059953927993774414,1.110645055770874,266.87158849144015,0.0,0.03659883141517639,-0.3502812683582306
19,1.6229126453399658,0.1875,0.1875,1.0,0.001,0.516072154045105,0.05166912078857422,1.1662788391113281,309.6627106443456,0.0,0.21543805301189423,-0.21869675815105438
20,1.5951639413833618,0.3125,0.3125,1.0,0.001,0.5488457083702087,0.049391984939575195,1.2199571132659912,323.9391982236382,0.0,-0.1693677455186844,-0.28396278619766235
21,1.6054672002792358,0.3125,0.3125,1.0,0.001,0.8486124277114868,0.048583984375,1.2731819152832031,329.32663316582915,0.0,0.2930990755558014,0.1273292601108551
22,1.599287748336792,0.25,0.25,1.0,0.001,0.226617693901062,0.048423051834106445,1.3258850574493408,330.4211402208753,0.0,0.03731447830796242,-0.6290245652198792
23,1.5799031257629395,0.375,0.375,1.0,0.001,1.0164716243743896,0.04803299903869629,1.3782320022583008,333.10433077705807,0.0,0.12121077626943588,0.2035742551088333
24,1.5953853130340576,0.25,0.25,1.0,0.001,0.35081708431243896,0.051792144775390625,1.4345660209655762,308.9271562200781,0.0,-0.21364085376262665,0.435655415058136
25,1.6224074363708496,0.1875,0.1875,1.0,0.001,0.5670701861381531,0.050531864166259766,1.489285945892334,316.63189680390286,0.0,-0.0722239688038826,-0.5171775817871094
26,1.5521756410598755,0.375,0.375,1.0,0.001,1.0409530401229858,0.0500180721282959,1.5441811084747314,319.8843801688347,0.0,0.26951465010643005,0.20406058430671692
27,1.6260442733764648,0.1875,0.1875,1.0,0.001,0.8341496586799622,0.048583269119262695,1.5972418785095215,329.3314815996231,0.0,-0.07859198749065399,nan
28,1.6856753826141357,0.0625,0.0625,1.0,0.001,2.0462045669555664,0.04858279228210449,1.6505317687988281,329.33471396813087,0.0,0.09842392057180405,0.14034421741962433
29,1.6770004034042358,0.0625,0.0625,1.0,0.001,1.9816060066223145,0.04860115051269531,1.7036449909210205,329.2103135669715,0.0,-0.27937036752700806,-0.3209088146686554
30,1.6069533824920654,0.25,0.25,1.0,0.001,0.2429773360490799,0.04894089698791504,1.7574799060821533,326.9249438552562,0.0,-0.020791534334421158,0.17092622816562653
31,1.6215028762817383,0.1875,0.1875,1.0,0.001,0.6068199872970581,0.05090785026550293,1.812708854675293,314.29337354758036,0.0,-0.02559475228190422,0.16799362003803253
32,1.6399931907653809,0.125,0.125,1.0,0.001,0.8791079521179199,0.049833059310913086,1.8673248291015625,321.07199961725235,0.0,0.24935269355773926,-0.02220511995255947
33,1.6038053035736084,0.25,0.25,1.0,0.001,0.18805056810379028,0.048393964767456055,1.9201879501342773,330.61973898777705,0.0,0.10409802198410034,-0.28065750002861023
34,1.5743526220321655,0.375,0.375,1.0,0.001,0.766033947467804,0.046407222747802734,1.9713637828826904,344.7739177789423,0.0,-0.23764438927173615,-0.08901607245206833
35,1.6312751770019531,0.125,0.125,1.0,0.001,0.5605020523071289,0.04592418670654297,2.0224578380584717,348.40029072785796,0.0,0.018945910036563873,0.37128230929374695
36,1.6180205345153809,0.125,0.125,1.0,0.001,0.5873152017593384,0.0476531982421875,2.0749340057373047,335.7592058917707,0.0,0.023203594610095024,0.09367454051971436
37,1.6049199104309082,0.1875,0.1875,1.0,0.001,0.3225182592868805,0.048065185546875,2.1275269985198975,332.88126984126984,0.0,-0.08900052309036255,0.4706647992134094
38,1.5990574359893799,0.1875,0.1875,1.0,0.001,0.4848087728023529,0.046501874923706055,2.178799867630005,344.0721481929626,0.0,-0.49497371912002563,0.010663372464478016
39,1.6201486587524414,0.125,0.125,1.0,0.001,0.3495965301990509,0.045619964599609375,2.229494094848633,350.7236391002592,0.0,0.04372398555278778,-0.6273012161254883
40,1.6018643379211426,0.25,0.25,1.0,0.001,0.186625137925148,0.047783851623535156,2.2826828956604004,334.84115357748726,0.0,0.019561056047677994,-0.45867040753364563
41,1.6045665740966797,0.125,0.125,1.0,0.001,0.5461911559104919,0.052767038345336914,2.3404018878936768,303.21959506779746,0.0,0.5548444390296936,-0.5170058012008667
42,1.5974838733673096,0.3125,0.3125,1.0,0.001,0.37486374378204346,0.04632091522216797,2.3917689323425293,345.4163183792798,0.0,-0.24554702639579773,0.07171778380870819
43,1.6205891370773315,0.1875,0.1875,1.0,0.001,0.36502110958099365,0.04821586608886719,2.4449799060821533,331.84097472210135,0.0,0.4002418518066406,-0.24469836056232452
44,1.60378897190094,0.25,0.25,1.0,0.001,0.23332926630973816,0.04915213584899902,2.4993438720703125,325.51993364345,0.0,-0.22651131451129913,-0.24739912152290344
45,1.6053194999694824,0.1875,0.1875,1.0,0.001,0.42369139194488525,0.04863429069519043,2.5530929565429688,328.98598440096674,0.0,-0.12290739268064499,-0.7072425484657288
46,1.6260685920715332,0.0625,0.0625,1.0,0.001,0.7472074031829834,0.04817008972167969,2.6066670417785645,332.15632548010296,0.0,0.08207190036773682,-0.2755856215953827
47,1.620438814163208,0.1875,0.1875,1.0,0.001,0.3517611026763916,0.04849720001220703,2.660261869430542,329.91595382769947,0.0,0.02119157649576664,0.43859347701072693
48,1.6119203567504883,0.1875,0.1875,1.0,0.001,0.1999068707227707,0.04917621612548828,2.715059995651245,325.3605352467759,0.0,-0.5103983879089355,-0.13124141097068787
49,1.6029677391052246,0.25,0.25,1.0,0.001,0.21853269636631012,0.04710698127746582,2.7674407958984375,339.6524159711713,0.0,-0.24070638418197632,-0.2906455993652344
50,1.6025313138961792,0.1875,0.1875,1.0,0.001,0.47121816873550415,0.04689383506774902,2.8194591999053955,341.19623564343345,0.0,-0.6398693919181824,nan
