step,train_loss,train_accuracy,top1_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,early_stop_triggered,early_stop_step,completed_steps,val_loss,val_accuracy,test_loss,test_accuracy,best_eval_accuracy
1,2.300478219985962,0.12890625,0.12890625,0.001,13.475172996520996,0.03176736831665039,0.11707901954650879,8057.6766999106985,446.22802734375,False,,1,,,,,
2,2.2933602333068848,0.07421875,0.07421875,0.001,2.33398699760437,0.017426729202270508,0.13641905784606934,14688.268775136112,446.22802734375,False,,2,,,,,
3,2.288904905319214,0.109375,0.109375,0.001,1.5367995500564575,0.01610541343688965,0.15431880950927734,15893.629533141893,446.22802734375,False,,3,,,,,
4,2.2884960174560547,0.125,0.125,0.001,1.0552340745925903,0.013139963150024414,0.16869759559631348,19479.016454111716,446.22802734375,False,,4,,,,,
5,2.2717103958129883,0.16796875,0.16796875,0.001,1.0838192701339722,0.015830516815185547,0.18613243103027344,16168.862546681123,446.22802734375,False,,5,,,,,
6,2.2654786109924316,0.203125,0.203125,0.001,0.5514985918998718,0.01446080207824707,0.2027578353881836,17700.694416511433,446.22802734375,False,,6,,,,,
7,2.2669363021850586,0.1875,0.1875,0.001,0.4443983733654022,0.017952919006347656,0.22223663330078125,14257.815453664236,446.22802734375,False,,7,,,,,
8,2.271488904953003,0.15625,0.15625,0.001,0.958604633808136,0.012808084487915039,0.2370305061340332,19983.28415097149,446.22802734375,False,,8,,,,,
9,2.253100633621216,0.203125,0.203125,0.001,0.7757450342178345,0.016370296478271484,0.25548362731933594,15635.347060022716,446.22802734375,False,,9,,,,,
10,2.2658121585845947,0.1796875,0.1796875,0.001,0.7402037382125854,0.014168024063110352,0.27207326889038086,18066.120806272505,446.22802734375,False,,10,,,,,
11,2.278233766555786,0.109375,0.109375,0.001,1.179582953453064,0.01518702507019043,0.28912973403930664,16853.84834167857,446.22802734375,False,,11,,,,,
12,2.2703137397766113,0.125,0.125,0.001,0.6559060215950012,0.014261960983276367,0.3057847023010254,17947.445534624836,446.22802734375,False,,12,,,,,
13,2.2601282596588135,0.13671875,0.13671875,0.001,1.1075913906097412,0.01715993881225586,0.3251309394836426,14916.395643476328,446.22802734375,False,,13,,,,,
14,2.2433652877807617,0.1796875,0.1796875,0.001,0.9939758777618408,0.0168454647064209,0.3465001583099365,15195.248206274853,446.22802734375,False,,14,,,,,
15,2.268855333328247,0.12890625,0.12890625,0.001,0.4990027844905853,0.018599271774291992,0.3682982921600342,13762.568400005128,446.22802734375,False,,15,,,,,
16,2.2490620613098145,0.19921875,0.19921875,0.001,0.9621253609657288,0.01867532730102539,0.38916754722595215,13706.350910785177,446.22802734375,False,,16,,,,,
17,2.2542223930358887,0.20703125,0.20703125,0.001,0.306557297706604,0.014973640441894531,0.40723133087158203,17093.988983347663,446.22802734375,False,,17,,,,,
18,2.251721143722534,0.16015625,0.16015625,0.001,0.5405683517456055,0.014479637145996094,0.425433874130249,17677.963483099822,446.22802734375,False,,18,,,,,
19,2.2524659633636475,0.15625,0.15625,0.001,0.3954349756240845,0.013767242431640625,0.4415111541748047,18591.322379014804,446.22802734375,False,,19,,,,,
20,2.2396934032440186,0.1640625,0.1640625,0.001,0.543796181678772,0.015801429748535156,0.4608006477355957,16198.621488700479,446.22802734375,False,,20,2.2148828864097596,0.180078125,2.2148828864097596,0.180078125,0.180078125
21,2.2447311878204346,0.2109375,0.2109375,0.001,0.45501694083213806,0.013071060180664062,0.7809574604034424,19582.036802655337,446.22802734375,False,,21,,,,,
22,2.2373554706573486,0.19140625,0.19140625,0.001,0.43926042318344116,0.01833796501159668,0.8029000759124756,13958.294754631133,446.22802734375,False,,22,,,,,
23,2.2500617504119873,0.19140625,0.19140625,0.001,0.4572681784629822,0.014774322509765625,0.8210294246673584,17324.284418916086,446.22802734375,False,,23,,,,,
24,2.219069004058838,0.20703125,0.20703125,0.001,0.4871496260166168,0.014276742935180664,0.839648962020874,17927.96740800107,446.22802734375,False,,24,,,,,
25,2.248473882675171,0.1953125,0.1953125,0.001,0.448019802570343,0.01742100715637207,0.8616061210632324,14693.69584673281,446.22802734375,False,,25,,,,,
26,2.2362265586853027,0.16796875,0.16796875,0.001,0.48164334893226624,0.016066551208496094,0.8816945552825928,15931.833105822305,446.22802734375,False,,26,,,,,
27,2.2171289920806885,0.19140625,0.19140625,0.001,0.37078285217285156,0.015836715698242188,0.9005031585693359,16162.534605774152,446.22802734375,False,,27,,,,,
28,2.2208220958709717,0.1875,0.1875,0.001,0.4118198752403259,0.014364480972290039,0.9191296100616455,17819.075043977562,477.8583984375,False,,28,,,,,
29,2.231729030609131,0.19140625,0.19140625,0.001,0.49107661843299866,0.014741182327270508,0.9392445087432861,17364.628834802297,477.8583984375,False,,29,,,,,
30,2.228911876678467,0.21484375,0.21484375,0.001,0.6451195478439331,0.01827073097229004,0.9606971740722656,14009.652858056183,477.8583984375,False,,30,,,,,
31,2.206824541091919,0.265625,0.265625,0.001,0.41524431109428406,0.015087366104125977,0.9803612232208252,16964.890096694686,477.8583984375,False,,31,,,,,
32,2.2146267890930176,0.1953125,0.1953125,0.001,0.6629170179367065,0.015923738479614258,1.003098487854004,16073.979401197605,477.8583984375,False,,32,,,,,
33,2.2220470905303955,0.20703125,0.20703125,0.001,0.6347535848617554,0.01792764663696289,1.0264685153961182,14276.773045779095,477.8583984375,False,,33,,,,,
34,2.229369640350342,0.16015625,0.16015625,0.001,0.4802075922489166,0.018241405487060547,1.051461935043335,14031.43881658042,477.8583984375,False,,34,,,,,
35,2.219538688659668,0.1953125,0.1953125,0.001,0.5443534255027771,0.01610875129699707,1.071467399597168,15889.395998579377,477.8583984375,False,,35,,,,,
36,2.2095422744750977,0.17578125,0.17578125,0.001,0.393386572599411,0.015578031539916992,1.0924367904663086,16430.129514016404,477.8583984375,False,,36,,,,,
37,2.2054879665374756,0.1953125,0.1953125,0.001,0.7101908922195435,0.01764845848083496,1.116530179977417,14502.77326201764,477.8583984375,False,,37,,,,,
38,2.200712203979492,0.23828125,0.23828125,0.001,0.36193931102752686,0.013973712921142578,1.1373307704925537,18316.36286718297,477.8583984375,False,,38,,,,,
39,2.1861796379089355,0.1875,0.1875,0.001,0.475356787443161,0.017709970474243164,1.1608622074127197,14452.410310249681,477.8583984375,False,,39,,,,,
40,2.1886162757873535,0.1953125,0.1953125,0.001,0.6204217076301575,0.014182090759277344,1.1820685863494873,18046.991007949982,477.8583984375,False,,40,2.1586312532424925,0.2017578125,2.1586312532424925,0.2017578125,0.2017578125
41,2.1901538372039795,0.25,0.25,0.001,0.42499011754989624,0.012431144714355469,1.3906309604644775,20589.488475551294,477.8583984375,False,,41,,,,,
