step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_null_weight_mean,eval_null_severity_corr,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7072078585624695,0.0015339851379394531,,,,,,
2,0.7593272924423218,0.005236148834228516,,,,,,
3,0.7724243402481079,0.016457080841064453,,,,,,
4,0.6828948259353638,0.021841049194335938,,,,,,
5,0.665630042552948,0.0241549015045166,,,,,,
6,0.6813363432884216,0.02957010269165039,,,,,,
7,0.668133020401001,0.031097888946533203,,,,,,
8,0.6696397662162781,0.0323338508605957,,,,,,
9,0.6467976570129395,0.03364109992980957,,,,,,
10,0.6996713280677795,0.03475785255432129,0.56640625,0.37734535336494446,0.0,nan,1.0,nan
11,0.7067351937294006,0.03858804702758789,,,,,,
12,0.7177014350891113,0.03977084159851074,,,,,,
13,0.6711577773094177,0.04094290733337402,,,,,,
14,0.6994805932044983,0.042099952697753906,,,,,,
15,0.6748170256614685,0.043473005294799805,,,,,,
16,0.680849015712738,0.04499316215515137,,,,,,
17,0.6615768074989319,0.046319007873535156,,,,,,
18,0.6960662603378296,0.047437191009521484,,,,,,
19,0.6928759217262268,0.04860496520996094,,,,,,
20,0.6590880751609802,0.04974007606506348,0.60546875,0.34485939145088196,0.0,nan,1.0,nan
21,0.6596838235855103,0.05366206169128418,,,,,,
22,0.665737509727478,0.05504608154296875,,,,,,
23,0.6865721940994263,0.05639195442199707,,,,,,
24,0.6811805963516235,0.05760812759399414,,,,,,
25,0.6815478801727295,0.05893516540527344,,,,,,
26,0.6461485028266907,0.060269832611083984,,,,,,
27,0.661300539970398,0.06163787841796875,,,,,,
28,0.6515018939971924,0.06278204917907715,,,,,,
29,0.6762435436248779,0.06389689445495605,,,,,,
30,0.638599693775177,0.06503510475158691,0.63671875,0.307547926902771,0.0,nan,1.0,nan
31,0.6654651165008545,0.06906914710998535,,,,,,
32,0.677544355392456,0.07068705558776855,,,,,,
33,0.6431452631950378,0.0720210075378418,,,,,,
34,0.632112979888916,0.07327795028686523,,,,,,
35,0.6394731402397156,0.07457709312438965,,,,,,
36,0.6495959758758545,0.07577395439147949,,,,,,
37,0.6720859408378601,0.07713699340820312,,,,,,
38,0.6553208231925964,0.07853198051452637,,,,,,
39,0.652486264705658,0.07975196838378906,,,,,,
40,0.6388521790504456,0.08095693588256836,0.6640625,0.2629445791244507,0.0,nan,1.0,nan
41,0.6626256704330444,0.08427000045776367,,,,,,
42,0.6347123980522156,0.08571195602416992,,,,,,
43,0.6402875781059265,0.08710622787475586,,,,,,
44,0.60979163646698,0.08837699890136719,,,,,,
45,0.6223722696304321,0.08964419364929199,,,,,,
46,0.6258649826049805,0.09085392951965332,,,,,,
47,0.6144418120384216,0.09210920333862305,,,,,,
48,0.6310335397720337,0.09347200393676758,,,,,,
49,0.6305298805236816,0.09478092193603516,,,,,,
50,0.6261181831359863,0.09600400924682617,0.7109375,0.21371214091777802,0.0,nan,1.0,nan
