drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std
0.08231606334447861,0.433988094329834,0.8948636054992676,0.0010561073431745172,-0.01973094791173935,0.042633235454559326,0.1716410368680954,0.10561054199934006,0.009999999776482582,0.0,0.6931471824645996,0.0,0.01589001901447773,0.0
0.07688664644956589,0.5869925022125244,0.8971244096755981,0.0025447355583310127,-0.020601579919457436,0.05754951387643814,0.2488916963338852,0.12276796996593475,0.019999999552965164,0.0,0.6921074986457825,0.00013601119280792773,0.015574733726680279,0.0
0.09139340370893478,0.6669361591339111,0.9002673029899597,0.004939468111842871,-0.01917659118771553,0.06541558355093002,0.3155297338962555,0.16781437397003174,0.029999999329447746,0.0,0.6907624006271362,0.00047811775584705174,0.015316003002226353,0.0
0.09612027555704117,0.7098313570022583,0.9037588238716125,0.00842747651040554,-0.018763739615678787,0.06957323849201202,0.3559565842151642,0.21327485144138336,0.03999999910593033,0.0,0.689476490020752,0.0005224972846917808,0.015093999914824963,0.0
0.06802552193403244,0.7559588551521301,0.905944287776947,0.011507806368172169,-0.021273067221045494,0.07445280253887177,0.3587104082107544,0.23189695179462433,0.05000000074505806,0.0,0.6879510879516602,0.00098365917801857,0.014931160025298595,0.0
0.06445880234241486,0.7944387793540955,0.9100365042686462,0.01405684556812048,-0.021585842594504356,0.07882346957921982,0.39352846145629883,0.23399408161640167,0.05999999865889549,0.0,0.6863486766815186,0.0019473445136100054,0.01482025533914566,0.0
0.046997468918561935,0.8241534233093262,0.9116434454917908,0.015370550565421581,-0.022842830047011375,0.08264411240816116,0.39162251353263855,0.213785320520401,0.07000000774860382,0.0,0.6841423511505127,0.002944972598925233,0.014829663559794426,0.0
0.03890113905072212,0.8948164582252502,0.9174456000328064,0.018702326342463493,-0.02307165041565895,0.0896371528506279,0.4322114586830139,0.23057232797145844,0.07999999821186066,0.0,0.6827723979949951,0.0036290057469159365,0.014886218123137951,0.0
0.045691460371017456,0.914681077003479,0.9214588403701782,0.021236371248960495,-0.021989112719893456,0.09214470535516739,0.44853663444519043,0.23166078329086304,0.09000000357627869,0.0,0.6809866428375244,0.004875922575592995,0.01495921891182661,0.0
0.04568125680088997,0.9503803849220276,0.9251983761787415,0.022669630125164986,-0.021347586065530777,0.09614762663841248,0.4675288200378418,0.22000987827777863,0.10000000149011612,0.0,0.6783343553543091,0.005844626110047102,0.015093301422894001,0.0
0.05497100576758385,0.9710885286331177,0.9292123913764954,0.023835154250264168,-0.019741855561733246,0.09818509966135025,0.4719456732273102,0.20970354974269867,0.10999999195337296,0.0,0.6771824359893799,0.006535753607749939,0.015318223275244236,0.0
0.04464838281273842,1.0049916505813599,0.933175265789032,0.02551216445863247,-0.020086312666535378,0.1018897220492363,0.4894300401210785,0.21115270256996155,0.11999999731779099,0.0,0.6743232011795044,0.008381759747862816,0.01566210575401783,0.0
0.03048737905919552,1.0359652042388916,0.9339375495910645,0.02841143123805523,-0.020578322932124138,0.10528106987476349,0.48980793356895447,0.20960593223571777,0.12999999523162842,0.0,0.6701377630233765,0.009254894219338894,0.01610943302512169,0.0
0.031604282557964325,1.094926357269287,0.9399205446243286,0.03288441151380539,-0.01927749067544937,0.11147073656320572,0.5227553248405457,0.21150049567222595,0.14000001549720764,0.0,0.6666055917739868,0.010358138009905815,0.016644712537527084,0.0
0.0408833883702755,1.1476713418960571,0.9489660263061523,0.033628787845373154,-0.017330218106508255,0.11753454804420471,0.5743920803070068,0.19999170303344727,0.15000000596046448,0.0,0.6626759767532349,0.013060467317700386,0.01730513572692871,0.0
0.042271897196769714,1.189752221107483,0.9550607800483704,0.03628349304199219,-0.01592216268181801,0.12206318974494934,0.5964015126228333,0.19941072165966034,0.1599999964237213,0.0,0.6595028042793274,0.01593826338648796,0.018109748139977455,0.0
0.04544752463698387,1.2785040140151978,0.9667862057685852,0.04077450931072235,-0.013694072142243385,0.13238120079040527,0.6581977009773254,0.2070208489894867,0.17000000178813934,0.0,0.6547564268112183,0.019818192347884178,0.01906471885740757,0.0
0.036136966198682785,1.3392956256866455,0.9699512720108032,0.045431654900312424,-0.012447677552700043,0.13898338377475739,0.675020158290863,0.2032669633626938,0.18000000715255737,0.0,0.6483095288276672,0.02229447290301323,0.020176047459244728,0.0
0.05559095740318298,1.3622891902923584,0.973973274230957,0.051566265523433685,-0.008967304602265358,0.14153052866458893,0.6779351234436035,0.20593324303627014,0.1899999976158142,0.0,0.6450251936912537,0.02539910189807415,0.021401137113571167,0.0
0.04819769412279129,1.40963613986969,0.9735832214355469,0.057014476507902145,-0.007612523622810841,0.14788025617599487,0.6961175799369812,0.21057650446891785,0.20000000298023224,0.0,0.6342170238494873,0.029952634125947952,0.022826608270406723,0.0
0.05798068270087242,1.522803783416748,0.9884080290794373,0.0628608837723732,-0.0028162007220089436,0.1600717306137085,0.7531183362007141,0.21537020802497864,0.20999999344348907,0.0,0.6301068067550659,0.035826846957206726,0.024383191019296646,0.0
