step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7130729556083679,0.5710344314575195,,,,
2,0.7910606861114502,0.5818641185760498,,,,
3,0.8014426827430725,0.5933187007904053,,,,
4,0.7891653776168823,0.6045002937316895,,,,
5,0.7081626653671265,0.6138849258422852,,,,
6,0.7660415768623352,0.6251368522644043,,,,
7,0.7042982578277588,0.6327564716339111,,,,
8,0.7536206841468811,0.6403763294219971,,,,
9,0.7547956109046936,0.6494030952453613,,,,
10,0.7219120860099792,0.6579949855804443,,,,
11,0.7713353633880615,0.6681921482086182,,,,
12,0.745751678943634,0.6779203414916992,,,,
13,0.7201739549636841,0.6886727809906006,,,,
14,0.7141062617301941,0.6984951496124268,,,,
15,0.7454501390457153,0.7085461616516113,,,,
16,0.6945035457611084,0.7173633575439453,,,,
17,0.7014653086662292,0.7264652252197266,,,,
18,0.7349256277084351,0.7369582653045654,,,,
19,0.739905834197998,0.7473251819610596,,,,
20,0.6718421578407288,0.7584383487701416,,,,
21,0.6923235654830933,0.7680947780609131,,,,
22,0.6634507179260254,0.7753703594207764,,,,
23,0.7462486624717712,0.7849709987640381,,,,
24,0.7429683804512024,0.792292594909668,,,,
25,0.6839010715484619,0.8017086982727051,0.552734375,0.4212399423122406,0.5120534896850586,0.061012882739305496
26,0.6118479371070862,0.9384880065917969,,,,
27,0.711246132850647,0.9500088691711426,,,,
28,0.6696895956993103,0.9560432434082031,,,,
29,0.7059183716773987,0.963862419128418,,,,
30,0.694011926651001,0.972139835357666,,,,
31,0.7444523572921753,0.9789552688598633,,,,
32,0.7107709646224976,0.9889552593231201,,,,
33,0.6767823100090027,0.99969482421875,,,,
34,0.7149693369865417,1.0090928077697754,,,,
35,0.714478611946106,1.0178124904632568,,,,
36,0.7066952586174011,1.0250589847564697,,,,
37,0.7465245723724365,1.0328941345214844,,,,
38,0.6335980296134949,1.0443952083587646,,,,
39,0.6251737475395203,1.0510540008544922,,,,
40,0.6523657441139221,1.0593526363372803,,,,
41,0.6748086214065552,1.0686352252960205,,,,
42,0.6778631806373596,1.0764429569244385,,,,
43,0.6470316052436829,1.0864965915679932,,,,
44,0.668597936630249,1.09653639793396,,,,
45,0.6257794499397278,1.1052031517028809,,,,
46,0.6310860514640808,1.1120781898498535,,,,
47,0.5997132062911987,1.1232852935791016,,,,
48,0.7051616907119751,2.1268911361694336,,,,
49,0.6112379431724548,2.1392886638641357,,,,
50,0.659925639629364,2.155653953552246,0.6376953125,0.28047892451286316,0.5214155316352844,0.05930052325129509
51,0.6447381973266602,2.3331336975097656,,,,
52,0.6665630340576172,2.345684051513672,,,,
53,0.6072619557380676,2.3608405590057373,,,,
54,0.6713876724243164,2.377899408340454,,,,
55,0.5874966382980347,2.3908510208129883,,,,
56,0.6339432597160339,2.404510259628296,,,,
57,0.6192542314529419,2.421942949295044,,,,
58,0.6265974640846252,2.441152811050415,,,,
59,0.622605562210083,2.4557738304138184,,,,
60,0.560097873210907,2.4695215225219727,,,,
61,0.5948814153671265,2.4846584796905518,,,,
62,0.5954399704933167,2.499006509780884,,,,
63,0.571997344493866,2.5156631469726562,,,,
64,0.572219729423523,2.528956174850464,,,,
65,0.5929940938949585,2.5439507961273193,,,,
66,0.628787100315094,2.556732654571533,,,,
67,0.6224204897880554,2.5681169033050537,,,,
68,0.5861650705337524,2.5808823108673096,,,,
69,0.5219047665596008,2.598423480987549,,,,
