step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc
1,0.9337670803070068,0.0007898807525634766,,
2,0.8087198734283447,0.0014069080352783203,,
3,0.8953878283500671,0.002022981643676758,,
4,0.8743153214454651,0.002669811248779297,,
5,0.9674748182296753,0.003340005874633789,,
6,0.9129308462142944,0.003933906555175781,,
7,0.7413209676742554,0.004542827606201172,,
8,0.9317154288291931,0.005135774612426758,,
9,0.8738149404525757,0.005817890167236328,,
10,1.049456000328064,0.006433010101318359,0.484375,0.5083184838294983
11,0.8102772831916809,0.008780956268310547,,
12,0.8646427392959595,0.009447813034057617,,
13,0.9926187992095947,0.010046958923339844,,
14,0.7956191301345825,0.010640859603881836,,
15,0.770560622215271,0.01129913330078125,,
16,0.7749307155609131,0.012007951736450195,,
17,0.843143880367279,0.012708902359008789,,
18,0.8730392456054688,0.013323068618774414,,
19,0.8541120886802673,0.013987064361572266,,
20,0.8828989863395691,0.014636993408203125,0.5,0.4994925856590271
21,0.8482049107551575,0.017049789428710938,,
22,0.9365513324737549,0.017885923385620117,,
23,0.7561087608337402,0.01860976219177246,,
24,0.8033937811851501,0.019299745559692383,,
25,0.7805889844894409,0.020020008087158203,,
26,0.879904568195343,0.020684003829956055,,
27,0.8270311951637268,0.021365880966186523,,
28,0.8309678435325623,0.02205681800842285,,
29,0.8331702351570129,0.022784948348999023,,
30,0.8857641816139221,0.02346181869506836,0.515625,0.48761770129203796
31,0.7740390300750732,0.025964021682739258,,
32,0.8589539527893066,0.026700973510742188,,
33,0.8792896270751953,0.02752089500427246,,
34,0.7292928695678711,0.028269052505493164,,
35,0.7325436472892761,0.028982877731323242,,
36,0.790477454662323,0.029713869094848633,,
37,0.8962756395339966,0.03044891357421875,,
38,0.8089451789855957,0.03119373321533203,,
39,0.8540728092193604,0.03199267387390137,,
40,0.8575120568275452,0.03271079063415527,0.5234375,0.47627079486846924
41,0.7142317891120911,0.03535795211791992,,
42,0.9281677603721619,0.03614473342895508,,
43,0.8914438486099243,0.03693890571594238,,
44,0.7289218902587891,0.03769707679748535,,
45,0.7483158111572266,0.03845500946044922,,
46,0.7755728960037231,0.03923296928405762,,
47,0.8423831462860107,0.04002189636230469,,
48,0.8037946820259094,0.04080986976623535,,
49,0.853340208530426,0.04172086715698242,,
50,0.7551035284996033,0.04259300231933594,0.53515625,0.46327465772628784
