step,train_loss,wall_clock_time_sec,eval_action_accuracy,eval_unsafe_action_rate,eval_expected_utility,eval_risk_weighted_reward,eval_approval_precision,eval_approval_recall,eval_risk_corr,eval_ece
1,1.3725532293319702,0.0031499862670898438,,,,,,,,
2,1.3771238327026367,0.00629878044128418,,,,,,,,
3,1.3735742568969727,0.009179830551147461,,,,,,,,
4,1.3701086044311523,0.012183904647827148,,,,,,,,
5,1.3697763681411743,0.015582799911499023,,,,,,,,
6,1.366052508354187,0.018555879592895508,,,,,,,,
7,1.3763909339904785,0.022012948989868164,,,,,,,,
8,1.378285527229309,0.0252840518951416,,,,,,,,
9,1.368672490119934,0.028702974319458008,,,,,,,,
10,1.3692387342453003,0.031769752502441406,0.484375,0.3671875,0.6905747652053833,-0.1905953735113144,0.203125,0.5652173757553101,0.16063229739665985,0.2256777584552765
11,1.377672553062439,0.03975391387939453,,,,,,,,
12,1.3720660209655762,0.04288983345031738,,,,,,,,
13,1.3711943626403809,0.047856807708740234,,,,,,,,
14,1.3765499591827393,0.052945852279663086,,,,,,,,
15,1.3668246269226074,0.058680057525634766,,,,,,,,
16,1.3700432777404785,0.06916093826293945,,,,,,,,
17,1.3688325881958008,0.07469797134399414,,,,,,,,
18,1.3768293857574463,0.0818319320678711,,,,,,,,
19,1.3680776357650757,0.08492207527160645,,,,,,,,
20,1.3679579496383667,0.08801388740539551,0.5,0.3359375,0.6818504333496094,-0.154278963804245,0.203125,0.5652173757553101,0.1963360458612442,0.24091407656669617
21,1.3713910579681396,0.09715676307678223,,,,,,,,
22,1.3700493574142456,0.10050201416015625,,,,,,,,
23,1.3670616149902344,0.10338687896728516,,,,,,,,
24,1.3701938390731812,0.10695385932922363,,,,,,,,
25,1.3694660663604736,0.11009407043457031,,,,,,,,
26,1.369572639465332,0.11339592933654785,,,,,,,,
27,1.365604043006897,0.11646103858947754,,,,,,,,
28,1.3710466623306274,0.11940693855285645,,,,,,,,
29,1.3674761056900024,0.12271881103515625,,,,,,,,
30,1.3694576025009155,0.12572598457336426,0.515625,0.3203125,0.6928770542144775,-0.1221398413181305,0.21875,0.6086956262588501,0.22654259204864502,0.25610122084617615
31,1.3726080656051636,0.13420486450195312,,,,,,,,
32,1.3630362749099731,0.13747596740722656,,,,,,,,
33,1.3623038530349731,0.14090991020202637,,,,,,,,
34,1.3716005086898804,0.1439208984375,,,,,,,,
35,1.3680821657180786,0.14760804176330566,,,,,,,,
36,1.3675044775009155,0.15069890022277832,,,,,,,,
37,1.3661020994186401,0.15383481979370117,,,,,,,,
38,1.3591614961624146,0.15731596946716309,,,,,,,,
39,1.373732089996338,0.16046690940856934,,,,,,,,
40,1.3673096895217896,0.16399002075195312,0.5078125,0.3125,0.6892178058624268,-0.1161714494228363,0.234375,0.6521739363670349,0.25240716338157654,0.247806116938591
