step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.5961084365844727,0.375,0.375,1.0,0.001,1.1327810287475586,0.018941879272460938,0.021001815795898438,422.3445775853388,0.0,-0.11347687244415283,0.33456796407699585
2,1.622117519378662,0.25,0.25,1.0,0.001,1.2193185091018677,0.008600950241088867,0.031445980072021484,930.1297851697851,0.0,-0.500969648361206,0.21783126890659332
3,1.6490942239761353,0.125,0.125,1.0,0.001,1.120694875717163,0.0087890625,0.04224205017089844,910.2222222222222,0.0,0.7223284244537354,-0.022622523829340935
4,1.5766452550888062,0.375,0.375,1.0,0.001,1.0367226600646973,0.009181976318359375,0.05343484878540039,871.2721229746572,0.0,0.10076296329498291,0.3822477161884308
