step,train_loss,val_score,best_val_score,warmup_eta
1,0.7231057286262512,0.611328125,0.611328125,0.01
50,0.38773900270462036,0.5146484375,0.611328125,0.5
100,0.22758851945400238,0.453125,0.611328125,1.0
150,0.16481216251850128,0.44189453125,0.611328125,1.0
200,0.16556604206562042,0.44482421875,0.611328125,1.0
250,0.1272657811641693,0.447265625,0.611328125,1.0
300,0.08790425211191177,0.44482421875,0.611328125,1.0
350,0.09223005175590515,0.44921875,0.611328125,1.0
400,0.10285639762878418,0.44775390625,0.611328125,1.0
450,0.07932274788618088,0.46240234375,0.611328125,1.0
500,0.07782729715108871,0.47216796875,0.611328125,1.0
550,0.09211955219507217,0.47802734375,0.611328125,1.0
600,0.09196434915065765,0.4580078125,0.611328125,1.0
