mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.999602198600769,0.9998010993003845,0.7719113230705261,0.9576337933540344,1.0407589673995972,1.0407589673995972,0.08312517404556274
0.7780194282531738,0.8820540904998779,0.6241904497146606,0.7577922344207764,0.7978554964065552,0.7978554964065552,0.04006326198577881
0.7390040755271912,0.8596534729003906,0.6056514382362366,0.725435197353363,0.7523105144500732,0.7523105144500732,0.026875317096710205
0.6881259679794312,0.829533576965332,0.5896209478378296,0.6792876124382019,0.6967933177947998,0.6967933177947998,0.0175057053565979
0.6702640056610107,0.8186964988708496,0.5919601321220398,0.662232518196106,0.6781402230262756,0.6781402230262756,0.015907704830169678
0.6635257005691528,0.8145708441734314,0.5905779600143433,0.6524199843406677,0.6744166612625122,0.6744166612625122,0.021996676921844482
0.6583757400512695,0.8114035725593567,0.5895453691482544,0.645703911781311,0.6708024740219116,0.6708024740219116,0.025098562240600586
0.6553637385368347,0.8095453977584839,0.5891928672790527,0.6436665058135986,0.6668347120285034,0.6668347120285034,0.023168206214904785
0.6487720012664795,0.8054638504981995,0.5845683813095093,0.6363816857337952,0.6609227061271667,0.6609227061271667,0.024541020393371582
0.6492966413497925,0.8057894706726074,0.5868046283721924,0.6368476748466492,0.661504864692688,0.661504864692688,0.02465718984603882
0.6404074430465698,0.8002545833587646,0.5822710394859314,0.6313161253929138,0.6493228673934937,0.6493228673934937,0.018006742000579834
0.6261977553367615,0.7913265824317932,0.5775261521339417,0.616034209728241,0.6361647248268127,0.6361647248268127,0.020130515098571777
0.6167075634002686,0.7853072881698608,0.5719313621520996,0.6077079176902771,0.6255331039428711,0.6255331039428711,0.017825186252593994
0.592375636100769,0.7696593999862671,0.5572080016136169,0.5872408151626587,0.5974110960960388,0.5974110960960388,0.010170280933380127
0.5610161423683167,0.7490100860595703,0.5371288061141968,0.5552381277084351,0.5666823983192444,0.5666823983192444,0.011444270610809326
0.5294719934463501,0.7276482582092285,0.5187375545501709,0.5222775340080261,0.5365273952484131,0.5365273952484131,0.014249861240386963
