step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc
1,0.7743219137191772,0.0011692047119140625,,
2,0.87763911485672,0.002009153366088867,,
3,0.8701293468475342,0.0027980804443359375,,
4,0.7291545867919922,0.003519296646118164,,
5,0.7130526304244995,0.004248142242431641,,
6,0.7045138478279114,0.004911184310913086,,
7,0.7161905765533447,0.005609989166259766,,
8,0.7275757193565369,0.0063343048095703125,,
9,0.639729917049408,0.007086038589477539,,
10,0.7877817749977112,0.007789134979248047,0.5859375,0.40495792031288147
11,0.7974769473075867,0.010255098342895508,,
12,0.7785567045211792,0.01093912124633789,,
13,0.703933835029602,0.011603116989135742,,
14,0.738844633102417,0.012345075607299805,,
15,0.7294877767562866,0.013030052185058594,,
16,0.741274356842041,0.013786077499389648,,
17,0.6722809672355652,0.014755010604858398,,
18,0.7783342599868774,0.015594005584716797,,
19,0.7511507272720337,0.016340970993041992,,
20,0.6813855171203613,0.01716017723083496,0.59375,0.3808579742908478
21,0.7223241925239563,0.019530057907104492,,
22,0.6935623288154602,0.02028512954711914,,
23,0.7264012694358826,0.021080970764160156,,
24,0.7232481241226196,0.02183818817138672,,
25,0.7378590106964111,0.022661209106445312,,
26,0.6700676679611206,0.023416996002197266,,
27,0.6938897371292114,0.024218082427978516,,
28,0.6899882555007935,0.025010108947753906,,
29,0.7427236437797546,0.025957107543945312,,
30,0.6489208936691284,0.026960134506225586,0.5859375,0.35448795557022095
31,0.710270881652832,0.029613018035888672,,
32,0.6924652457237244,0.030494213104248047,,
33,0.6653757095336914,0.03139209747314453,,
34,0.638762354850769,0.032293081283569336,,
35,0.6473871469497681,0.03312420845031738,,
36,0.6811756491661072,0.03428292274475098,,
37,0.7180387377738953,0.03556704521179199,,
38,0.6955930590629578,0.03660321235656738,,
39,0.6973472237586975,0.03771805763244629,,
40,0.6830174922943115,0.03862905502319336,0.61328125,0.3293015956878662
41,0.7062587141990662,0.04137015342712402,,
42,0.6663122177124023,0.042350053787231445,,
43,0.661949098110199,0.04372811317443848,,
44,0.6375398635864258,0.04475522041320801,,
45,0.6470930576324463,0.04598212242126465,,
46,0.6542444229125977,0.04702901840209961,,
47,0.6401749849319458,0.048043012619018555,,
48,0.6616311073303223,0.04903817176818848,,
49,0.6629080176353455,0.0500490665435791,,
50,0.6696802377700806,0.05126333236694336,0.640625,0.30213743448257446
