spline_edge_output_mean,spline_edge_output_std,spline_basis_mean,spline_basis_std,edge_output_mean,edge_output_std
0.0077003901824355125,0.08802903443574905,0.029971979558467865,0.13815639913082123,0.0077003901824355125,0.08802903443574905
0.004250594414770603,0.2244459092617035,0.029351554811000824,0.13680599629878998,0.004250594414770603,0.2244459092617035
0.008501196280121803,0.26519864797592163,0.02939477190375328,0.1369115561246872,0.008501196280121803,0.26519864797592163
0.008843863382935524,0.27917173504829407,0.029401076957583427,0.13705027103424072,0.008843863382935524,0.27917173504829407
0.008320488967001438,0.2861250936985016,0.029378117993474007,0.1369350403547287,0.008320488967001438,0.2861250936985016
0.00796991866081953,0.2896166145801544,0.029371483251452446,0.13691820204257965,0.00796991866081953,0.2896166145801544
0.00806712917983532,0.29188257455825806,0.029362542554736137,0.1368134766817093,0.00806712917983532,0.29188257455825806
0.008113312534987926,0.29350546002388,0.029358254745602608,0.13679751753807068,0.008113312534987926,0.29350546002388
0.008017722517251968,0.29462170600891113,0.029354538768529892,0.13670693337917328,0.008017722517251968,0.29462170600891113
0.007778504863381386,0.295628160238266,0.02935270220041275,0.13674259185791016,0.007778504863381386,0.295628160238266
0.007693743333220482,0.29615628719329834,0.02935083955526352,0.13677573204040527,0.007693743333220482,0.29615628719329834
0.0077312714420259,0.2966400980949402,0.029350414872169495,0.13681013882160187,0.0077312714420259,0.2966400980949402
0.007665414363145828,0.29728204011917114,0.029350118711590767,0.13684825599193573,0.007665414363145828,0.29728204011917114
0.007518576458096504,0.2977323532104492,0.029348615556955338,0.1367674320936203,0.007518576458096504,0.2977323532104492
0.00759282847866416,0.2980554401874542,0.029349563643336296,0.13684609532356262,0.00759282847866416,0.2980554401874542
0.007458569947630167,0.2986415922641754,0.029347358271479607,0.1368519514799118,0.007458569947630167,0.2986415922641754
0.007265223190188408,0.2991258203983307,0.029345935210585594,0.1368306279182434,0.007265223190188408,0.2991258203983307
0.007249764632433653,0.29942628741264343,0.02934628538787365,0.13683223724365234,0.007249764632433653,0.29942628741264343
0.0072464244440197945,0.2997031807899475,0.029344722628593445,0.13679882884025574,0.0072464244440197945,0.2997031807899475
0.007194397039711475,0.30003082752227783,0.02934540994465351,0.1368381679058075,0.007194397039711475,0.30003082752227783
0.007020455319434404,0.3004348576068878,0.029344050213694572,0.1368606984615326,0.007020455319434404,0.3004348576068878
0.006867394782602787,0.3007466495037079,0.029344206675887108,0.13686861097812653,0.006867394782602787,0.3007466495037079
0.007018201053142548,0.3011229932308197,0.029343869537115097,0.1368727684020996,0.007018201053142548,0.3011229932308197
0.0067978729493916035,0.3013315796852112,0.02934151515364647,0.13681215047836304,0.0067978729493916035,0.3013315796852112
0.007128958590328693,0.3015865385532379,0.029343584552407265,0.13683795928955078,0.007128958590328693,0.3015865385532379
0.006914530880749226,0.3017639219760895,0.02934287302196026,0.1368260681629181,0.006914530880749226,0.3017639219760895
0.006913363002240658,0.30193009972572327,0.029344845563173294,0.13680270314216614,0.006913363002240658,0.30193009972572327
0.0068486458621919155,0.30222970247268677,0.029342999681830406,0.1368253231048584,0.0068486458621919155,0.30222970247268677
0.006978846155107021,0.30240699648857117,0.029344353824853897,0.13679738342761993,0.006978846155107021,0.30240699648857117
