step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,4.416293144226074,4.416293144226074,0.039647575467824936,0.039647575467824936,82.78882961228189,6.371364218286885,0.001,3.977132558822632,0.03799605369567871,0.05456995964050293,5974.304642742852,0.0,0.03323066234588623,0.005,nan,nan,nan,nan,nan
2,4.389498710632324,4.389498710632324,0.0535714291036129,0.0535714291036129,80.60000492625133,6.332708021817753,0.001,2.265746831893921,0.0409998893737793,0.10679864883422852,6829.286719467802,0.0,0.04029300808906555,0.01,nan,nan,nan,nan,nan
3,4.361999988555908,4.361999988555908,0.10285714268684387,0.10285714268684387,78.41380441321952,6.293035751847324,0.001,2.1135776042938232,0.03585672378540039,0.15295100212097168,4880.535127731159,0.0,0.18877536058425903,0.015,nan,nan,nan,nan,nan
4,4.35439395904541,4.35439395904541,0.09036144614219666,0.09036144614219666,77.81964914846509,6.282062570791673,0.001,2.052891492843628,0.035562992095947266,0.2001819610595703,4667.773722529867,0.0,-0.04897943139076233,0.02,nan,nan,nan,nan,nan
5,4.328732967376709,4.328732967376709,0.1355140209197998,0.1355140209197998,75.84812361421693,6.245041585366946,0.001,1.7805167436599731,0.03973126411437988,0.25145769119262695,5386.186540250233,0.0,0.05576945096254349,0.025,nan,nan,nan,nan,nan
6,4.300477504730225,4.300477504730225,0.18497109413146973,0.18497109413146973,73.7349941032147,6.204277569528839,0.001,2.179614543914795,0.10084986686706543,0.36316895484924316,1715.4212035603257,0.0,-0.07095922529697418,0.03,nan,nan,nan,nan,nan
7,4.300799369812012,4.300799369812012,0.1689189225435257,0.1689189225435257,73.75873064289904,6.204741922686169,0.001,1.5539815425872803,0.036843061447143555,0.41213083267211914,8034.077201338243,0.0,-0.08525107055902481,0.035,nan,nan,nan,nan,nan
8,4.329885482788086,4.329885482788086,0.11999999731779099,0.11999999731779099,75.93559013918359,6.246704313635487,0.001,1.7260791063308716,0.03379988670349121,0.4579966068267822,4437.884698131441,0.0,-0.01810135319828987,0.04,nan,nan,nan,nan,nan
9,4.285597801208496,4.285597801208496,0.18959107995033264,0.18959107995033264,72.64596158536,6.182810695048143,0.001,1.5293679237365723,0.040307044982910156,0.5151548385620117,6673.771300130132,0.0,0.013448267243802547,0.045,nan,nan,nan,nan,nan
10,4.283925533294678,4.283925533294678,0.15811966359615326,0.15811966359615326,72.52457959462339,6.18039812242184,0.001,1.7508001327514648,0.03954792022705078,0.5661869049072266,5916.872458945236,0.0,-0.030112987384200096,0.05,nan,nan,nan,nan,nan
