step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.2924931049346924,0.078125,0.008030921220779419,0.001,0.0039844512939453125,,,,,,,,,,,,,,,,,
2,2.256519317626953,0.1875,0.008143390528857708,0.001,0.008290767669677734,,,,,,,,,,,,,,,,,
3,2.2918331623077393,0.234375,0.008229891769587994,0.001,0.011679649353027344,,,,,,,,,,,,,,,,,
4,2.3222146034240723,0.109375,0.008264590054750443,0.001,0.01502847671508789,,,,,,,,,,,,,,,,,
5,2.1864442825317383,0.328125,0.008295517414808273,0.001,0.018133163452148438,,,,,,,,,,,,,,,,,
6,2.1821908950805664,0.1875,0.00831742025911808,0.001,0.021623849868774414,,,,,,,,,,,,,,,,,
7,2.1920011043548584,0.25,0.008325140923261642,0.001,0.02512359619140625,,,,,,,,,,,,,,,,,
8,2.1405982971191406,0.234375,0.00832347385585308,0.001,0.02874469757080078,,,,,,,,,,,,,,,,,
9,2.1149115562438965,0.28125,0.008327491581439972,0.001,0.032468318939208984,,,,,,,,,,,,,,,,,
10,2.1191279888153076,0.28125,0.008326632902026176,0.001,0.035977840423583984,,,,,,,,,,,,,,,,,
11,2.081921100616455,0.28125,0.008320945315063,0.001,0.03941631317138672,,,,,,,,,,,,,,,,,
12,2.0074172019958496,0.328125,0.008304784074425697,0.001,0.04298233985900879,,,,,,,,,,,,,,,,,
13,1.988084316253662,0.34375,0.008275858126580715,0.001,0.046651601791381836,,,,,,,,,,,,,,,,,
14,2.010876417160034,0.296875,0.008244934491813183,0.001,0.0503077507019043,,,,,,,,,,,,,,,,,
15,2.012047052383423,0.328125,0.008210588246583939,0.001,0.05402565002441406,,,,,,,,,,,,,,,,,
16,1.9636036157608032,0.34375,0.008179453201591969,0.001,0.05761909484863281,,,,,,,,,,,,,,,,,
17,1.9330732822418213,0.359375,0.008139516226947308,0.001,0.06114053726196289,,,,,,,,,,,,,,,,,
18,1.896475076675415,0.328125,0.008083010092377663,0.001,0.06466937065124512,,,,,,,,,,,,,,,,,
19,1.923903465270996,0.4375,0.00802227295935154,0.001,0.06839251518249512,,,,,,,,,,,,,,,,,
20,1.8400405645370483,0.390625,0.007959280163049698,0.001,0.0722815990447998,,,,,,,,,,,,,,,,,
21,1.9297188520431519,0.390625,0.00789340864866972,0.001,0.07626962661743164,,,,,,,,,,,,,,,,,
22,1.796481966972351,0.390625,0.007830541580915451,0.001,0.08045125007629395,,,,,,,,,,,,,,,,,
23,1.7662681341171265,0.515625,0.00776294618844986,0.001,0.08448147773742676,,,,,,,,,,,,,,,,,
24,1.832743525505066,0.390625,0.007702834438532591,0.001,0.0883944034576416,,,,,,,,,,,,,,,,,
25,1.7938941717147827,0.453125,0.007646345533430576,0.001,0.09244203567504883,,,,,,,,,,,,,,,,,
26,1.7529042959213257,0.484375,0.007587680127471685,0.001,0.09650254249572754,,,,,,,,,,,,,,,,,
27,1.727762222290039,0.4375,0.007530299946665764,0.001,0.10066866874694824,,,,,,,,,,,,,,,,,
28,1.6820058822631836,0.578125,0.007481900975108147,0.001,0.10464072227478027,,,,,,,,,,,,,,,,,
29,1.7979815006256104,0.390625,0.007440811488777399,0.001,0.1087186336517334,,,,,,,,,,,,,,,,,
30,1.7261120080947876,0.46875,0.007405283860862255,0.001,0.11288857460021973,,,,,,,,,,,,,,,,,
31,1.7760365009307861,0.40625,0.007371668238192797,0.001,0.11951088905334473,,,,,,,,,,,,,,,,,
32,1.6885250806808472,0.53125,0.007343513425439596,0.001,0.12381958961486816,,,,,,,,,,,,,,,,,
33,1.566794991493225,0.640625,0.007319646421819925,0.001,0.1280219554901123,,,,,,,,,,,,,,,,,
34,1.7164088487625122,0.5,0.007306605111807585,0.001,0.13219141960144043,,,,,,,,,,,,,,,,,
35,1.7269723415374756,0.5,0.007306734099984169,0.001,0.13689088821411133,,,,,,,,,,,,,,,,,
36,1.5824928283691406,0.546875,0.007322615012526512,0.001,0.1415109634399414,,,,,,,,,,,,,,,,,
37,1.5854774713516235,0.546875,0.0073588015511631966,0.001,0.1462116241455078,,,,,,,,,,,,,,,,,
38,1.6222035884857178,0.578125,0.007407716475427151,0.001,0.15067672729492188,,,,,,,,,,,,,,,,,
39,1.6552315950393677,0.4375,0.007463586516678333,0.001,0.15516185760498047,,,,,,,,,,,,,,,,,
40,1.6311334371566772,0.4375,0.00752411549910903,0.001,0.1599411964416504,,,,,,,,,,,,,,,,,
41,1.546972632408142,0.5625,0.007589906454086304,0.001,0.1647169589996338,,,,,,,,,,,,,,,,,
42,1.5310231447219849,0.546875,0.007660296279937029,0.001,0.16925311088562012,,,,,,,,,,,,,,,,,
43,1.5225774049758911,0.5625,0.007733632810413837,0.001,0.17367815971374512,,,,,,,,,,,,,,,,,
44,1.4194254875183105,0.6875,0.007809994742274284,0.001,0.17833304405212402,,,,,,,,,,,,,,,,,
45,1.5002291202545166,0.59375,0.007894409820437431,0.001,0.18315696716308594,,,,,,,,,,,,,,,,,
46,1.5840058326721191,0.4375,0.007986941374838352,0.001,0.18801355361938477,,,,,,,,,,,,,,,,,
47,1.7018154859542847,0.4375,0.00809089932590723,0.001,0.19284439086914062,,,,,,,,,,,,,,,,,
48,1.5374668836593628,0.578125,0.008206279948353767,0.001,0.19792437553405762,,,,,,,,,,,,,,,,,
49,1.485733985900879,0.53125,0.008329150266945362,0.001,0.20275115966796875,,,,,,,,,,,,,,,,,
50,1.5499284267425537,0.515625,0.008456732146441936,0.001,0.20772790908813477,,,,,,,,,,,,,,,,,
51,1.4587541818618774,0.59375,0.008586414158344269,0.001,0.21273279190063477,,,,,,,,,,,,,,,,,
52,1.5298993587493896,0.5,0.008720148354768753,0.001,0.21742844581604004,,,,,,,,,,,,,,,,,
53,1.562642216682434,0.421875,0.008869804441928864,0.001,0.22214627265930176,,,,,,,,,,,,,,,,,
54,1.5013245344161987,0.484375,0.009018562734127045,0.001,0.22710967063903809,,,,,,,,,,,,,,,,,
55,1.6100555658340454,0.453125,0.009187420830130577,0.001,0.2322859764099121,,,,,,,,,,,,,,,,,
56,1.607513189315796,0.5,0.009351151064038277,0.001,0.23773193359375,,,,,,,,,,,,,,,,,
57,1.4708486795425415,0.59375,0.009523569606244564,0.001,0.24315142631530762,,,,,,,,,,,,,,,,,
58,1.4117037057876587,0.609375,0.009698360227048397,0.001,0.2481980323791504,,,,,,,,,,,,,,,,,
59,1.5832407474517822,0.5,0.009882238693535328,0.001,0.2531273365020752,,,,,,,,,,,,,,,,,
60,1.5036075115203857,0.515625,0.010057645849883556,0.001,0.2598593235015869,,,,,,,,,,,,,,,,,
61,1.4776663780212402,0.484375,0.010243122465908527,0.001,0.2669556140899658,,,,,,,,,,,,,,,,,
62,1.476391077041626,0.53125,0.01044085156172514,0.001,0.27289724349975586,,,,,,,,,,,,,,,,,
63,1.4845325946807861,0.5625,0.010650666430592537,0.001,0.2779405117034912,,,,,,,,,,,,,,,,,
64,1.4275016784667969,0.578125,0.010866174474358559,0.001,0.283036470413208,,,,,,,,,,,,,,,,,
65,1.5198566913604736,0.46875,0.011080574244260788,0.001,0.28816843032836914,,,,,,,,,,,,,,,,,
66,1.4961936473846436,0.515625,0.011297051794826984,0.001,0.29340338706970215,,,,,,,,,,,,,,,,,
67,1.4248805046081543,0.578125,0.01151412632316351,0.001,0.2987029552459717,,,,,,,,,,,,,,,,,
68,1.339139699935913,0.59375,0.01172050554305315,0.001,0.3040201663970947,,,,,,,,,,,,,,,,,
69,1.4162288904190063,0.5625,0.011928137391805649,0.001,0.30933690071105957,,,,,,,,,,,,,,,,,
70,1.4153666496276855,0.546875,0.01213215384632349,0.001,0.31471920013427734,,,,,,,,,,,,,,,,,
