mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap,resistance_high_error_auc,energy_high_error_auc,diag_edge_drive_mean,diag_edge_drive_std,diag_edge_resistance_mean,diag_edge_resistance_std,diag_edge_energy_mean,diag_edge_energy_std,diag_edge_output_mean,diag_edge_output_std
0.9665172100067139,0.983116090297699,0.8234331607818604,0.9149783849716187,1.0172569751739502,1.0172569751739502,0.10227859020233154,0.4994034767150879,0.49133729934692383,0.0005757621838711202,0.11117452383041382,0.24959176778793335,0.27970999479293823,-0.00692853145301342,0.013996915891766548,0.0022150715813040733,0.07808145880699158
0.6373851895332336,0.7983640432357788,0.6543341279029846,0.5859063267707825,0.6880658864974976,0.6880658864974976,0.10215955972671509,0.48998403549194336,0.4802069365978241,0.0019215785432606936,0.1440037041902542,0.2719089984893799,0.3329440653324127,-0.00691408384591341,0.021535703912377357,0.0011272820411249995,0.13970856368541718
0.37102246284484863,0.6091161370277405,0.4822008013725281,0.33863064646720886,0.40291211009025574,0.40291211009025574,0.06428146362304688,0.49559450149536133,0.4843287169933319,0.018161717802286148,0.22008365392684937,0.30974268913269043,0.43715545535087585,-0.004530802369117737,0.04012937843799591,3.224692773073912e-05,0.2038753777742386
0.22668680548667908,0.4761163890361786,0.36501818895339966,0.21806955337524414,0.23517043888568878,0.23517043888568878,0.01710088551044464,0.5335374474525452,0.5330834984779358,0.03766004741191864,0.3027403652667999,0.3463190495967865,0.47717487812042236,-0.0016706330934539437,0.05668184533715248,-0.005736255086958408,0.25494185090065
0.19025710225105286,0.43618470430374146,0.3261341452598572,0.18700698018074036,0.19345684349536896,0.19345684349536896,0.006449863314628601,0.5507903695106506,0.5473809838294983,0.04516713321208954,0.3472113311290741,0.36583730578422546,0.5018777251243591,0.00034946028608828783,0.07004271447658539,-0.001403414411470294,0.2763681709766388
0.1677848994731903,0.40961554646492004,0.30219486355781555,0.16522814333438873,0.17030201852321625,0.17030201852321625,0.005073875188827515,0.5397239327430725,0.5217137336730957,0.05569612234830856,0.3782278597354889,0.38134586811065674,0.5349947214126587,0.0021863628644496202,0.07924135774374008,-0.009630687534809113,0.28791648149490356
0.14893710613250732,0.38592371344566345,0.2795477509498596,0.1456488072872162,0.1521744281053543,0.1521744281053543,0.0065256208181381226,0.5322356820106506,0.5486016869544983,0.05586977303028107,0.3964281678199768,0.3967933654785156,0.5634321570396423,0.0019992028828710318,0.0863083228468895,0.00043392740190029144,0.2968703806400299
0.13304056227207184,0.3647472560405731,0.26280325651168823,0.13164137303829193,0.1344180703163147,0.1344180703163147,0.002776697278022766,0.4976315498352051,0.5431886315345764,0.06314927339553833,0.4171334505081177,0.41411110758781433,0.600486695766449,0.003187302965670824,0.09681522846221924,-0.0007463879883289337,0.3061876893043518
0.11902646720409393,0.34500211477279663,0.24428728222846985,0.11781206727027893,0.1202220544219017,0.1202220544219017,0.002409987151622772,0.4946475028991699,0.5483565926551819,0.0706341564655304,0.4309055507183075,0.43502163887023926,0.6414400339126587,0.0038351251278072596,0.1079077199101448,-0.0003636435139924288,0.3184056580066681
0.10714849829673767,0.3273354470729828,0.2339850515127182,0.1073639988899231,0.10693633556365967,0.1073639988899231,0.00042766332626342773,0.47736021876335144,0.5460181832313538,0.08355642110109329,0.44269508123397827,0.4543612599372864,0.6840775012969971,0.0055130766704678535,0.12015515565872192,-0.004426481667906046,0.3295234739780426
0.09738731384277344,0.3120694160461426,0.22254489362239838,0.09814862906932831,0.0966378003358841,0.09814862906932831,0.0015108287334442139,0.4704136550426483,0.5360398888587952,0.09535914659500122,0.45737889409065247,0.47680410742759705,0.7337273955345154,0.006957430392503738,0.13406766951084137,-0.009952224791049957,0.3424997627735138
0.08895234763622284,0.2982487976551056,0.2114211618900299,0.08823113143444061,0.08966237306594849,0.08966237306594849,0.0014312416315078735,0.4497150778770447,0.5641828179359436,0.1007314920425415,0.4677976071834564,0.5059770345687866,0.7979615330696106,0.006411278620362282,0.1456044316291809,-0.00244635296985507,0.3561341464519501
0.08176973462104797,0.285954087972641,0.20252247154712677,0.08135423064231873,0.08217879384756088,0.08217879384756088,0.000824563205242157,0.44603198766708374,0.5650802254676819,0.10445867478847504,0.4710659682750702,0.5354297757148743,0.8624808192253113,0.004675485193729401,0.15568239986896515,-0.0018664458766579628,0.3638601005077362
0.0778706967830658,0.2790532112121582,0.19793206453323364,0.07702913135290146,0.07869920879602432,0.07869920879602432,0.0016700774431228638,0.4605812728404999,0.5615354180335999,0.1159530058503151,0.47950369119644165,0.5666908025741577,0.9540883898735046,0.005167096853256226,0.171934574842453,-0.001115985680371523,0.38391828536987305
0.07353886216878891,0.27118051052093506,0.1956198662519455,0.07578978687524796,0.07132283598184586,0.07578978687524796,0.0044669508934021,0.47770926356315613,0.5527482628822327,0.11751578748226166,0.47823861241340637,0.6019860506057739,1.0743287801742554,0.001853651599958539,0.18113961815834045,-0.008729232475161552,0.3932974636554718
0.0720759779214859,0.2684696912765503,0.19241595268249512,0.07443130016326904,0.06975718587636948,0.07443130016326904,0.004674114286899567,0.44771426916122437,0.5310511589050293,0.12527957558631897,0.47273552417755127,0.6413757801055908,1.238686203956604,-0.00047096749767661095,0.18855753540992737,0.0018098261207342148,0.39696216583251953
0.06469005346298218,0.2543424069881439,0.1821117103099823,0.06579528003931046,0.06360194832086563,0.06579528003931046,0.0021933317184448242,0.4535498321056366,0.5329700112342834,0.126245379447937,0.47711634635925293,0.6753247976303101,1.3851475715637207,-0.003306528553366661,0.20380081236362457,-0.009370950981974602,0.4126218855381012
0.05978525057435036,0.244510218501091,0.17869994044303894,0.061238277703523636,0.05835475027561188,0.061238277703523636,0.0028835274279117584,0.45160049200057983,0.539882242679596,0.1318400502204895,0.4808478355407715,0.7044583559036255,1.4848276376724243,-0.005325873848050833,0.21761862933635712,-0.005438493564724922,0.4286957383155823
0.0553850494325161,0.23534028232097626,0.16754651069641113,0.056756436824798584,0.05403492599725723,0.056756436824798584,0.0027215108275413513,0.4466814398765564,0.5157866477966309,0.13549374043941498,0.4733057916164398,0.7526856660842896,1.72355318069458,-0.009820694103837013,0.22716772556304932,-0.00425147358328104,0.4285684823989868
0.05423721671104431,0.2328888475894928,0.16735117137432098,0.05431503430008888,0.05416060611605644,0.05431503430008888,0.00015442818403244019,0.4592728316783905,0.5140013694763184,0.14113207161426544,0.46951666474342346,0.8020991086959839,1.9843379259109497,-0.013599343597888947,0.2415412962436676,-0.00015328265726566315,0.43913590908050537
0.05055548995733261,0.22484548389911652,0.16469420492649078,0.05073945224285126,0.05037437379360199,0.05073945224285126,0.0003650784492492676,0.4636196792125702,0.49620485305786133,0.14314797520637512,0.469744473695755,0.8364382982254028,2.139524459838867,-0.017736852169036865,0.25569280982017517,8.100946433842182e-05,0.45316991209983826
0.047160618007183075,0.21716494858264923,0.15953758358955383,0.048172079026699066,0.04616483300924301,0.048172079026699066,0.0020072460174560547,0.45163100957870483,0.5086894035339355,0.14917072653770447,0.4643307030200958,0.8857283592224121,2.488813877105713,-0.0209902822971344,0.26972496509552,-0.0007244374137371778,0.4581870436668396
0.04829774796962738,0.2197674810886383,0.1672414094209671,0.04792904853820801,0.04866073280572891,0.04866073280572891,0.0007316842675209045,0.4785437285900116,0.5073904991149902,0.14581793546676636,0.45899996161460876,0.9198367595672607,2.6872007846832275,-0.027622040361166,0.28224098682403564,0.0018943778704851866,0.4698594808578491
0.040486112236976624,0.201211616396904,0.15194547176361084,0.04083967208862305,0.04013802856206894,0.04083967208862305,0.0007016435265541077,0.4435123801231384,0.4860386848449707,0.14938437938690186,0.4609225392341614,0.9515279531478882,2.799459218978882,-0.03178250789642334,0.2986382246017456,-0.005289309658110142,0.47987252473831177
0.03910398483276367,0.19774727523326874,0.15150222182273865,0.03961022570729256,0.038605593144893646,0.03961022570729256,0.0010046325623989105,0.4461168646812439,0.47911974787712097,0.14804717898368835,0.4537941515445709,1.003380537033081,3.135849952697754,-0.039049383252859116,0.3126239776611328,-0.003062272910028696,0.4891177713871002
0.03652220219373703,0.1911078244447708,0.14726191759109497,0.03649450093507767,0.03654947504401207,0.03654947504401207,5.4974108934402466e-05,0.4571966826915741,0.4838671386241913,0.15173190832138062,0.450038343667984,1.0219378471374512,3.1183865070343018,-0.04414163902401924,0.3245207667350769,-0.004719122778624296,0.4978260397911072
0.034740179777145386,0.18638718128204346,0.14574843645095825,0.03442250192165375,0.03505294397473335,0.03505294397473335,0.0006304420530796051,0.45155853033065796,0.4732765853404999,0.15110114216804504,0.4468403160572052,1.0701498985290527,3.4842569828033447,-0.049435414373874664,0.3388065993785858,-0.002594802062958479,0.5051306486129761
0.03558367118239403,0.18863634765148163,0.14528164267539978,0.035164184868335724,0.03599665313959122,0.03599665313959122,0.0008324682712554932,0.47533079981803894,0.49229001998901367,0.15476489067077637,0.4417303800582886,1.101078987121582,3.615846633911133,-0.05380934476852417,0.3516812026500702,-0.0012973037082701921,0.508154571056366
0.03354925662279129,0.1831645667552948,0.14374835789203644,0.0336533859372139,0.03344673663377762,0.0336533859372139,0.0002066493034362793,0.4796890914440155,0.4922966957092285,0.15324868261814117,0.43745025992393494,1.1232506036758423,3.8363561630249023,-0.057904139161109924,0.3616946339607239,2.1933577954769135e-05,0.516984224319458
0.03165163844823837,0.17790907621383667,0.14122560620307922,0.03169221058487892,0.031611692160367966,0.03169221058487892,8.051842451095581e-05,0.4694943130016327,0.49996137619018555,0.15439780056476593,0.4371594190597534,1.1364936828613281,3.857415199279785,-0.061793044209480286,0.37261471152305603,-0.006573991850018501,0.52692049741745
0.03134782612323761,0.17705316841602325,0.1407584249973297,0.0307536069303751,0.03193283826112747,0.03193283826112747,0.0011792313307523727,0.45567938685417175,0.49262285232543945,0.15194565057754517,0.434742271900177,1.157529592514038,3.9992716312408447,-0.06707201898097992,0.38272354006767273,-0.0070828720927238464,0.5293431878089905
0.030011162161827087,0.17323729395866394,0.13936084508895874,0.030026501044631004,0.029996057972311974,0.030026501044631004,3.0443072319030762e-05,0.4719805419445038,0.4937005043029785,0.1532740294933319,0.4315158724784851,1.181258201599121,4.133596420288086,-0.07062572240829468,0.3921562433242798,-0.0026600100100040436,0.5350590348243713
0.0317259281873703,0.17811773717403412,0.14258286356925964,0.03195786476135254,0.031497593969106674,0.03195786476135254,0.00046027079224586487,0.4891200065612793,0.4900040626525879,0.15321394801139832,0.4243578016757965,1.1966251134872437,4.228310585021973,-0.07507441937923431,0.39781060814857483,0.001808632630854845,0.5374614000320435
0.02983047068119049,0.1727149933576584,0.13827407360076904,0.029332119971513748,0.030321091413497925,0.030321091413497925,0.0009889714419841766,0.4950242042541504,0.5091195106506348,0.15453600883483887,0.42359864711761475,1.2076975107192993,4.222312927246094,-0.07908540964126587,0.4105222523212433,-0.0016188242007046938,0.5448765158653259
0.028596248477697372,0.16910424828529358,0.13588489592075348,0.028145423159003258,0.029040085151791573,0.029040085151791573,0.0008946619927883148,0.4705605208873749,0.5005831718444824,0.1537986397743225,0.42299070954322815,1.2254219055175781,4.375707626342773,-0.08233719319105148,0.42140230536460876,-0.008847983554005623,0.5521307587623596
0.027868568897247314,0.16693881154060364,0.13568606972694397,0.02780761569738388,0.02792857401072979,0.02792857401072979,0.00012095831334590912,0.48888444900512695,0.4972701072692871,0.15448817610740662,0.41838541626930237,1.230705976486206,4.363563537597656,-0.08557525277137756,0.4254459738731384,-0.004462135955691338,0.5567421317100525
0.02671009674668312,0.16343224048614502,0.1332341730594635,0.02653084322810173,0.02688656933605671,0.02688656933605671,0.00035572610795497894,0.4824957549571991,0.507819652557373,0.15378278493881226,0.4158933460712433,1.2414312362670898,4.41377592086792,-0.08961065858602524,0.4336255192756653,-0.00495687872171402,0.5622354745864868
0.02711033821105957,0.16465216875076294,0.13321959972381592,0.02714165858924389,0.0270795039832592,0.02714165858924389,6.21546059846878e-05,0.4734501540660858,0.4938082695007324,0.15510466694831848,0.4159601628780365,1.2504098415374756,4.44213342666626,-0.09171289205551147,0.4424082636833191,-0.0044833580031991005,0.5658971071243286
0.025629941374063492,0.1600935459136963,0.12960566580295563,0.025197971612215042,0.026055213063955307,0.026055213063955307,0.0008572414517402649,0.4792189300060272,0.5028853416442871,0.15428076684474945,0.4143187403678894,1.261812448501587,4.554865837097168,-0.09453213959932327,0.44959548115730286,-0.004819854162633419,0.5695736408233643
0.02511141262948513,0.15846580266952515,0.1295134425163269,0.02494286373257637,0.02527734823524952,0.02527734823524952,0.0003344845026731491,0.47061678767204285,0.4973721504211426,0.15426677465438843,0.41214776039123535,1.2754045724868774,4.580084323883057,-0.09831054508686066,0.4570792615413666,-0.0026860537473112345,0.576904296875
0.026799188926815987,0.16370457410812378,0.1324322521686554,0.026211710646748543,0.027377557009458542,0.027377557009458542,0.001165846362709999,0.5082621574401855,0.5052914619445801,0.15525402128696442,0.41030073165893555,1.268509864807129,4.475730895996094,-0.10039767622947693,0.45971348881721497,2.8390437364578247e-05,0.5772892832756042
0.025194356217980385,0.15872730314731598,0.12834161520004272,0.02496548555791378,0.025419678539037704,0.025419678539037704,0.00045419298112392426,0.4848494529724121,0.5011734962463379,0.1564202904701233,0.40796953439712524,1.2847590446472168,4.6066670417785645,-0.10264205932617188,0.4692942500114441,-0.00425295764580369,0.5821817517280579
0.024351324886083603,0.15604911744594574,0.12715980410575867,0.02446294203400612,0.024241439998149872,0.02446294203400612,0.00022150203585624695,0.4758438766002655,0.5036273002624512,0.15562108159065247,0.4074392020702362,1.2958859205245972,4.640633583068848,-0.10550735145807266,0.4755026698112488,-0.001606607809662819,0.58843994140625
0.02277771756052971,0.15092287957668304,0.12292720377445221,0.02279086597263813,0.022764772176742554,0.02279086597263813,2.6093795895576477e-05,0.4779925048351288,0.4991145133972168,0.15697214007377625,0.40705981850624084,1.301919937133789,4.682187557220459,-0.10780202597379684,0.4839390814304352,-0.004872018005698919,0.5923528075218201
0.023021185770630836,0.1517273336648941,0.12352067232131958,0.023052865639328957,0.022989997640252113,0.023052865639328957,6.286799907684326e-05,0.47939345240592957,0.512458324432373,0.15894371271133423,0.40465018153190613,1.2955197095870972,4.565180778503418,-0.11026032269001007,0.4871666729450226,-0.00737646734341979,0.593511164188385
0.023562032729387283,0.1534992903470993,0.12442505359649658,0.02361668087542057,0.023508230224251747,0.02361668087542057,0.00010845065116882324,0.47910448908805847,0.4867730140686035,0.15822282433509827,0.40216585993766785,1.3155280351638794,4.65232515335083,-0.11460236459970474,0.4958195686340332,0.001399551285430789,0.6021509766578674
0.01966268941760063,0.14022371172904968,0.11236005276441574,0.02011232078075409,0.019220028072595596,0.02011232078075409,0.000892292708158493,0.4929337501525879,0.5230507850646973,0.15688708424568176,0.3999125361442566,1.323991298675537,4.705384731292725,-0.11840841174125671,0.5013027191162109,-0.003181895473971963,0.6048975586891174
0.01809343323111534,0.1345118284225464,0.10730522871017456,0.018309911713004112,0.017880307510495186,0.018309911713004112,0.0004296042025089264,0.49419355392456055,0.524259090423584,0.15981264412403107,0.4001254737377167,1.317292332649231,4.596573829650879,-0.12095390260219574,0.5103043913841248,-0.003036568872630596,0.6153002977371216
0.016537651419639587,0.12859879434108734,0.10114261507987976,0.016813786700367928,0.01626579463481903,0.016813786700367928,0.0005479920655488968,0.4971604347229004,0.5276904106140137,0.16334643959999084,0.4026813805103302,1.3400126695632935,4.682830810546875,-0.12393341958522797,0.5268486142158508,-0.004771525040268898,0.6288970112800598
0.014999188482761383,0.12247117608785629,0.0963449627161026,0.015236085280776024,0.014765963889658451,0.015236085280776024,0.0004701213911175728,0.49248456954956055,0.5141196250915527,0.1644049882888794,0.4036223888397217,1.3473154306411743,4.6616740226745605,-0.1276913732290268,0.5387932062149048,-0.004750840365886688,0.645257830619812
0.013481991365551949,0.11611197888851166,0.09017480164766312,0.0137508949264884,0.013217258267104626,0.0137508949264884,0.0005336366593837738,0.4858689308166504,0.5245156288146973,0.16701436042785645,0.4045521020889282,1.3584332466125488,4.656628131866455,-0.1309036910533905,0.5518307089805603,-0.001960200723260641,0.6575140357017517
0.012517966330051422,0.11188371479511261,0.08589552342891693,0.012632971629500389,0.012404742650687695,0.012632971629500389,0.00022822897881269455,0.48326346278190613,0.5316558480262756,0.1687740534543991,0.40510982275009155,1.3694336414337158,4.679991245269775,-0.13409410417079926,0.5643051266670227,-0.0023464562837034464,0.6710373759269714
0.011079840362071991,0.10526081919670105,0.08014857023954391,0.011237984523177147,0.010924148373305798,0.011237984523177147,0.00031383614987134933,0.4819435775279999,0.5141158103942871,0.1695777177810669,0.40624159574508667,1.3759863376617432,4.665855407714844,-0.1386505514383316,0.5784968733787537,-0.0010776431299746037,0.6865828037261963
0.010135267861187458,0.10067407041788101,0.07564130425453186,0.010253419168293476,0.010018947534263134,0.010253419168293476,0.0002344716340303421,0.48875951766967773,0.5220084190368652,0.16936877369880676,0.4059242308139801,1.3758134841918945,4.6034135818481445,-0.14290837943553925,0.5871648788452148,-0.00021473504602909088,0.6968254446983337
0.009154814295470715,0.09568079560995102,0.07200899720191956,0.00908446405082941,0.009224074892699718,0.009224074892699718,0.00013961084187030792,0.47490450739860535,0.5240311622619629,0.16982299089431763,0.40859201550483704,1.3920235633850098,4.694851398468018,-0.14596974849700928,0.6016078591346741,-0.0034259893000125885,0.7102309465408325
0.008571879006922245,0.09258444607257843,0.0685577392578125,0.00873653031885624,0.008409779518842697,0.00873653031885624,0.0003267508000135422,0.4681105315685272,0.49480199813842773,0.17203211784362793,0.4107092022895813,1.3956656455993652,4.676185131072998,-0.14757966995239258,0.6135251522064209,-0.0038013681769371033,0.7208057641983032
0.00850777979940176,0.09223762899637222,0.0693235695362091,0.008537804707884789,0.00847822055220604,0.008537804707884789,5.9584155678749084e-05,0.47244593501091003,0.5011792182922363,0.171924889087677,0.41287916898727417,1.391495704650879,4.622731685638428,-0.15035249292850494,0.6218391060829163,-0.004524663556367159,0.733631432056427
0.00773044815286994,0.08792296797037125,0.06515251845121384,0.007675699889659882,0.007784346118569374,0.007784346118569374,0.00010864622890949249,0.4663195312023163,0.5227084159851074,0.16940054297447205,0.4065134525299072,1.3942385911941528,4.638946056365967,-0.15482084453105927,0.6229525208473206,-0.003789775539189577,0.7293269634246826
0.0076574040576815605,0.08750659227371216,0.06534429639577866,0.007687595207244158,0.00762768043205142,0.007687595207244158,5.991477519273758e-05,0.4376682639122009,0.5137772560119629,0.1688324213027954,0.408162385225296,1.4007306098937988,4.657470226287842,-0.15849927067756653,0.6332175731658936,-0.0026857517659664154,0.7398186922073364
0.007223815191537142,0.08499302715063095,0.06323355436325073,0.007337949704378843,0.007111449725925922,0.007337949704378843,0.00022649997845292091,0.4714607894420624,0.5227818489074707,0.1699988692998886,0.4076707661151886,1.3966045379638672,4.582261085510254,-0.16071245074272156,0.6394199132919312,-0.0035548564046621323,0.7447366714477539
