drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,null_weight_mean,null_weight_std,update_strength_mean,update_strength_std,update_gate_mean,update_gate_std,ambiguity_mean,ambiguity_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std,attractor_activation_mean,attractor_activation_std,attractor_diversity
0.002328205155208707,0.01719759963452816,1.3462475538253784,0.1673606038093567,-0.2348291575908661,0.03284096345305443,0.15588834881782532,0.048783253878355026,0.8587892651557922,0.04151647165417671,0.39871010184288025,0.022071627900004387,1.2851155996322632,0.08786623179912567,0.6932359933853149,4.923686901747715e-06,0.013221417553722858,0.0,0.9340733289718628,1.6894731743377633e-05,0.7156638503074646
0.007201199885457754,0.04402827098965645,1.3466814756393433,0.17241202294826508,-0.2332889586687088,0.033170055598020554,0.15561211109161377,0.04863088205456734,0.8589708805084229,0.04148298501968384,0.3989914059638977,0.022214066237211227,1.691841721534729,0.19962893426418304,0.6925201416015625,4.310536041884916e-06,0.012843853794038296,0.0,0.9342131018638611,3.3999403967754915e-05,0.7767477631568909
0.0021503791213035583,0.06673014909029007,1.350775122642517,0.18861733376979828,-0.2342255860567093,0.03401568904519081,0.15573650598526,0.04869113489985466,0.8588569760322571,0.04154926910996437,0.3983553946018219,0.022532431408762932,2.466620683670044,0.44198107719421387,0.6918138265609741,1.3290361948747886e-06,0.012369333766400814,0.0,0.934315025806427,7.333175744861364e-05,0.8634210228919983
-0.0024595900904387236,0.06521417200565338,1.3517941236495972,0.18693090975284576,-0.23497669398784637,0.03467238321900368,0.15591458976268768,0.04884995520114899,0.8587615489959717,0.04161689430475235,0.397936075925827,0.022848675027489662,2.364102602005005,0.28628459572792053,0.6922682523727417,1.1486707762742299e-06,0.01204314362257719,0.0,0.9344511032104492,0.00010799071606015787,0.8892949223518372
-0.007717423141002655,0.06240740790963173,1.3531825542449951,0.18642382323741913,-0.23580555617809296,0.03505120426416397,0.15599797666072845,0.04885762929916382,0.8586571216583252,0.04166865721344948,0.39742279052734375,0.02308005839586258,2.3122353553771973,0.2825773060321808,0.6927059888839722,1.4261586329666898e-06,0.012082671746611595,0.0,0.9345078468322754,0.00013581578969024122,0.9054175615310669
-0.013484889641404152,0.05365317314863205,1.3543777465820312,0.1832437515258789,-0.23669318854808807,0.03518913313746452,0.15603724122047424,0.048784781247377396,0.8585444688796997,0.041706010699272156,0.39683306217193604,0.023234829306602478,2.1471760272979736,0.2652469277381897,0.6933437585830688,1.4294148513727123e-06,0.012352523393929005,0.0,0.9344977736473083,0.0001634482468944043,0.9143475294113159
-0.01901860348880291,0.04119931161403656,1.3551872968673706,0.17897076904773712,-0.23753297328948975,0.03508555516600609,0.15605318546295166,0.048677604645490646,0.858437716960907,0.04172689840197563,0.3962942659854889,0.023283055052161217,1.9369653463363647,0.22299394011497498,0.6940391063690186,3.2295195069309557e-06,0.012691971845924854,0.0,0.9344212412834167,0.00019068851543124765,0.9200097918510437
-0.027362477034330368,0.03338276594877243,1.3564667701721191,0.17607972025871277,-0.2388242930173874,0.03500137850642204,0.15613597631454468,0.04859250411391258,0.8582736849784851,0.041760481894016266,0.3956364691257477,0.023308323696255684,1.8008540868759155,0.15366874635219574,0.6946503520011902,3.526077307469677e-06,0.012915191240608692,0.0,0.9343021512031555,0.00022021715994924307,0.9252810478210449
-0.03315649554133415,0.03424554318189621,1.357189416885376,0.17565806210041046,-0.23984625935554504,0.03504951298236847,0.1562333106994629,0.04857512563467026,0.8581469655036926,0.04179120808839798,0.3951794505119324,0.023337794467806816,1.7943836450576782,0.16045857965946198,0.6951266527175903,8.84122619027039e-06,0.01310510840266943,0.0,0.9342331886291504,0.0002457846130710095,0.9285541772842407
-0.03780411183834076,0.03777449205517769,1.3577075004577637,0.17567522823810577,-0.240784153342247,0.035033587366342545,0.15631289780139923,0.04854615405201912,0.8580325245857239,0.041815903037786484,0.39480605721473694,0.0233298409730196,1.8290112018585205,0.16719956696033478,0.6955474615097046,3.68716282537207e-05,0.013268682174384594,0.0,0.9341456294059753,0.00026371574494987726,0.9290056228637695
