accuracy,nll,brier,ece,group0_accuracy,group1_accuracy,worst_group_accuracy,group_accuracy_gap,group0_nll,group1_nll,worst_group_nll,group_nll_gap,group0_positive_rate,group1_positive_rate,positive_rate_gap,uncertainty_error_auc
0.60107421875,0.6759335994720459,0.4828685522079468,0.06644687056541443,0.62763911485672,0.5735586285591125,0.5735586285591125,0.05408048629760742,0.6697205305099487,0.6823689341545105,0.6823689341545105,0.012648403644561768,0.0191938579082489,0.16998010873794556,0.15078625082969666,0.5865955948829651
0.5263671875,0.8899127244949341,0.6174800992012024,0.21730953454971313,0.5412667989730835,0.5109343528747559,0.5109343528747559,0.030332446098327637,0.8655429482460022,0.9151543974876404,0.9151543974876404,0.049611449241638184,0.35316696763038635,0.39363816380500793,0.04047119617462158,0.5297888517379761
0.46728515625,1.5062601566314697,0.8254692554473877,0.3753739595413208,0.4702495038509369,0.4642146825790405,0.4642146825790405,0.006034821271896362,1.4728590250015259,1.5408562421798706,1.5408562421798706,0.06799721717834473,0.4184260964393616,0.4125248193740845,0.0059012770652771,0.5035921335220337
0.4443359375,1.7284414768218994,0.8866782188415527,0.41261935234069824,0.4366602599620819,0.4522862732410431,0.4366602599620819,0.01562601327896118,1.7191492319107056,1.73806631565094,1.73806631565094,0.018917083740234375,0.4808061420917511,0.42246517539024353,0.05834096670150757,0.48475056886672974
0.458984375,1.70675528049469,0.8660829663276672,0.40203365683555603,0.45969289541244507,0.4582504630088806,0.4582504630088806,0.0014424324035644531,1.7034547328948975,1.7101739645004272,1.7101739645004272,0.006719231605529785,0.45969289541244507,0.4363816976547241,0.023311197757720947,0.4986010789871216
0.46142578125,1.7572495937347412,0.8717607259750366,0.40257251262664795,0.46641072630882263,0.45626240968704224,0.45626240968704224,0.010148316621780396,1.739820957183838,1.7753019332885742,1.7753019332885742,0.03548097610473633,0.4376199543476105,0.4463220536708832,0.008702099323272705,0.4911002814769745
0.4765625,1.691809892654419,0.8485120534896851,0.38991644978523254,0.47696736454963684,0.47614312171936035,0.47614312171936035,0.0008242428302764893,1.6867611408233643,1.697039246559143,1.697039246559143,0.010278105735778809,0.44049903750419617,0.42842939496040344,0.012069642543792725,0.49423763155937195
0.4755859375,1.723210334777832,0.8569304347038269,0.40011727809906006,0.4750479757785797,0.47614312171936035,0.4750479757785797,0.0010951459407806396,1.7281928062438965,1.7180492877960205,1.7281928062438965,0.010143518447875977,0.43282148241996765,0.416500985622406,0.016320496797561646,0.48776474595069885
0.47021484375,1.7518970966339111,0.8589226007461548,0.39559274911880493,0.4760076701641083,0.4642146825790405,0.4642146825790405,0.011792987585067749,1.7616037130355835,1.7418428659439087,1.7616037130355835,0.019760847091674805,0.4261036217212677,0.44234591722488403,0.016242295503616333,0.4990338385105133
0.46826171875,1.7120556831359863,0.8602567911148071,0.3996034562587738,0.4692898094654083,0.4671967923641205,0.4671967923641205,0.002093017101287842,1.7237170934677124,1.6999765634536743,1.7237170934677124,0.023740530014038086,0.4481765627861023,0.41948309540748596,0.028693467378616333,0.49174943566322327
0.4765625,1.7419471740722656,0.8568620681762695,0.3992272913455963,0.47696736454963684,0.47614312171936035,0.47614312171936035,0.0008242428302764893,1.7506598234176636,1.7329225540161133,1.7506598234176636,0.017737269401550293,0.44049903750419617,0.4184890389442444,0.022009998559951782,0.49253061413764954
0.4814453125,1.693658709526062,0.8424146771430969,0.38420557975769043,0.4808061420917511,0.48210734128952026,0.4808061420917511,0.001301199197769165,1.699639916419983,1.687463402748108,1.699639916419983,0.012176513671875,0.43282148241996765,0.41451290249824524,0.018308579921722412,0.5005404949188232
0.47314453125,1.7521858215332031,0.8620282411575317,0.3967988193035126,0.47120919823646545,0.47514909505844116,0.47120919823646545,0.003939896821975708,1.7505228519439697,1.753908395767212,1.753908395767212,0.0033855438232421875,0.4251439571380615,0.41948309540748596,0.0056608617305755615,0.4874052107334137
