step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,1.605178713798523,0.375,0.375,1.0,0.001,2163.682861328125,0.03058600425720215,0.03340291976928711,261.55753895562293,0.0,0.7709081768989563,0.31930306553840637,0.25,nan,nan,nan,nan,nan
2,1.58309006690979,0.375,0.375,1.0,0.001,4.556096076965332,0.039433956146240234,0.0766911506652832,202.87084487115928,0.0,0.7795564532279968,0.637333333492279,0.5,nan,nan,nan,nan,nan
3,1.7057898044586182,0.125,0.125,1.0,0.001,6.6892523765563965,0.03033900260925293,0.10981178283691406,263.6869808488735,0.0,0.11027199029922485,0.6113632917404175,0.75,nan,nan,nan,nan,nan
4,1.6048660278320312,0.25,0.25,1.0,0.001,0.7988573908805847,0.02775287628173828,0.1401660442352295,288.258410363905,0.0,0.5577356219291687,0.6474865078926086,1.0,nan,nan,nan,nan,nan
