step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier
1,0.7216557264328003,0.4609375,0.0024480819702148438,,,,
2,0.7165639996528625,0.4375,0.004739999771118164,,,,
3,0.7035377621650696,0.515625,0.008172988891601562,,,,
4,0.7168046236038208,0.4609375,0.010257720947265625,,,,
5,0.7117865085601807,0.5,0.012109041213989258,,,,
6,0.7066253423690796,0.46875,0.016008853912353516,,,,
7,0.7059050798416138,0.4609375,0.01816082000732422,,,,
8,0.7043197154998779,0.4765625,0.02020096778869629,,,,
9,0.7145432829856873,0.453125,0.023723840713500977,,,,
10,0.6993617415428162,0.5390625,0.02697587013244629,0.51171875,0.6992476582527161,0.03909575566649437,0.5059340596199036
11,0.702859103679657,0.46875,0.03279590606689453,,,,
12,0.694828987121582,0.515625,0.035634756088256836,,,,
13,0.7026378512382507,0.453125,0.03933310508728027,,,,
14,0.6996094584465027,0.5,0.04323387145996094,,,,
15,0.6967083215713501,0.5,0.04544401168823242,,,,
16,0.7063679099082947,0.4765625,0.04949593544006348,,,,
17,0.6857370138168335,0.5546875,0.05190396308898926,,,,
18,0.6966867446899414,0.5546875,0.05411696434020996,,,,
19,0.694591760635376,0.5234375,0.057866811752319336,,,,
20,0.6973353624343872,0.5078125,0.060327768325805664,0.4921875,0.6981982588768005,0.04703320562839508,0.505024254322052
21,0.7071910500526428,0.40625,0.064666748046875,,,,
22,0.6914066076278687,0.515625,0.0672149658203125,,,,
23,0.6880418658256531,0.5625,0.06958293914794922,,,,
24,0.6930196285247803,0.546875,0.07361197471618652,,,,
25,0.6976105570793152,0.4765625,0.07666182518005371,,,,
26,0.6986053586006165,0.5,0.07988810539245605,,,,
27,0.6953842043876648,0.5078125,0.0858609676361084,,,,
28,0.7000414133071899,0.4765625,0.09184980392456055,,,,
29,0.6899948716163635,0.5546875,0.09529590606689453,,,,
30,0.6895137429237366,0.578125,0.09931492805480957,0.44140625,0.696773886680603,0.07603517174720764,0.5036251544952393
31,0.6881372928619385,0.5625,0.10544395446777344,,,,
32,0.6938422918319702,0.484375,0.10924887657165527,,,,
33,0.690016508102417,0.5,0.11227583885192871,,,,
34,0.6986144185066223,0.453125,0.11651611328125,,,,
35,0.6956988573074341,0.4296875,0.11934781074523926,,,,
36,0.6943594217300415,0.4921875,0.12414693832397461,,,,
37,0.6811308264732361,0.59375,0.12730789184570312,,,,
38,0.6953791975975037,0.5,0.13115787506103516,,,,
39,0.6970364451408386,0.453125,0.13439583778381348,,,,
40,0.6939563751220703,0.5078125,0.13733696937561035,0.49609375,0.6918206810951233,0.043842870742082596,0.4986778199672699
