step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb
1,4.433901786804199,4.433901786804199,0.005767012480646372,0.005767012480646372,84.25953912040593,6.396768119611132,0.001,2.9279417991638184,1.1637051105499268,1.2143604755401611,1490.0682176952644,138.41162109375
2,4.401368618011475,4.401368618011475,0.059989288449287415,0.059989288449287415,81.56242010911869,6.349832678329465,0.001,1.0323981046676636,0.027341842651367188,1.28586745262146,68283.6202302058,167.45849609375
3,4.383932113647461,4.383932113647461,0.07637752592563629,0.07637752592563629,80.15258364418183,6.324677119953064,0.001,0.8520945310592651,0.015147209167480469,1.3498294353485107,121012.39110999182,168.27099609375
4,4.372875690460205,4.372875690460205,0.13427762687206268,0.13427762687206268,79.27126386013033,6.30872607305084,0.001,0.5934974551200867,0.018779516220092773,1.41392183303833,93985.38169538004,168.27099609375
5,4.3675127029418945,4.3675127029418945,0.1557326763868332,0.1557326763868332,78.84727101189105,6.300988917553823,0.001,0.5746095180511475,0.02145075798034668,1.4821760654449463,76034.60919629659,168.27099609375
6,4.359395503997803,4.359395503997803,0.16535432636737823,0.16535432636737823,78.20984259348315,6.289278274891274,0.001,0.6671692728996277,0.0289762020111084,1.563605785369873,65743.60571028922,168.27099609375
7,4.3458170890808105,4.3458170890808105,0.21453088521957397,0.21453088521957397,77.155054283009,6.269688763027396,0.001,0.5132213234901428,0.02215862274169922,1.6402499675750732,78885.76922745857,168.27099609375
8,4.3486552238464355,4.3486552238464355,0.1795007884502411,0.1795007884502411,77.3743417614245,6.273783325979138,0.001,0.5828667879104614,0.02495288848876953,1.7166399955749512,75462.20554175426,168.27099609375
9,4.33473014831543,4.33473014831543,0.2268957495689392,0.2268957495689392,76.30436524977574,6.2536936885665515,0.001,0.3415059745311737,0.024806976318359375,1.7908763885498047,68045.37475011533,168.27099609375
10,4.324758052825928,4.324758052825928,0.24031007289886475,0.24031007289886475,75.54723220899794,6.239306995856576,0.001,0.5188382267951965,0.024002790451049805,1.861820936203003,75241.2517904147,168.27099609375
11,4.319698333740234,4.319698333740234,0.24645476043224335,0.24645476043224335,75.16594984058312,6.232007364223355,0.001,0.36658987402915955,0.02143549919128418,1.9503767490386963,95402.49012868853,168.27099609375
12,4.310673236846924,4.310673236846924,0.27329903841018677,0.27329903841018677,74.49062189418545,6.218986901691833,0.001,0.31309041380882263,0.015108585357666016,2.0123579502105713,115761.9961495976,168.27099609375
13,4.304991245269775,4.304991245269775,0.2647574543952942,0.2647574543952942,74.06856699968786,6.210789520621108,0.001,0.3475096821784973,0.02451491355895996,2.0853848457336426,69794.24976902055,168.27099609375
14,4.300718784332275,4.300718784332275,0.2659175992012024,0.2659175992012024,73.75278699969432,6.204625662414185,0.001,0.28068816661834717,0.022110462188720703,2.158029079437256,84530.11900191939,168.27099609375
15,4.287959098815918,4.287959098815918,0.28516900539398193,0.28516900539398193,72.81770300714597,6.186217327396434,0.001,0.3083501160144806,0.022839069366455078,2.233484983444214,80300.99521890724,168.27099609375
16,4.286075115203857,4.286075115203857,0.26940637826919556,0.26940637826919556,72.68064479626368,6.183499313582198,0.001,0.2866259813308716,0.022904396057128906,2.308521270751953,76491.86626139817,168.27099609375
17,4.277836799621582,4.277836799621582,0.2873900532722473,0.2873900532722473,72.08433836060736,6.171613936546371,0.001,0.3018330931663513,0.02521824836730957,2.3834009170532227,67609.77111361122,168.27099609375
18,4.26588773727417,4.26588773727417,0.30454808473587036,0.30454808473587036,71.22812377550339,6.154375083554487,0.001,0.27853310108184814,0.022721529006958008,2.454072952270508,76447.32004910757,168.27099609375
19,4.2667012214660645,4.2667012214660645,0.293124258518219,0.293124258518219,71.28609030244309,6.155548693163974,0.001,0.26319998502731323,0.015259265899658203,2.5172688961029053,108655.29252210868,168.27099609375
20,4.258066177368164,4.258066177368164,0.3224121332168579,0.3224121332168579,70.67318182339045,6.143090957866076,0.001,0.27242323756217957,0.01803135871887207,2.586092233657837,116796.52281532217,168.27099609375
21,4.248508930206299,4.248508930206299,0.32633277773857117,0.32633277773857117,70.00095817754362,6.1293027647811025,0.001,0.25331777334213257,0.023059606552124023,2.658076286315918,80530.42864380318,168.27099609375
22,4.244662761688232,4.244662761688232,0.3208913803100586,0.3208913803100586,69.73223979532041,6.123753916533665,0.001,0.28179219365119934,0.014904499053955078,2.7210516929626465,120433.43379083085,168.27099609375
23,4.232460021972656,4.232460021972656,0.32612407207489014,0.32612407207489014,68.88648617381737,6.1061490844607444,0.001,0.27085554599761963,0.024340152740478516,2.795557737350464,72185.2495641101,168.27099609375
24,4.230393886566162,4.230393886566162,0.3254658281803131,0.3254658281803131,68.74430429978693,6.10316828115599,0.001,0.284710168838501,0.014934062957763672,2.857579469680786,107807.23267026406,168.27099609375
25,4.221572399139404,4.221572399139404,0.2944949269294739,0.2944949269294739,68.14054422998797,6.090441564992142,0.001,0.2725714147090912,0.01857733726501465,2.92543625831604,100714.11060203545,168.27099609375
26,4.220515727996826,4.220515727996826,0.318668931722641,0.318668931722641,68.0685801111604,6.0889171107748945,0.001,0.33481884002685547,0.022477149963378906,2.997718572616577,78880.10725953583,168.27099609375
27,4.2073540687561035,4.2073540687561035,0.2998008131980896,0.2998008131980896,67.17855460909321,6.069928850258433,0.001,0.2867397665977478,0.020331859588623047,3.069167375564575,98761.25650226319,168.27099609375
28,4.200778961181641,4.200778961181641,0.33641302585601807,0.33641302585601807,66.73829734138978,6.060442975167445,0.001,0.27617040276527405,0.021310091018676758,3.141479730606079,86344.07044002641,168.27099609375
29,4.193174362182617,4.193174362182617,0.3173912763595581,0.3173912763595581,66.23270420529138,6.049471857903604,0.001,0.288997083902359,0.021676301956176758,3.2129812240600586,84885.32793646953,168.27099609375
30,4.185342311859131,4.185342311859131,0.35103926062583923,0.35103926062583923,65.71599243050564,6.038172597741918,0.001,0.3040441572666168,0.014901399612426758,3.276153564453125,116230.69275691589,168.27099609375
31,4.1770830154418945,4.1770830154418945,0.35081782937049866,0.35081782937049866,65.17545985180757,6.026256951759539,0.001,0.3197518289089203,0.021364450454711914,3.3483810424804688,82988.326976085,168.27099609375
32,4.172399044036865,4.172399044036865,0.3162393271923065,0.3162393271923065,64.87089370794423,6.0194994094418375,0.001,0.29501068592071533,0.022587299346923828,3.424503803253174,82878.43408136122,168.27099609375
33,4.171047687530518,4.171047687530518,0.3054662346839905,0.3054662346839905,64.78328920944563,6.017549814111656,0.001,0.30446916818618774,0.022304296493530273,3.498302936553955,83661.0112558925,168.27099609375
34,4.1597747802734375,4.1597747802734375,0.3276869058609009,0.3276869058609009,64.05709405399381,6.001286446715466,0.001,0.304561972618103,0.021772146224975586,3.5691142082214355,78632.57863095304,168.27099609375
35,4.152662754058838,4.152662754058838,0.35242030024528503,0.35242030024528503,63.603134521371416,5.991025961764991,0.001,0.3048442602157593,0.021683692932128906,3.6414780616760254,78123.22399612966,168.27099609375
36,4.145847797393799,4.145847797393799,0.36468446254730225,0.36468446254730225,63.171155546731974,5.981194057580466,0.001,0.3063305616378784,0.022763490676879883,3.714303731918335,72396.62947097207,168.27099609375
37,4.144504070281982,4.144504070281982,0.3220518231391907,0.3220518231391907,63.08632775780274,5.97925546913994,0.001,0.32442301511764526,0.02411818504333496,3.7940945625305176,78405.56810565546,168.27099609375
38,4.133372783660889,4.133372783660889,0.3326762020587921,0.3326762020587921,62.38798967299692,5.963196417132974,0.001,0.3049468994140625,0.023618459701538086,3.86991810798645,85907.38031353785,168.27099609375
39,4.133296012878418,4.133296012878418,0.33296582102775574,0.33296582102775574,62.38320028205795,5.963085660305818,0.001,0.31774890422821045,0.015077352523803711,3.9349334239959717,120312.89957146697,168.27099609375
40,4.121144771575928,4.121144771575928,0.31084197759628296,0.31084197759628296,61.629753887358866,5.945555124738071,0.001,0.3205106258392334,0.032225608825683594,4.018775224685669,53808.137788168446,168.27099609375
41,4.110311508178711,4.110311508178711,0.37381401658058167,0.37381401658058167,60.96570592797165,5.9299260293582625,0.001,0.33416926860809326,0.015375614166259766,4.0781919956207275,102825.16086214918,168.27099609375
42,4.112236022949219,4.112236022949219,0.33301931619644165,0.33301931619644165,61.08314830306908,5.932702517273792,0.001,0.3427278697490692,0.017723798751831055,4.149147033691406,119782.44786720295,168.27099609375
43,4.100905895233154,4.100905895233154,0.35193368792533875,0.35193368792533875,60.39497434275469,5.916356598205187,0.001,0.33223798871040344,0.02938365936279297,4.2334160804748535,61598.86274382526,168.27099609375
44,4.088778495788574,4.088778495788574,0.3521334230899811,0.3521334230899811,59.666963724823226,5.8988604591676115,0.001,0.33796781301498413,0.015289068222045898,4.2990827560424805,133363.26127840066,168.27099609375
45,4.083240985870361,4.083240985870361,0.34749263525009155,0.34749263525009155,59.33747044951254,5.890871521069732,0.001,0.3489619195461273,0.021514415740966797,4.370683431625366,78784.38440568275,168.27099609375
46,4.0746049880981445,4.0746049880981445,0.3561168909072876,0.3561168909072876,58.827238538830386,5.878412409910627,0.001,0.3549724519252777,0.01757216453552246,4.4431846141815186,114897.62663663623,168.27099609375
47,4.068959712982178,4.068959712982178,0.36215901374816895,0.36215901374816895,58.496078218007526,5.870267999496368,0.001,0.3570139706134796,0.02349233627319336,4.520183086395264,73343.0672864189,168.27099609375
48,4.057604789733887,4.057604789733887,0.3702359199523926,0.3702359199523926,57.83561658144217,5.853886308036384,0.001,0.36440610885620117,0.01492166519165039,4.5850183963775635,110778.52094717669,168.27099609375
49,4.049877166748047,4.049877166748047,0.36702126264572144,0.36702126264572144,57.39040716213238,5.842737704676853,0.001,0.39015260338783264,0.023236751556396484,4.6579625606536865,72815.68578522911,168.27099609375
50,4.042169094085693,4.042169094085693,0.3655336797237396,0.3655336797237396,56.94973826936443,5.831617306472063,0.001,0.37063825130462646,0.015948057174682617,4.726037502288818,105153.87433286989,168.27099609375
51,4.036160945892334,4.036160945892334,0.3631609380245209,0.3631609380245209,56.60860162820703,5.822949380868578,0.001,0.39497464895248413,0.018522024154663086,4.79433798789978,92916.41051913447,168.27099609375
