drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,gate_mean,gate_std,sample_uncertainty_mean,sample_uncertainty_std,gate_activation_rate
0.013839454390108585,0.1229085773229599,0.2434205412864685,0.8724170923233032,-0.9330824613571167,0.23967479169368744,0.2689414620399475,8.771882130531594e-05,0.6932535171508789,0.00023496295034419745,0.2689414620399475
0.00904432125389576,0.1778128743171692,0.24678935110569,0.8850134611129761,-0.9337034821510315,0.2379578948020935,0.26893332600593567,0.00016399691230617464,0.6923221945762634,0.00021949845540802926,0.26893332600593567
0.009601285681128502,0.20742198824882507,0.2514488399028778,0.9014877676963806,-0.9336165189743042,0.23792417347431183,0.26896482706069946,0.0002469413448125124,0.6914401054382324,0.00034591573057696223,0.26896482706069946
0.010844503529369831,0.23132875561714172,0.2563880681991577,0.9192894101142883,-0.9333956241607666,0.23798583447933197,0.2690160870552063,0.00031759997364133596,0.6904345750808716,0.0004245738673489541,0.2690160870552063
0.008739214390516281,0.24455730617046356,0.25755801796913147,0.9236531257629395,-0.9333823323249817,0.23710311949253082,0.2690751552581787,0.00036835484206676483,0.6893545389175415,0.0005105590098537505,0.2690751552581787
0.008059429004788399,0.25845012068748474,0.26013633608818054,0.9333867430686951,-0.9331651926040649,0.23651574552059174,0.26915785670280457,0.0004139476513955742,0.6882604956626892,0.0006242940435186028,0.26915785670280457
0.007648914121091366,0.27314284443855286,0.26251789927482605,0.9424074292182922,-0.9328216314315796,0.23603390157222748,0.26926037669181824,0.0004607795854099095,0.6870760321617126,0.0007854128489270806,0.26926037669181824
0.00728630693629384,0.2808033227920532,0.2631034553050995,0.9454284310340881,-0.9323536157608032,0.23561611771583557,0.2693803608417511,0.0005070954211987555,0.6857696771621704,0.0010207861196249723,0.2693803608417511
0.007417341228574514,0.29130789637565613,0.26514169573783875,0.9538137316703796,-0.93184494972229,0.23521362245082855,0.26950907707214355,0.0005478498642332852,0.6842828989028931,0.0011753637809306383,0.26950907707214355
0.008342007175087929,0.2992868423461914,0.26743367314338684,0.963583767414093,-0.9312147498130798,0.23495450615882874,0.2696518003940582,0.0005825622356496751,0.6829413175582886,0.0014123738510534167,0.2696518003940582
0.0085747754201293,0.30945664644241333,0.2695254683494568,0.9725728631019592,-0.9305745363235474,0.23447050154209137,0.2698109745979309,0.0006132914568297565,0.6812002658843994,0.0015726846177130938,0.2698109745979309
0.009461876936256886,0.3205282986164093,0.27196618914604187,0.9829951524734497,-0.9298365712165833,0.23416925966739655,0.26998019218444824,0.0006411629728972912,0.6795024275779724,0.0017945364816114306,0.26998019218444824
0.009711879305541515,0.33292725682258606,0.2741076648235321,0.993015706539154,-0.9291220307350159,0.23364140093326569,0.2701583802700043,0.0006658266647718847,0.6777805089950562,0.001942062983289361,0.2701583802700043
0.010779802687466145,0.34420692920684814,0.27628302574157715,1.0028984546661377,-0.9282916784286499,0.23340249061584473,0.2703430652618408,0.0006886882474645972,0.6759328842163086,0.0021280739456415176,0.2703430652618408
0.011587596498429775,0.3546430766582489,0.2782716155052185,1.0123815536499023,-0.9274788498878479,0.23301124572753906,0.2705329656600952,0.0007099286303855479,0.6742401719093323,0.0022470387630164623,0.2705329656600952
0.012613124214112759,0.35786494612693787,0.2778528928756714,1.0138214826583862,-0.9265519380569458,0.23275712132453918,0.27073270082473755,0.0007281141588464379,0.6723926067352295,0.002286122180521488,0.27073270082473755
