step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,4.438202857971191,4.438202857971191,0.0,0.0,84.62272588082355,6.402973253654262,0.001,0.2013823390007019,0.0012831687927246094,0.0033102035522460938,211195.90932738758,0.0,nan,0.0033333333333333335,nan,nan,nan,nan,nan
2,4.4428791999816895,4.4428791999816895,0.0,0.0,85.0193774051595,6.409719789082309,0.001,0.209977388381958,0.001081228256225586,0.006088972091674805,227519.0262403528,0.0,nan,0.006666666666666667,nan,nan,nan,nan,nan
3,4.418416976928711,4.418416976928711,0.007874015718698502,0.007874015718698502,82.96484608463295,6.374428261194657,0.001,0.2696649432182312,0.0008401870727539062,0.008632183074951172,302313.62542565266,0.0,nan,0.01,nan,nan,nan,nan,nan
4,4.4236650466918945,4.4236650466918945,0.009345794096589088,0.009345794096589088,83.40139590476976,6.381999625416241,0.001,0.22739726305007935,0.0008001327514648438,0.011016130447387695,267455.6185935638,0.0,nan,0.013333333333333334,nan,nan,nan,nan,nan
5,4.421751976013184,4.421751976013184,0.0,0.0,83.24199566028267,6.3792396478351945,0.001,0.22165296971797943,0.0012311935424804688,0.01462101936340332,219299.39581719597,0.0,nan,0.016666666666666666,nan,nan,nan,nan,nan
6,4.415870189666748,4.415870189666748,0.010582010261714458,0.010582010261714458,82.75382110336223,6.370754023841624,0.001,0.2613438069820404,0.0008151531219482422,0.017454147338867188,231858.27902895585,0.0,nan,0.02,nan,nan,nan,nan,nan
7,4.394774436950684,4.394774436950684,0.015810277312994003,0.015810277312994003,81.02635215024921,6.340319286014338,0.001,0.22469227015972137,0.0009052753448486328,0.020198345184326172,279472.9818277588,0.0,nan,0.023333333333333334,nan,nan,nan,nan,nan
8,4.391030311584473,4.391030311584473,0.029288703575730324,0.029288703575730324,80.72354655462702,6.334917654916039,0.001,0.23984086513519287,0.0007650852203369141,0.0226590633392334,312383.501402306,0.0,nan,0.02666666666666667,nan,nan,nan,nan,nan
9,4.399687767028809,4.399687767028809,0.05069124326109886,0.05069124326109886,81.42544098812486,6.347407722952299,0.001,0.23620666563510895,0.0009529590606689453,0.025294065475463867,227711.7758318739,0.0,nan,0.03,nan,nan,nan,nan,nan
10,4.384951591491699,4.384951591491699,0.029411764815449715,0.029411764815449715,80.23433909421958,6.326147915583243,0.001,0.24197258055210114,0.0007078647613525391,0.027709007263183594,288190.64196699223,0.0,nan,0.03333333333333333,nan,nan,nan,nan,nan
11,4.377327919006348,4.377327919006348,0.05857740715146065,0.05857740715146065,79.62498448220538,6.315149281095264,0.001,0.2547072172164917,0.0009508132934570312,0.030735254287719727,251363.7552657974,0.0,nan,0.03666666666666667,nan,nan,nan,nan,nan
12,4.350297451019287,4.350297451019287,0.06341463327407837,0.06341463327407837,77.50151240090585,6.276152558977424,0.001,0.2571054995059967,0.0009143352508544922,0.033442020416259766,224206.60234680574,0.0,nan,0.04,nan,nan,nan,nan,nan
13,4.363757133483887,4.363757133483887,0.09333333373069763,0.09333333373069763,78.55170995645803,6.295570776121042,0.001,0.2750526964664459,0.0008120536804199219,0.0359492301940918,184716.85261303582,0.0,nan,0.043333333333333335,nan,nan,nan,nan,nan
14,4.353309631347656,4.353309631347656,0.06382978707551956,0.06382978707551956,77.73531287980326,6.280498216599425,0.001,0.28899669647216797,0.0007750988006591797,0.038639068603515625,303187.1547216241,0.0,nan,0.04666666666666667,nan,nan,nan,nan,nan
