step,train_mse,val_mse,best_val_mse,warmup_eta
1,0.9664157629013062,0.9294174909591675,0.9294174909591675,0.005
50,0.2697882056236267,0.259429395198822,0.259429395198822,0.25
100,0.07458116114139557,0.07205244898796082,0.07205244898796082,0.5
150,0.04606515169143677,0.041318655014038086,0.041318655014038086,0.75
200,0.012321528978645802,0.03018181212246418,0.03018181212246418,1.0
250,0.004823046736419201,0.025306927040219307,0.025306927040219307,1.0
300,0.007444473449140787,0.022915784269571304,0.022915784269571304,1.0
350,0.00394743075594306,0.021506745368242264,0.021506745368242264,1.0
400,0.004894590936601162,0.020826391875743866,0.020826391875743866,1.0
450,0.001587647246196866,0.020280662924051285,0.020280662924051285,1.0
500,0.0021069159265607595,0.020354073494672775,0.020280662924051285,1.0
550,0.00034961538040079176,0.02004791423678398,0.02004791423678398,1.0
600,0.0004007439420092851,0.019948435947299004,0.02004791423678398,1.0
650,0.0010163477854803205,0.01957074925303459,0.01957074925303459,1.0
700,0.0009067074279300869,0.019497599452733994,0.01957074925303459,1.0
750,0.0004662121064029634,0.01936202123761177,0.01936202123761177,1.0
800,0.0004507657140493393,0.019032660871744156,0.019032660871744156,1.0
850,0.00045714000589214265,0.018796443939208984,0.018796443939208984,1.0
900,0.0005119940615259111,0.018969887867569923,0.018796443939208984,1.0
950,0.00041694127139635384,0.018771208822727203,0.018796443939208984,1.0
1000,0.0005604614270851016,0.018517427146434784,0.018517427146434784,1.0
1050,0.0007200787076726556,0.01841127686202526,0.01841127686202526,1.0
1100,0.0007375067798420787,0.018061526119709015,0.018061526119709015,1.0
1150,0.000794873689301312,0.018034853041172028,0.018061526119709015,1.0
1200,0.0004918646882288158,0.018020998686552048,0.018061526119709015,1.0
1250,0.0005637542344629765,0.017608609050512314,0.017608609050512314,1.0
1300,0.000518062268383801,0.017538156360387802,0.017608609050512314,1.0
1350,0.00046517877490259707,0.017190739512443542,0.017190739512443542,1.0
1400,0.00046109454706311226,0.01734325662255287,0.017190739512443542,1.0
1450,0.00046317605301737785,0.017287256196141243,0.017190739512443542,1.0
1500,0.0004939328064210713,0.01693335548043251,0.01693335548043251,1.0
1550,0.0004557332140393555,0.016826331615447998,0.016826331615447998,1.0
1600,0.0003701605601236224,0.01700778305530548,0.016826331615447998,1.0
1650,0.0005273700226098299,0.016559269279241562,0.016559269279241562,1.0
1700,0.0003869979700539261,0.016547786071896553,0.016559269279241562,1.0
1750,0.000378311553504318,0.01640104129910469,0.01640104129910469,1.0
1800,0.00031302927527576685,0.016265032812952995,0.016265032812952995,1.0
1850,0.0002734554000198841,0.016244592145085335,0.016265032812952995,1.0
1900,0.00029708599322475493,0.015917688608169556,0.015917688608169556,1.0
1950,0.0002519515110179782,0.015828434377908707,0.015917688608169556,1.0
2000,0.0003852921654470265,0.015677297487854958,0.015677297487854958,1.0
2050,0.0003045857010874897,0.01566745713353157,0.015677297487854958,1.0
2100,0.00030773994512856007,0.015572885051369667,0.015572885051369667,1.0
2150,0.0003990583645645529,0.015439700335264206,0.015439700335264206,1.0
2200,0.00036802838440053165,0.01549565326422453,0.015439700335264206,1.0
2250,0.00027295135078020394,0.015343321487307549,0.015439700335264206,1.0
2300,0.0002878501545637846,0.015276798978447914,0.015276798978447914,1.0
2350,0.00033442379208281636,0.015129884704947472,0.015129884704947472,1.0
2400,0.00035041302908211946,0.01517624780535698,0.015129884704947472,1.0
2450,0.00037216959754005075,0.014904310926795006,0.014904310926795006,1.0
2500,0.00033688353141769767,0.014946598559617996,0.014904310926795006,1.0
2550,0.0004031358694192022,0.014659136533737183,0.014659136533737183,1.0
