step,train_loss,wall_clock_time_sec,eval_action_accuracy,eval_unsafe_action_rate,eval_expected_utility,eval_risk_weighted_reward,eval_approval_precision,eval_approval_recall,eval_risk_corr,eval_ece
1,1.3422201871871948,0.43340325355529785,,,,,,,,
2,1.3273199796676636,0.447345495223999,,,,,,,,
3,1.3325302600860596,0.4616117477416992,,,,,,,,
4,1.3447284698486328,0.47470998764038086,,,,,,,,
5,1.3561365604400635,0.49037694931030273,,,,,,,,
6,1.3164267539978027,0.50954270362854,,,,,,,,
7,1.3542615175247192,0.5249378681182861,,,,,,,,
8,1.3348006010055542,0.5411112308502197,,,,,,,,
9,1.3391010761260986,0.5538146495819092,,,,,,,,
10,1.3243330717086792,0.5692329406738281,,,,,,,,
11,1.3201699256896973,0.5851504802703857,,,,,,,,
12,1.3468995094299316,0.5977866649627686,,,,,,,,
13,1.34136962890625,0.6129434108734131,,,,,,,,
14,1.3214608430862427,0.6290080547332764,,,,,,,,
15,1.3293851613998413,0.6434588432312012,,,,,,,,
16,1.3358467817306519,0.6584343910217285,,,,,,,,
17,1.3386039733886719,0.673696756362915,,,,,,,,
18,1.334180474281311,0.6897213459014893,,,,,,,,
19,1.3385549783706665,0.7021975517272949,,,,,,,,
20,1.3203378915786743,0.7168197631835938,,,,,,,,
21,1.3398981094360352,0.7326743602752686,,,,,,,,
22,1.322585940361023,0.7478668689727783,,,,,,,,
23,1.3308690786361694,0.7655653953552246,,,,,,,,
24,1.321151614189148,0.7810909748077393,,,,,,,,
25,1.3407981395721436,0.7965569496154785,0.396484375,0.044921875,0.4923291504383087,-0.0788353830575943,0.1328125,0.3177570104598999,-0.1393042504787445,0.11058516800403595
26,1.3340809345245361,1.6148273944854736,,,,,,,,
27,1.3535799980163574,1.6261894702911377,,,,,,,,
28,1.3327800035476685,1.6422374248504639,,,,,,,,
29,1.316348671913147,1.6584784984588623,,,,,,,,
30,1.3350305557250977,1.674316167831421,,,,,,,,
31,1.342733383178711,1.6899502277374268,,,,,,,,
32,1.3062821626663208,1.7054097652435303,,,,,,,,
33,1.3234964609146118,1.7180943489074707,,,,,,,,
34,1.3386030197143555,1.7333283424377441,,,,,,,,
35,1.309737205505371,1.7496230602264404,,,,,,,,
36,1.3108851909637451,1.7653913497924805,,,,,,,,
37,1.326546549797058,1.7813289165496826,,,,,,,,
38,1.3184674978256226,1.797189474105835,,,,,,,,
39,1.3103243112564087,1.8125810623168945,,,,,,,,
40,1.328583002090454,1.8256328105926514,,,,,,,,
41,1.3383244276046753,1.8401975631713867,,,,,,,,
42,1.3242040872573853,1.8563318252563477,,,,,,,,
43,1.2859371900558472,1.8715121746063232,,,,,,,,
44,1.3293297290802002,1.8868229389190674,,,,,,,,
45,1.3450771570205688,1.9029819965362549,,,,,,,,
46,1.3298754692077637,1.9190313816070557,,,,,,,,
47,1.3223850727081299,1.9324851036071777,,,,,,,,
48,1.300140142440796,2.1518516540527344,,,,,,,,
49,1.3369890451431274,2.165684461593628,,,,,,,,
50,1.31392502784729,2.180173635482788,0.419921875,0.0390625,0.5011794567108154,-0.051919903606176376,0.1328125,0.3177570104598999,-0.1393042504787445,0.13213664293289185
51,1.325810432434082,2.41776442527771,,,,,,,,
52,1.3338615894317627,2.4335174560546875,,,,,,,,
53,1.3272961378097534,2.44862961769104,,,,,,,,
54,1.3262680768966675,2.4640729427337646,,,,,,,,
55,1.33339262008667,2.4790456295013428,,,,,,,,
56,1.2969110012054443,2.494199514389038,,,,,,,,
57,1.3072360754013062,2.5121798515319824,,,,,,,,
58,1.3185827732086182,2.5326552391052246,,,,,,,,
59,1.3125427961349487,2.549520969390869,,,,,,,,
60,1.3132984638214111,2.562988758087158,,,,,,,,
61,1.3125028610229492,2.577998161315918,,,,,,,,
62,1.321570634841919,2.595616102218628,,,,,,,,
63,1.3162819147109985,2.6107022762298584,,,,,,,,
64,1.3214335441589355,2.626330614089966,,,,,,,,
65,1.3238033056259155,2.643326997756958,,,,,,,,
66,1.315379023551941,2.660525321960449,,,,,,,,
67,1.3316195011138916,2.678159475326538,,,,,,,,
68,1.3055639266967773,2.693681240081787,,,,,,,,
69,1.310515284538269,2.7097113132476807,,,,,,,,
70,1.302722454071045,2.725343704223633,,,,,,,,
71,1.314050316810608,2.7383198738098145,,,,,,,,
72,1.3081743717193604,2.754798173904419,,,,,,,,
73,1.3017399311065674,2.770937204360962,,,,,,,,
74,1.3121200799942017,2.788390636444092,,,,,,,,
75,1.3085463047027588,2.8040060997009277,0.4375,0.037109375,0.5186252593994141,-0.02825840190052986,0.12890625,0.30841121077537537,-0.1393042504787445,0.14767570793628693
76,1.3254987001419067,2.999354839324951,,,,,,,,
77,1.3366191387176514,3.016880989074707,,,,,,,,
78,1.3071341514587402,3.0334835052490234,,,,,,,,
79,1.2786552906036377,3.050950050354004,,,,,,,,
80,1.293717622756958,3.067445755004883,,,,,,,,
81,1.3102749586105347,3.0850231647491455,,,,,,,,
82,1.2991377115249634,3.1020307540893555,,,,,,,,
83,1.2950941324234009,3.118183135986328,,,,,,,,
84,1.2980705499649048,3.130927085876465,,,,,,,,
85,1.2974227666854858,3.147799253463745,,,,,,,,
86,1.2972767353057861,3.1653318405151367,,,,,,,,
87,1.3118655681610107,3.1822383403778076,,,,,,,,
88,1.2861350774765015,3.2011427879333496,,,,,,,,
89,1.3111294507980347,3.21738338470459,,,,,,,,
90,1.3089792728424072,3.2350475788116455,,,,,,,,
91,1.3112388849258423,3.2526450157165527,,,,,,,,
92,1.3181363344192505,3.2699873447418213,,,,,,,,
93,1.2985457181930542,3.8550431728363037,,,,,,,,
94,1.3023545742034912,3.8711254596710205,,,,,,,,
95,1.3175805807113647,3.886845827102661,,,,,,,,
96,1.313117265701294,3.9032347202301025,,,,,,,,
97,1.3070205450057983,3.9199488162994385,,,,,,,,
98,1.3112256526947021,3.937159299850464,,,,,,,,
99,1.3181660175323486,3.95382022857666,,,,,,,,
100,1.274983286857605,3.968796491622925,0.455078125,0.03515625,0.5265494585037231,-0.008766941726207733,0.12890625,0.30841121077537537,-0.1393042504787445,0.1629563271999359
101,1.303504228591919,4.1884002685546875,,,,,,,,
102,1.2925844192504883,4.204802513122559,,,,,,,,
103,1.3001148700714111,4.222236156463623,,,,,,,,
104,1.302377700805664,4.237116575241089,,,,,,,,
105,1.3052729368209839,4.253072023391724,,,,,,,,
106,1.3181066513061523,4.269558429718018,,,,,,,,
107,1.3078192472457886,4.283851146697998,,,,,,,,
108,1.2951630353927612,4.29998254776001,,,,,,,,
109,1.2974791526794434,4.316234111785889,,,,,,,,
110,1.2796354293823242,4.330142021179199,,,,,,,,
111,1.29677414894104,4.346086025238037,,,,,,,,
112,1.2759907245635986,4.362921237945557,,,,,,,,
113,1.2872294187545776,4.3770246505737305,,,,,,,,
114,1.2967242002487183,4.395461559295654,,,,,,,,
115,1.29148530960083,4.411494493484497,,,,,,,,
116,1.2671804428100586,4.427966833114624,,,,,,,,
117,1.3178119659423828,4.442117691040039,,,,,,,,
118,1.3109196424484253,4.460825443267822,,,,,,,,
119,1.2794163227081299,4.476465225219727,,,,,,,,
120,1.2906534671783447,4.492694854736328,,,,,,,,
121,1.2997465133666992,4.507021427154541,,,,,,,,
122,1.2870862483978271,4.526538848876953,,,,,,,,
123,1.306973934173584,4.544229984283447,,,,,,,,
124,1.2904279232025146,4.560159206390381,,,,,,,,
125,1.2943933010101318,4.57683253288269,0.484375,0.03125,0.5388630628585815,0.02105599083006382,0.125,0.29906541109085083,-0.1393042504787445,0.18983471393585205
126,1.3004214763641357,4.774703741073608,,,,,,,,
127,1.2741996049880981,4.78791618347168,,,,,,,,
128,1.2749067544937134,4.800849676132202,,,,,,,,
129,1.3099217414855957,4.814346790313721,,,,,,,,
130,1.318209171295166,4.827590465545654,,,,,,,,
131,1.3039087057113647,4.840303182601929,,,,,,,,
132,1.262917399406433,4.85362434387207,,,,,,,,
133,1.295601725578308,4.866843223571777,,,,,,,,
134,1.2909350395202637,4.882974147796631,,,,,,,,
135,1.3100289106369019,4.898910999298096,,,,,,,,
136,1.2822028398513794,4.913633346557617,,,,,,,,
137,1.2757325172424316,4.928759336471558,,,,,,,,
138,1.3000876903533936,4.9481520652771,,,,,,,,
139,1.296327829360962,4.9633119106292725,,,,,,,,
140,1.27213716506958,4.978949785232544,,,,,,,,
141,1.2853728532791138,4.994545221328735,,,,,,,,
