step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc
1,0.8245785236358643,0.003741025924682617,,
2,0.8310841917991638,0.006516933441162109,,
3,0.7274184226989746,0.00908350944519043,,
4,0.7602466344833374,0.011767864227294922,,
5,0.9135374426841736,0.014278411865234375,,
6,0.7226889729499817,0.016763687133789062,,
7,0.6589863300323486,0.019597530364990234,,
8,0.8380911946296692,0.022136211395263672,,
9,0.719855546951294,0.024636268615722656,,
10,0.8003702163696289,0.027147531509399414,,
11,0.7222073674201965,0.029590129852294922,,
12,0.7067466378211975,0.03176283836364746,,
13,0.770486056804657,0.034475088119506836,,
14,0.8155127763748169,0.03746652603149414,,
15,0.6607950925827026,0.040132999420166016,,
16,0.9024271368980408,0.05065298080444336,,
17,0.7606654167175293,0.05328822135925293,,
18,0.6047301888465881,0.05573081970214844,,
19,0.5864734053611755,0.058759450912475586,,
20,0.7102980613708496,0.06173396110534668,,
21,0.7048298716545105,0.06451058387756348,,
22,0.7326829433441162,0.06729841232299805,,
23,0.7362132668495178,0.0708761215209961,,
24,0.6675745248794556,0.07389640808105469,,
25,0.6262243986129761,0.0769808292388916,0.5595703125,0.4097270965576172
26,0.7167680263519287,0.1193842887878418,,
27,0.7102904319763184,0.12282037734985352,,
28,0.7754693627357483,0.12583303451538086,,
29,0.714810311794281,0.12919235229492188,,
30,0.8007482886314392,0.13314318656921387,,
31,0.6305335760116577,0.13648104667663574,,
32,0.7029192447662354,0.1389780044555664,,
33,0.6893602609634399,0.14336109161376953,,
34,0.733559250831604,0.14612746238708496,,
35,0.7380483746528625,0.14874863624572754,,
36,0.6833922863006592,0.15758013725280762,,
37,0.7483780980110168,0.16024112701416016,,
38,0.7347888350486755,0.16350340843200684,,
39,0.7833766937255859,0.16716384887695312,,
40,0.6940836310386658,0.17101097106933594,,
41,0.5810070633888245,0.17455482482910156,,
42,0.6270749568939209,0.1777784824371338,,
43,0.8188192844390869,0.18113303184509277,,
44,0.633764386177063,0.1843268871307373,,
45,0.6989415287971497,0.18793129920959473,,
46,0.6685062050819397,0.20129060745239258,,
47,0.6320093274116516,0.20785737037658691,,
48,0.710637629032135,0.21149802207946777,,
49,0.7140436172485352,0.21525359153747559,,
50,0.6657055616378784,0.2184584140777588,0.5986328125,0.34884220361709595
51,0.620049774646759,0.2626807689666748,,
52,0.6087071895599365,0.2666287422180176,,
53,0.6793666481971741,0.27127575874328613,,
54,0.6988848447799683,0.27538275718688965,,
55,0.5964909791946411,0.278613805770874,,
56,0.6602931618690491,0.28168320655822754,,
57,0.6822052001953125,0.2848036289215088,,
58,0.6661352515220642,0.2877786159515381,,
59,0.5994410514831543,0.2906172275543213,,
60,0.6085492968559265,0.2936263084411621,,
61,0.6030855774879456,0.296905517578125,,
62,0.6460400819778442,0.2998993396759033,,
63,0.6450300812721252,0.3034987449645996,,
64,0.6330334544181824,0.3074355125427246,,
