step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.6228649616241455,0.125,0.125,1.0,0.001,3002.81005859375,0.05900073051452637,0.06181669235229492,271.18308299692484,0.0,0.898507833480835,-0.22418969869613647
2,1.658205509185791,0.125,0.125,1.0,0.001,5.94452428817749,0.05654501914978027,0.12135887145996094,282.9603781301783,0.0,8.050269389059395e-05,0.05693506449460983
3,1.5714988708496094,0.375,0.375,1.0,0.001,4.570209503173828,0.056775808334350586,0.18125700950622559,281.81016650219414,0.0,0.09144328534603119,-0.1341681033372879
4,1.5487948656082153,0.5,0.5,1.0,0.001,3.3905224800109863,0.05613207817077637,0.24061179161071777,285.0420031006435,0.0,0.2959482967853546,-0.1721869260072708
5,1.6562281847000122,0.125,0.125,1.0,0.001,1.1916755437850952,0.05358409881591797,0.2973597049713135,298.59604534856817,0.0,-0.47905150055885315,-0.04931202530860901
6,1.5955235958099365,0.3125,0.3125,1.0,0.001,1.3987772464752197,0.0568540096282959,0.3576037883758545,281.42254353924926,0.0,0.06931165605783463,-0.10841964185237885
7,1.5704915523529053,0.3125,0.3125,1.0,0.001,0.6067612171173096,0.05569314956665039,0.4169919490814209,287.28847487521085,0.0,-0.2911834418773651,-0.167006716132164
8,1.6736983060836792,0.125,0.125,1.0,0.001,1.1921666860580444,0.05473685264587402,0.4755518436431885,292.30763601834633,0.0,-0.10221506655216217,0.13078181445598602
9,1.6408082246780396,0.125,0.125,1.0,0.001,2.128556489944458,0.054628849029541016,0.5339839458465576,292.8855409592808,0.0,0.13006244599819183,-0.371650367975235
10,1.631795048713684,0.1875,0.1875,1.0,0.001,0.748396635055542,0.055281877517700195,0.5928237438201904,289.42577058597743,0.0,-0.18776023387908936,-0.4648098349571228
11,1.6132892370224,0.1875,0.1875,1.0,0.001,1.2332110404968262,0.05459928512573242,0.6510727405548096,293.04412984812626,0.0,0.12187129259109497,-0.12446440756320953
12,1.637883186340332,0.125,0.125,1.0,0.001,0.8134562373161316,0.05371904373168945,0.7081449031829834,297.84595719751104,0.0,-0.6374272108078003,-0.22649191319942474
13,1.628873348236084,0.1875,0.1875,1.0,0.001,0.5947831869125366,0.05451321601867676,0.7663857936859131,293.5068074963371,0.0,-0.27334174513816833,-0.3319403827190399
14,1.6228536367416382,0.25,0.25,1.0,0.001,0.5727009773254395,0.05388498306274414,0.8243169784545898,296.92873766647494,0.0,0.18419060111045837,-0.4071977436542511
15,1.6287031173706055,0.25,0.25,1.0,0.001,0.8135402202606201,0.054195404052734375,0.8822968006134033,295.22798620398396,0.0,-0.14627182483673096,-0.3289547562599182
16,1.5930358171463013,0.375,0.375,1.0,0.001,1.0889736413955688,0.05341005325317383,0.939687967300415,299.56907034256176,0.0,0.1950974017381668,0.4013979434967041
17,1.631392478942871,0.1875,0.1875,1.0,0.001,0.8222419023513794,0.05429792404174805,0.9981226921081543,294.67056581570375,0.0,0.15452656149864197,-0.5272563099861145
18,1.6703927516937256,0.0,0.0,1.0,0.001,1.5610681772232056,0.0552067756652832,1.057588815689087,289.8194978277205,0.0,0.14660689234733582,0.11104457825422287
19,1.6001936197280884,0.25,0.25,1.0,0.001,0.38353702425956726,0.05599188804626465,1.1177527904510498,285.7556792294558,0.0,-0.07737801969051361,0.2685560882091522
20,1.6441580057144165,0.0625,0.0625,1.0,0.001,1.0419174432754517,0.056262969970703125,1.1781947612762451,284.378873143942,0.0,-0.13079586625099182,-0.365694135427475
21,1.5794446468353271,0.375,0.375,1.0,0.001,0.8635267615318298,0.05731701850891113,1.2392778396606445,279.1492023876375,0.0,-0.2985761761665344,-0.21696607768535614
22,1.6220676898956299,0.1875,0.1875,1.0,0.001,0.3237091302871704,0.05688810348510742,1.300311803817749,281.2538829702522,0.0,-0.033495500683784485,-0.4273410141468048
23,1.6114540100097656,0.3125,0.3125,1.0,0.001,0.7785149216651917,0.056784868240356445,1.3616509437561035,281.76520428428074,0.0,-0.359730064868927,-0.5092869997024536
24,1.6260066032409668,0.125,0.125,1.0,0.001,0.7572821378707886,0.05784797668457031,1.4238877296447754,276.5870289162188,0.0,-0.3183658719062805,-0.45717617869377136
25,1.5935145616531372,0.375,0.375,1.0,0.001,0.8435178995132446,0.05591893196105957,1.484696865081787,286.1284977892991,0.0,0.0454988069832325,-0.5246483087539673
26,1.6352266073226929,0.1875,0.1875,1.0,0.001,0.6716670393943787,0.05720210075378418,1.5463109016418457,279.7100069605665,0.0,0.38140860199928284,-0.26657411456108093
27,1.6021591424942017,0.1875,0.1875,1.0,0.001,0.356919527053833,0.058294057846069336,1.6087658405303955,274.4705136542292,0.0,-0.04145345091819763,-0.2120617777109146
28,1.6131855249404907,0.0625,0.0625,1.0,0.001,1.0219136476516724,0.058596134185791016,1.6719558238983154,273.05555600764944,0.0,-0.24587324261665344,0.14297708868980408
29,1.5871355533599854,0.3125,0.3125,1.0,0.001,0.5027730464935303,0.05822110176086426,1.7352347373962402,274.8144489899548,0.0,0.24755515158176422,-0.28626978397369385
30,1.6446648836135864,0.0625,0.0625,1.0,0.001,0.820946455001831,0.060195207595825195,1.8002498149871826,265.8018908653065,0.0,-0.1989692598581314,-0.20414790511131287
31,1.606273889541626,0.1875,0.1875,1.0,0.001,0.34721559286117554,0.05878400802612305,1.8640530109405518,272.182869750728,0.0,0.08842548727989197,-0.42586952447891235
32,1.6201488971710205,0.125,0.125,1.0,0.001,0.5696274042129517,0.057872772216796875,1.9268836975097656,276.4685254762376,0.0,0.2649896740913391,-0.1832110434770584
33,1.5929503440856934,0.3125,0.3125,1.0,0.001,0.3856383264064789,0.0574951171875,1.9890058040618896,278.2845010615711,0.0,-0.47835975885391235,-0.35132232308387756
34,1.5994514226913452,0.1875,0.1875,1.0,0.001,0.7081570029258728,0.05593085289001465,2.050147771835327,286.0675132464587,0.0,-0.2572433650493622,-0.37887224555015564
35,1.6284364461898804,0.125,0.125,1.0,0.001,0.7670549750328064,0.05811190605163574,2.113327741622925,275.33084159695414,0.0,-0.013720984570682049,-0.6678082346916199
36,1.610619068145752,0.125,0.125,1.0,0.001,0.42287102341651917,0.056467294692993164,2.1744167804718018,283.3498591882318,0.0,-0.22290541231632233,-0.8067391514778137
37,1.6054233312606812,0.1875,0.1875,1.0,0.001,0.7467564344406128,0.059162139892578125,2.2390336990356445,270.4432265136372,0.0,-0.1498839259147644,-0.2941628098487854
38,1.612587809562683,0.25,0.25,1.0,0.001,0.2543594241142273,0.05861997604370117,2.3031129837036133,272.94449912555416,0.0,-0.11729994416236877,-0.6337294578552246
39,1.6159616708755493,0.25,0.25,1.0,0.001,0.3964119255542755,0.05803275108337402,2.365912675857544,275.7063847794024,0.0,0.23429924249649048,-0.3918231725692749
40,1.6111279726028442,0.125,0.125,1.0,0.001,0.33231884241104126,0.059374094009399414,2.4307918548583984,269.47779611537425,0.0,-0.18648260831832886,-0.26513367891311646
41,1.5759177207946777,0.4375,0.4375,1.0,0.001,0.7188037633895874,0.0635380744934082,2.4998836517333984,251.81751457797057,0.0,-0.027599085122346878,-0.1358359456062317
42,1.599932074546814,0.375,0.375,1.0,0.001,0.7824968695640564,0.05935215950012207,2.5648839473724365,269.5773858062754,0.0,-0.2935406267642975,0.1259218007326126
43,1.6016383171081543,0.1875,0.1875,1.0,0.001,0.4531587064266205,0.05850505828857422,2.6287879943847656,273.48062659950773,0.0,-0.1381443738937378,0.3580009639263153
44,1.6094183921813965,0.25,0.25,1.0,0.001,0.31347838044166565,0.059773921966552734,2.693772792816162,267.6752582665231,0.0,0.23187415301799774,0.10223396122455597
