drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,update_gate_mean,update_gate_std,new_precision_mean,new_precision_std,old_precision_mean,old_precision_std
0.00019917218014597893,0.0014268207596614957,0.6931688189506531,0.0006893082172609866,-0.000933365139644593,0.0017383956583216786,0.057322174310684204,0.00033054829691536725,0.24433541297912598,0.0014946599258109927,4.0181498527526855,0.0
-0.00018452550284564495,0.002292345277965069,0.6929497122764587,0.0010212352499365807,-0.0013234247453510761,0.0054875994101166725,0.05710945278406143,0.00048404783592559397,0.24337439239025116,0.0021882501896470785,4.0181498527526855,0.0
-0.0002864101843442768,0.0033026421442627907,0.6929943561553955,0.001302829710766673,-0.0015915986150503159,0.007099059410393238,0.057101160287857056,0.0005502779386006296,0.2433372139930725,0.002487786579877138,4.0181498527526855,0.0
-0.00036997447023168206,0.003909967374056578,0.6929548382759094,0.0015099206939339638,-0.0019357436103746295,0.009371617808938026,0.05724315717816353,0.0005707863019779325,0.24397918581962585,0.0025809891521930695,4.0181498527526855,0.0
-0.00031573176966048777,0.004061541520059109,0.6930333971977234,0.0015846539754420519,-0.0021244750823825598,0.01092328317463398,0.05739603936672211,0.0007312224479392171,0.24467146396636963,0.003306714119389653,4.0181498527526855,0.0
-0.00045474767102859914,0.004682095721364021,0.6930956840515137,0.0016024698270484805,-0.002318411832675338,0.013298314064741135,0.05743185058236122,0.0007896718452684581,0.24483385682106018,0.0035721510648727417,4.0181498527526855,0.0
-0.0006000309367664158,0.005274801515042782,0.6932278871536255,0.0017337007448077202,-0.0026149277109652758,0.015846144407987595,0.057508111000061035,0.0008392372983507812,0.2451791763305664,0.0037970682606101036,4.0181498527526855,0.0
-0.0008274945430457592,0.005971794482320547,0.6933473348617554,0.0019471609266474843,-0.003043033881112933,0.01866801455616951,0.057695671916007996,0.000801855290774256,0.24602748453617096,0.003628842532634735,4.0181498527526855,0.0
-0.0010506751714274287,0.0068475124426186085,0.6935185790061951,0.002341657178476453,-0.0036901466082781553,0.0227942056953907,0.05776531249284744,0.0008847659337334335,0.24634334444999695,0.00400465028360486,4.0181498527526855,0.0
-0.0013881352497264743,0.007811896502971649,0.6936771273612976,0.0028085315134376287,-0.004548926837742329,0.027736902236938477,0.057731591165065765,0.001078761531971395,0.2461925446987152,0.004883540328592062,4.0181498527526855,0.0
-0.0017042435938492417,0.008728833869099617,0.6938208341598511,0.0034453291445970535,-0.005468716379255056,0.0331328883767128,0.05791395157575607,0.0010854605352506042,0.24701805412769318,0.004915041849017143,4.0181498527526855,0.0
-0.0020629994105547667,0.009476613253355026,0.6939588189125061,0.00415034918114543,-0.00625300407409668,0.03843464329838753,0.058318398892879486,0.0012143311323598027,0.24885135889053345,0.005503700580447912,4.0181498527526855,0.0
-0.0024206689558923244,0.010956822894513607,0.6940321326255798,0.005032445304095745,-0.007515926845371723,0.04655489698052406,0.05844482034444809,0.0012782277772203088,0.24942505359649658,0.005794360768049955,4.0181498527526855,0.0
-0.002821517176926136,0.012540411204099655,0.6941018104553223,0.005949889309704304,-0.00906631164252758,0.05472039431333542,0.05823564529418945,0.0012976936995983124,0.24847739934921265,0.005878259893506765,4.0181498527526855,0.0
-0.003024067496880889,0.014177773147821426,0.6941336989402771,0.006690888199955225,-0.010355619713664055,0.06360861659049988,0.05870367959141731,0.001430140808224678,0.2506006360054016,0.0064873103983700275,4.0181498527526855,0.0
-0.0035137527156621218,0.016237039119005203,0.6942715644836426,0.008209403604269028,-0.010923734866082668,0.07452540844678879,0.0588252991437912,0.001600190531462431,0.25115472078323364,0.007258299272507429,4.0181498527526855,0.0
-0.0038141084369271994,0.019277995452284813,0.6943632364273071,0.009570731781423092,-0.01318084355443716,0.09141959249973297,0.05898990109562874,0.0014044773997738957,0.25189870595932007,0.006374182179570198,4.0181498527526855,0.0
-0.0041821603663265705,0.021577663719654083,0.694415271282196,0.011073440313339233,-0.013835533522069454,0.10712908953428268,0.05985483527183533,0.0014115457888692617,0.25582724809646606,0.006410412024706602,4.0181498527526855,0.0
-0.00447122985497117,0.02514335699379444,0.6944706439971924,0.012745466083288193,-0.016438046470284462,0.12975545227527618,0.05961006134748459,0.001686491072177887,0.2547188997268677,0.007661585696041584,4.0181498527526855,0.0
-0.004565273877233267,0.030178356915712357,0.6944006085395813,0.015012990683317184,-0.02049379050731659,0.16379430890083313,0.059613198041915894,0.0015893530799075961,0.25473159551620483,0.0072197201661765575,4.0181498527526855,0.0
-0.00505790812894702,0.033911511301994324,0.6945161819458008,0.018069803714752197,-0.017763851210474968,0.1963123232126236,0.060478318482637405,0.0015780380927026272,0.25866594910621643,0.007174222730100155,4.0181498527526855,0.0
-0.0053614177741110325,0.03967832773923874,0.6945635676383972,0.02169797010719776,-0.01855613850057125,0.24599605798721313,0.060515791177749634,0.0019712133798748255,0.2588433027267456,0.008964361622929573,4.0181498527526855,0.0
-0.005219286773353815,0.04616259038448334,0.694464385509491,0.02570514567196369,-0.021761951968073845,0.3071611523628235,0.06080334633588791,0.002045178087428212,0.26015424728393555,0.009306680411100388,4.0181498527526855,0.0
-0.00516859395429492,0.053068555891513824,0.6946820020675659,0.03048662655055523,-0.018212730064988136,0.3753145635128021,0.06159386411309242,0.002001736545935273,0.26375746726989746,0.009120838716626167,4.0181498527526855,0.0
-0.00518595427274704,0.0611535906791687,0.6947499513626099,0.035344820469617844,-0.019713452085852623,0.4564436078071594,0.06208396703004837,0.002104573417454958,0.265997052192688,0.009600174613296986,4.0181498527526855,0.0
-0.005007696337997913,0.07596763223409653,0.6950463056564331,0.044521454721689224,-0.020836858078837395,0.5989497303962708,0.06244610249996185,0.002230384387075901,0.2676544487476349,0.010164618492126465,4.0181498527526855,0.0
-0.004640195053070784,0.08880307525396347,0.6948714256286621,0.05188504606485367,-0.030158137902617455,0.7318528890609741,0.06265780329704285,0.002727737883105874,0.2686344385147095,0.012432483024895191,4.0181498527526855,0.0
-0.0038796034641563892,0.09596430510282516,0.6942514777183533,0.055756520479917526,-0.044553060084581375,0.8228500485420227,0.06319530308246613,0.0021746016573160887,0.2710808515548706,0.009932522661983967,4.0181498527526855,0.0
-0.004257278982549906,0.11565902084112167,0.6956716775894165,0.06864500045776367,-0.02942711114883423,1.0295984745025635,0.06367681920528412,0.0026426403783261776,0.27329763770103455,0.012070638127624989,4.0181498527526855,0.0
-0.004828968085348606,0.11863961815834045,0.696976363658905,0.07179771363735199,-0.006594717036932707,1.0898480415344238,0.06355580687522888,0.002930660964921117,0.2727508842945099,0.013395063579082489,4.0181498527526855,0.0
-0.005260860081762075,0.1348002701997757,0.6984643340110779,0.08270522952079773,0.009772352874279022,1.2693949937820435,0.06412331759929657,0.002842656336724758,0.275350421667099,0.012993200682103634,4.0181498527526855,0.0
-0.004613365512341261,0.15292787551879883,0.6983792781829834,0.0940159261226654,-0.012550043873488903,1.4707247018814087,0.06408636271953583,0.003062470117583871,0.275187224149704,0.013997292146086693,4.0181498527526855,0.0
-0.004138683434575796,0.14806774258613586,0.6973344683647156,0.090656578540802,-0.029223470017313957,1.4392459392547607,0.06432154774665833,0.0026756993029266596,0.2762555181980133,0.012235048227012157,4.0181498527526855,0.0
-0.006529014091938734,0.17450504004955292,0.7020646929740906,0.11123203486204147,0.03465236350893974,1.7324607372283936,0.06460803747177124,0.0031623695977032185,0.27758467197418213,0.014452327974140644,4.0181498527526855,0.0
-0.006208143662661314,0.18317162990570068,0.7027451395988464,0.1190221756696701,0.03314286470413208,1.8671448230743408,0.0653255507349968,0.0025076698511838913,0.2808643579483032,0.011514896526932716,4.0181498527526855,0.0
-0.007362639997154474,0.19024555385112762,0.7038952112197876,0.12473206967115402,0.04463193938136101,1.9489455223083496,0.06442441791296005,0.003054535249248147,0.2767382860183716,0.01394625287503004,4.0181498527526855,0.0
-0.006854083389043808,0.20708467066287994,0.7050519585609436,0.13641977310180664,0.03952885791659355,2.1528382301330566,0.06562307476997375,0.002971036359667778,0.2822456359863281,0.013612895272672176,4.0181498527526855,0.0
-0.009390775114297867,0.20569846034049988,0.7069079279899597,0.13737648725509644,0.07675084471702576,2.1569347381591797,0.06480693817138672,0.003386707277968526,0.2785055339336395,0.015484247356653214,4.0181498527526855,0.0
-0.008131838403642178,0.19910171627998352,0.705396831035614,0.13259705901145935,0.05727575346827507,2.0938267707824707,0.06508809328079224,0.0033193635754287243,0.2797955274581909,0.015197551809251308,4.0181498527526855,0.0
-0.00851780641824007,0.20549985766410828,0.706392765045166,0.1362474113702774,0.06626125425100327,2.166184425354004,0.06482629477977753,0.003999142441898584,0.27861645817756653,0.018262267112731934,4.0181498527526855,0.0
-0.007495765574276447,0.18988992273807526,0.7038006782531738,0.12480434030294418,0.030332449823617935,1.9967807531356812,0.06436681747436523,0.003802604041993618,0.27649885416030884,0.017350777983665466,4.0181498527526855,0.0
-0.007997681386768818,0.20083536207675934,0.7052550911903381,0.13193319737911224,0.04132619500160217,2.114518880844116,0.06506340205669403,0.00424970593303442,0.27971622347831726,0.019399020820856094,4.0181498527526855,0.0
