step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3001744747161865,0.125,2.3001744747161865,0.010318007320165634,0.001,0.021856307983398438,,,,,,,,,,,,,,,,,
2,2.2793140411376953,0.234375,2.2793140411376953,0.010235573165118694,0.001,0.04318571090698242,,,,,,,,,,,,,,,,,
3,2.2576801776885986,0.3125,2.2576801776885986,0.010249649174511433,0.001,0.06523990631103516,,,,,,,,,,,,,,,,,
4,2.263946294784546,0.203125,2.263946294784546,0.010173670947551727,0.001,0.08725929260253906,,,,,,,,,,,,,,,,,
5,2.266289472579956,0.15625,2.266289472579956,0.01015511341392994,0.001,0.10896944999694824,,,,,,,,,,,,,,,,,
6,2.257534980773926,0.1875,2.257534980773926,0.010175368748605251,0.001,0.12949728965759277,,,,,,,,,,,,,,,,,
7,2.2434804439544678,0.28125,2.2434804439544678,0.01024832483381033,0.001,0.14974045753479004,,,,,,,,,,,,,,,,,
8,2.236690044403076,0.1875,2.236690044403076,0.0103230569511652,0.001,0.17313027381896973,,,,,,,,,,,,,,,,,
9,2.249424695968628,0.1875,2.249424695968628,0.010446397587656975,0.001,0.19739890098571777,,,,,,,,,,,,,,,,,
10,2.2265164852142334,0.296875,2.2265164852142334,0.010580332949757576,0.001,0.2204761505126953,,,,,,,,,,,,,,,,,
11,2.2323243618011475,0.265625,2.2323243618011475,0.010737249627709389,0.001,0.2433466911315918,,,,,,,,,,,,,,,,,
12,2.203076124191284,0.34375,2.203076124191284,0.010952802374958992,0.001,0.2663841247558594,,,,,,,,,,,,,,,,,
13,2.2139861583709717,0.171875,2.2139861583709717,0.011252208612859249,0.001,0.2918088436126709,,,,,,,,,,,,,,,,,
14,2.201869487762451,0.328125,2.201869487762451,0.01161123812198639,0.001,0.31743359565734863,,,,,,,,,,,,,,,,,
15,2.225362777709961,0.21875,2.225362777709961,0.012050459161400795,0.001,0.3424839973449707,,,,,,,,,,,,,,,,,
16,2.1924021244049072,0.328125,2.1924021244049072,0.012563902884721756,0.001,0.36810731887817383,,,,,,,,,,,,,,,,,
17,2.2082579135894775,0.28125,2.2082579135894775,0.013118725270032883,0.001,0.3944849967956543,,,,,,,,,,,,,,,,,
18,2.1660001277923584,0.296875,2.1660001277923584,0.013745859265327454,0.001,0.41953253746032715,,,,,,,,,,,,,,,,,
19,2.193347692489624,0.265625,2.193347692489624,0.014467578381299973,0.001,0.4430556297302246,,,,,,,,,,,,,,,,,
20,2.1832165718078613,0.21875,2.1832165718078613,0.015282821841537952,0.001,0.46749114990234375,,,,,,,,,,,,,,,,,
21,2.172210693359375,0.25,2.172210693359375,0.016182342544198036,0.001,0.48840904235839844,,,,,,,,,,,,,,,,,
22,2.1688623428344727,0.3125,2.1688623428344727,0.017165997996926308,0.001,0.5094106197357178,,,,,,,,,,,,,,,,,
23,2.129714012145996,0.359375,2.129714012145996,0.018207792192697525,0.001,0.527010440826416,,,,,,,,,,,,,,,,,
24,2.1419312953948975,0.296875,2.1419312953948975,0.01932377927005291,0.001,0.5443377494812012,,,,,,,,,,,,,,,,,
25,2.1545727252960205,0.3125,2.1545727252960205,0.020520340651273727,0.001,0.5616137981414795,,,,,,,,,,,,,,,,,
26,2.124164342880249,0.28125,2.124164342880249,0.021776042878627777,0.001,0.578840970993042,,,,,,,,,,,,,,,,,
27,2.132603645324707,0.359375,2.132603645324707,0.023097248747944832,0.001,0.5961818695068359,,,,,,,,,,,,,,,,,
28,2.126460075378418,0.21875,2.126460075378418,0.02445351332426071,0.001,0.61350417137146,,,,,,,,,,,,,,,,,
29,2.0834617614746094,0.40625,2.0834617614746094,0.02583181858062744,0.001,0.6311094760894775,,,,,,,,,,,,,,,,,
30,2.0883800983428955,0.453125,2.0883800983428955,0.027237500995397568,0.001,0.6600077152252197,,,,,,,,,,,,,,,,,
31,2.141472101211548,0.21875,2.141472101211548,0.028604788705706596,0.001,0.7095391750335693,,,,,,,,,,,,,,,,,
32,2.109895706176758,0.265625,2.109895706176758,0.029934437945485115,0.001,0.7611327171325684,,,,,,,,,,,,,,,,,
33,2.0584139823913574,0.265625,2.0584139823913574,0.031257376074790955,0.001,0.8048293590545654,,,,,,,,,,,,,,,,,
34,2.085395097732544,0.265625,2.085395097732544,0.03259420394897461,0.001,0.8256597518920898,,,,,,,,,,,,,,,,,
35,2.0497074127197266,0.375,2.0497074127197266,0.03386374190449715,0.001,0.848494291305542,,,,,,,,,,,,,,,,,
36,2.0983691215515137,0.3125,2.0983691215515137,0.035096243023872375,0.001,0.8717670440673828,,,,,,,,,,,,,,,,,
37,2.01415753364563,0.375,2.01415753364563,0.036267150193452835,0.001,0.8955633640289307,,,,,,,,,,,,,,,,,
38,2.026258945465088,0.375,2.026258945465088,0.0373988077044487,0.001,0.9186053276062012,,,,,,,,,,,,,,,,,
39,2.090879201889038,0.234375,2.090879201889038,0.038466811180114746,0.001,0.9407668113708496,,,,,,,,,,,,,,,,,
40,2.006287097930908,0.328125,2.006287097930908,0.03945854678750038,0.001,0.9659719467163086,,,,,,,,,,,,,,,,,
41,1.9900038242340088,0.390625,1.9900038242340088,0.04038908705115318,0.001,0.9901309013366699,,,,,,,,,,,,,,,,,
42,2.0762674808502197,0.265625,2.0762674808502197,0.041263896971940994,0.001,1.013653039932251,,,,,,,,,,,,,,,,,
43,1.993611216545105,0.390625,1.993611216545105,0.04209550470113754,0.001,1.0371785163879395,,,,,,,,,,,,,,,,,
44,1.9946163892745972,0.375,1.9946163892745972,0.04287257418036461,0.001,1.0616655349731445,,,,,,,,,,,,,,,,,
45,2.0242621898651123,0.390625,2.0242621898651123,0.04358625039458275,0.001,1.0867688655853271,,,,,,,,,,,,,,,,,
46,2.0315046310424805,0.328125,2.0315046310424805,0.04422823339700699,0.001,1.1105103492736816,,,,,,,,,,,,,,,,,
47,2.0354042053222656,0.34375,2.0354042053222656,0.04475666955113411,0.001,1.1351683139801025,,,,,,,,,,,,,,,,,
48,1.9691283702850342,0.34375,1.9691283702850342,0.04520908743143082,0.001,1.160815954208374,,,,,,,,,,,,,,,,,
49,1.9750179052352905,0.265625,1.9750179052352905,0.045647960156202316,0.001,1.1889469623565674,,,,,,,,,,,,,,,,,
50,2.0069773197174072,0.3125,2.0069773197174072,0.04608426243066788,0.001,1.2174468040466309,,,,,,,,,,,,,,,,,
51,1.981652021408081,0.375,1.981652021408081,0.046468861401081085,0.001,1.2456016540527344,,,,,,,,,,,,,,,,,
52,2.01400089263916,0.375,2.01400089263916,0.04680651053786278,0.001,1.2779631614685059,,,,,,,,,,,,,,,,,
53,2.0078392028808594,0.296875,2.0078392028808594,0.0470869280397892,0.001,1.3080317974090576,,,,,,,,,,,,,,,,,
54,1.9992955923080444,0.375,1.9992955923080444,0.04736725986003876,0.001,1.3368325233459473,,,,,,,,,,,,,,,,,
55,2.007054567337036,0.28125,2.007054567337036,0.047616180032491684,0.001,1.359227180480957,,,,,,,,,,,,,,,,,
56,1.968591570854187,0.296875,1.968591570854187,0.04785124212503433,0.001,1.3843443393707275,,,,,,,,,,,,,,,,,
