step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_null_weight_mean,eval_null_severity_corr,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7264661192893982,0.011832952499389648,,,,,,
2,0.7350817322731018,0.026331424713134766,,,,,,
3,0.6975670456886292,0.03943753242492676,,,,,,
4,0.7046961188316345,0.05399465560913086,,,,,,
5,0.7806565761566162,0.06610631942749023,,,,,,
6,0.6725314259529114,0.07544684410095215,,,,,,
7,0.6507740020751953,0.08755111694335938,,,,,,
8,0.7425769567489624,0.0996091365814209,,,,,,
9,0.7005926966667175,0.10806846618652344,,,,,,
10,0.7265076637268066,0.1201927661895752,,,,,,
11,0.6884788274765015,0.13212871551513672,,,,,,
12,0.6652238368988037,0.13683414459228516,,,,,,
13,0.7031950950622559,0.14125394821166992,,,,,,
14,0.7293102145195007,0.14877796173095703,,,,,,
15,0.6625179052352905,0.1578369140625,,,,,,
16,0.7618097066879272,0.17173147201538086,,,,,,
17,0.6937015056610107,0.18479371070861816,,,,,,
18,0.6127122640609741,0.19564485549926758,,,,,,
19,0.6102191209793091,0.20714664459228516,,,,,,
20,0.6599487066268921,0.21845149993896484,,,,,,
21,0.6445276141166687,0.2297801971435547,,,,,,
22,0.6725761890411377,0.24101686477661133,,,,,,
23,0.6890120506286621,0.25249290466308594,,,,,,
24,0.6460226774215698,0.26438021659851074,,,,,,
25,0.619727611541748,0.27557826042175293,0.6005859375,0.3507564067840576,0.0,nan,1.0,nan
26,0.6647384166717529,0.407543420791626,,,,,,
27,0.6472530364990234,0.4191415309906006,,,,,,
28,0.6757410168647766,0.43248653411865234,,,,,,
29,0.6630418300628662,0.44490599632263184,,,,,,
30,0.6959570646286011,0.45716166496276855,,,,,,
31,0.6294141411781311,0.4691891670227051,,,,,,
32,0.647144615650177,0.4815044403076172,,,,,,
33,0.6409220695495605,0.49428343772888184,,,,,,
34,0.6586135625839233,0.5063917636871338,,,,,,
35,0.6393452286720276,0.5152256488800049,,,,,,
36,0.6444126963615417,0.5272049903869629,,,,,,
37,0.657382607460022,0.534398078918457,,,,,,
38,0.685032069683075,0.5479741096496582,,,,,,
39,0.6273701786994934,0.5613613128662109,,,,,,
