spline_edge_output_mean,spline_edge_output_std,spline_basis_mean,spline_basis_std,edge_output_mean,edge_output_std
-0.010660719126462936,0.10810250043869019,0.05842696502804756,0.1885632872581482,-0.010660719126462936,0.10810250043869019
-0.0008263589115813375,0.1791972666978836,0.05823124945163727,0.1882210075855255,-0.0008263589115813375,0.1791972666978836
0.0043290541507303715,0.2671104073524475,0.05776349827647209,0.18762554228305817,0.0043290541507303715,0.2671104073524475
4.996126517653465e-05,0.3174252510070801,0.05756594240665436,0.18733656406402588,4.996126517653465e-05,0.3174252510070801
-0.0002462598495185375,0.35267677903175354,0.057487647980451584,0.18713884055614471,-0.0002462598495185375,0.35267677903175354
-0.0031267832964658737,0.36029186844825745,0.05752614140510559,0.1869770586490631,-0.0031267832964658737,0.36029186844825745
-0.004981562495231628,0.3673962950706482,0.057553987950086594,0.18743905425071716,-0.004981562495231628,0.3673962950706482
-0.002825210802257061,0.3728927671909332,0.05751994997262955,0.18725897371768951,-0.002825210802257061,0.3728927671909332
-0.00412708381190896,0.378299355506897,0.05749832093715668,0.18686793744564056,-0.00412708381190896,0.378299355506897
-0.00046475231647491455,0.3806135952472687,0.05749792233109474,0.1870763897895813,-0.00046475231647491455,0.3806135952472687
-0.005932219326496124,0.3823711574077606,0.057549357414245605,0.18742139637470245,-0.005932219326496124,0.3823711574077606
-0.003512225579470396,0.3884362280368805,0.05756121873855591,0.18695202469825745,-0.003512225579470396,0.3884362280368805
-0.0052994354628026485,0.38547903299331665,0.057580698281526566,0.18755275011062622,-0.0052994354628026485,0.38547903299331665
-0.006778815761208534,0.3867349624633789,0.057578131556510925,0.1866557002067566,-0.006778815761208534,0.3867349624633789
-0.003593945875763893,0.3864976763725281,0.05759653449058533,0.18679940700531006,-0.003593945875763893,0.3864976763725281
-0.005395923741161823,0.38905343413352966,0.05759437754750252,0.18713422119617462,-0.005395923741161823,0.38905343413352966
-0.003486535046249628,0.3863512873649597,0.05763942375779152,0.1876550316810608,-0.003486535046249628,0.3863512873649597
-0.005169212352484465,0.3868388831615448,0.05765948444604874,0.18771854043006897,-0.005169212352484465,0.3868388831615448
-0.002485674573108554,0.38459470868110657,0.05765620619058609,0.18792065978050232,-0.002485674573108554,0.38459470868110657
-0.004158650524914265,0.3862706422805786,0.057665470987558365,0.18756093084812164,-0.004158650524914265,0.3862706422805786
-0.004849952645599842,0.38576218485832214,0.05766099691390991,0.187642902135849,-0.004849952645599842,0.38576218485832214
