drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,null_weight_mean,null_weight_std,update_strength_mean,update_strength_std,update_gate_mean,update_gate_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,prototype_diversity_penalty_mean,prototype_diversity_penalty_std,attractor_activation_mean,attractor_activation_std,attractor_diversity
0.0032675082329660654,0.0256868377327919,1.3633490800857544,0.12052735686302185,-0.23842966556549072,0.02564830146729946,0.16013139486312866,0.04565359279513359,0.8543572425842285,0.038371626287698746,0.0911385715007782,0.004709272179752588,0.316731721162796,0.1849246770143509,0.0033333334140479565,0.0,0.6931209564208984,1.1920928955078125e-07,0.013232010416686535,0.0,0.9340686202049255,1.7694646885502152e-05,0.01474244799464941
0.00047279754653573036,0.0407775416970253,1.3623394966125488,0.12078477442264557,-0.23773403465747833,0.025965571403503418,0.15978333353996277,0.04529890418052673,0.8544460535049438,0.03836426883935928,0.0912165567278862,0.00474295299500227,0.5939337015151978,0.4008614718914032,0.006666666828095913,0.0,0.6930970549583435,0.0,0.013727061450481415,0.0,0.9342250823974609,2.85191217699321e-05,0.014771114103496075
0.0056090038269758224,0.0650816559791565,1.361397385597229,0.12193571031093597,-0.2363915890455246,0.026525672525167465,0.15957190096378326,0.04522645100951195,0.8546158075332642,0.03833945468068123,0.0913323312997818,0.0047738575376570225,1.1913995742797852,0.581306517124176,0.009999999776482582,0.0,0.6927425861358643,0.0,0.013304169289767742,0.0,0.9343958497047424,3.670851219794713e-05,0.01596580259501934
0.006360284518450499,0.07601828128099442,1.3611767292022705,0.12273993343114853,-0.2360963374376297,0.027026716619729996,0.1594640016555786,0.045139797031879425,0.8546563982963562,0.038343966007232666,0.0913531556725502,0.0048052058555185795,1.282270908355713,0.46559464931488037,0.013333333656191826,0.0,0.6924682855606079,0.0,0.013285795226693153,0.0,0.9345116019248962,3.269776425440796e-05,0.021243134513497353
0.009362797252833843,0.07300394773483276,1.3607096672058105,0.12389837205410004,-0.235336035490036,0.027130888774991035,0.15936753153800964,0.04513685777783394,0.8547528982162476,0.03833973780274391,0.09143069386482239,0.004841938614845276,1.2290457487106323,0.5283541083335876,0.01666666753590107,0.0,0.6926751732826233,0.0,0.013035276904702187,0.0,0.9346787929534912,4.485688987188041e-05,0.030866071581840515
0.015138667076826096,0.06891818344593048,1.3598636388778687,0.12524336576461792,-0.2340497225522995,0.027151033282279968,0.15921550989151,0.0451386496424675,0.8549160957336426,0.03832082450389862,0.09157628566026688,0.004875909071415663,1.1577956676483154,0.619789183139801,0.019999999552965164,0.0,0.692878246307373,2.107342389479072e-08,0.012550195679068565,0.0,0.934877336025238,6.60442965454422e-05,0.048404935747385025
0.014693420380353928,0.0680694654583931,1.3600021600723267,0.1256130337715149,-0.23411345481872559,0.027294743806123734,0.15927474200725555,0.045213013887405396,0.8549071550369263,0.03833148255944252,0.09155694395303726,0.004896893166005611,1.1416866779327393,0.6140856742858887,0.023333333432674408,0.0,0.6930188536643982,0.0,0.012270552106201649,0.0,0.934935450553894,8.1916521594394e-05,0.06780434399843216
0.014257765375077724,0.06819432228803635,1.3600585460662842,0.12583141028881073,-0.23412872850894928,0.02733556367456913,0.1592750996351242,0.0452144518494606,0.8549050688743591,0.038336798548698425,0.0915515273809433,0.004908490460366011,1.100701928138733,0.5940674543380737,0.02666666731238365,0.0,0.6931028962135315,0.0,0.01214248314499855,0.0,0.9349693655967712,7.72372804931365e-05,0.08395308256149292
0.015449979342520237,0.06859230250120163,1.3597925901412964,0.1264244168996811,-0.23382703959941864,0.02754244953393936,0.15924832224845886,0.04522906243801117,0.8549419045448303,0.03833845630288124,0.09158474951982498,0.0049293432384729385,1.0714167356491089,0.5366310477256775,0.029999997466802597,1.862645149230957e-09,0.6933565139770508,0.0,0.012144448235630989,0.0,0.9350566864013672,8.72317687026225e-05,0.09895931929349899
0.017346855252981186,0.06926292926073074,1.3593800067901611,0.1271607130765915,-0.2333778589963913,0.027781041339039803,0.15920475125312805,0.045244358479976654,0.8549973964691162,0.03833761438727379,0.09163672477006912,0.004953005816787481,1.0541104078292847,0.4858429431915283,0.03333333507180214,0.0,0.6935535669326782,0.0,0.012123608961701393,0.0,0.9351640343666077,0.00010409400420030579,0.11399048566818237
