step,train_loss,wall_clock_time_sec,eval_clean_accuracy,eval_clean_ece,eval_clean_aurc,eval_clean_resistance_noise_corr,eval_clean_resistance_occlusion_corr,eval_noisy_accuracy,eval_noisy_ece,eval_noisy_aurc,eval_clean_vs_noisy_auroc,eval_noisy_resistance_noise_corr,eval_noisy_resistance_occlusion_corr,eval_occluded_accuracy,eval_occluded_ece,eval_occluded_aurc,eval_clean_vs_occluded_auroc,eval_occluded_resistance_noise_corr,eval_occluded_resistance_occlusion_corr
1,2.302638292312622,0.046236515045166016,,,,,,,,,,,,,,,,,
2,2.3024981021881104,0.08223557472229004,,,,,,,,,,,,,,,,,
3,2.301959753036499,0.11827945709228516,,,,,,,,,,,,,,,,,
4,2.3033440113067627,0.15000343322753906,,,,,,,,,,,,,,,,,
5,2.3032078742980957,0.1800525188446045,,,,,,,,,,,,,,,,,
6,2.3027353286743164,0.21658110618591309,,,,,,,,,,,,,,,,,
7,2.302220582962036,0.25466299057006836,,,,,,,,,,,,,,,,,
8,2.3021514415740967,0.28884243965148926,,,,,,,,,,,,,,,,,
9,2.302349805831909,0.3231785297393799,,,,,,,,,,,,,,,,,
10,2.3019659519195557,0.358936071395874,,,,,,,,,,,,,,,,,
11,2.3021950721740723,0.3946502208709717,,,,,,,,,,,,,,,,,
12,2.3032236099243164,0.4297947883605957,,,,,,,,,,,,,,,,,
13,2.300506830215454,0.46584630012512207,,,,,,,,,,,,,,,,,
14,2.3017642498016357,0.49915337562561035,,,,,,,,,,,,,,,,,
15,2.3015060424804688,0.5315794944763184,,,,,,,,,,,,,,,,,
16,2.2984578609466553,0.5687129497528076,,,,,,,,,,,,,,,,,
17,2.2948384284973145,0.6013989448547363,,,,,,,,,,,,,,,,,
18,2.292429208755493,0.6362402439117432,,,,,,,,,,,,,,,,,
19,2.2878739833831787,0.6758840084075928,,,,,,,,,,,,,,,,,
20,2.2824831008911133,0.7165343761444092,,,,,,,,,,,,,,,,,
21,2.283003330230713,0.7619242668151855,,,,,,,,,,,,,,,,,
22,2.285382032394409,0.7988572120666504,,,,,,,,,,,,,,,,,
23,2.2861034870147705,0.8341808319091797,,,,,,,,,,,,,,,,,
24,2.2637736797332764,0.8686814308166504,,,,,,,,,,,,,,,,,
25,2.210002899169922,0.9017279148101807,0.1826171875,0.05895497649908066,0.5896716117858887,nan,nan,0.189453125,0.06593149900436401,0.600651741027832,0.49673938751220703,nan,nan,0.1875,0.06353792548179626,0.6109050512313843,0.49459075927734375,nan,nan
26,2.230879783630371,1.721804141998291,,,,,,,,,,,,,,,,,
27,2.19648814201355,1.7486612796783447,,,,,,,,,,,,,,,,,
28,2.2764201164245605,1.7763822078704834,,,,,,,,,,,,,,,,,
29,2.2343478202819824,1.8022377490997314,,,,,,,,,,,,,,,,,
30,2.3040504455566406,1.829484224319458,,,,,,,,,,,,,,,,,
31,2.268883466720581,1.8578431606292725,,,,,,,,,,,,,,,,,
32,2.2317566871643066,1.8912386894226074,,,,,,,,,,,,,,,,,
33,2.135326623916626,1.9275071620941162,,,,,,,,,,,,,,,,,
34,2.3291983604431152,1.9586946964263916,,,,,,,,,,,,,,,,,
35,2.326141595840454,1.985508918762207,,,,,,,,,,,,,,,,,
36,2.175259590148926,2.0144872665405273,,,,,,,,,,,,,,,,,
37,2.1981241703033447,2.045309543609619,,,,,,,,,,,,,,,,,
38,2.1683189868927,2.073906660079956,,,,,,,,,,,,,,,,,
39,2.218851327896118,2.1075592041015625,,,,,,,,,,,,,,,,,
40,2.183882713317871,2.138183355331421,,,,,,,,,,,,,,,,,
41,2.1675219535827637,2.1674506664276123,,,,,,,,,,,,,,,,,
42,2.191741466522217,2.1996560096740723,,,,,,,,,,,,,,,,,
43,2.2322680950164795,2.2302358150482178,,,,,,,,,,,,,,,,,
44,2.2105965614318848,2.2626895904541016,,,,,,,,,,,,,,,,,
45,2.15214467048645,2.2897427082061768,,,,,,,,,,,,,,,,,
46,2.1419920921325684,2.322709560394287,,,,,,,,,,,,,,,,,
47,2.1308188438415527,2.4457011222839355,,,,,,,,,,,,,,,,,
48,2.012467622756958,2.4764959812164307,,,,,,,,,,,,,,,,,
49,2.0570883750915527,2.50335431098938,,,,,,,,,,,,,,,,,
50,2.11673641204834,2.537583589553833,0.1806640625,0.0756305605173111,0.6712977886199951,nan,nan,0.1650390625,0.08381275087594986,0.7077099680900574,0.5145692825317383,nan,nan,0.1572265625,0.08757040649652481,0.7038357257843018,0.5185174942016602,nan,nan
51,2.1378185749053955,3.405139446258545,,,,,,,,,,,,,,,,,
52,2.177443742752075,3.438650369644165,,,,,,,,,,,,,,,,,
53,2.1189212799072266,3.468768835067749,,,,,,,,,,,,,,,,,
54,2.0996837615966797,3.500164747238159,,,,,,,,,,,,,,,,,
55,2.1634721755981445,3.5338830947875977,,,,,,,,,,,,,,,,,
56,2.1249608993530273,3.5627622604370117,,,,,,,,,,,,,,,,,
57,2.140990734100342,3.598426103591919,,,,,,,,,,,,,,,,,
58,2.1338815689086914,3.6335275173187256,,,,,,,,,,,,,,,,,
59,2.072951555252075,3.668498992919922,,,,,,,,,,,,,,,,,
60,2.090369701385498,3.7033135890960693,,,,,,,,,,,,,,,,,
61,2.210282564163208,3.739614725112915,,,,,,,,,,,,,,,,,
62,2.2166216373443604,3.7760791778564453,,,,,,,,,,,,,,,,,
63,2.1266984939575195,3.8147759437561035,,,,,,,,,,,,,,,,,
64,2.0907838344573975,3.854992389678955,,,,,,,,,,,,,,,,,
