step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.300177812576294,0.125,2.300177812576294,0.010318007320165634,0.001,0.02108001708984375,,,,,,,,,,,,,,,,,
2,2.2792272567749023,0.234375,2.2792272567749023,0.010235697031021118,0.001,0.04368853569030762,,,,,,,,,,,,,,,,,
3,2.2574057579040527,0.3125,2.2574057579040527,0.01024964265525341,0.001,0.06431388854980469,,,,,,,,,,,,,,,,,
4,2.263787031173706,0.203125,2.263787031173706,0.010172847658395767,0.001,0.08351397514343262,,,,,,,,,,,,,,,,,
5,2.26607608795166,0.15625,2.26607608795166,0.010152645409107208,0.001,0.10312294960021973,,,,,,,,,,,,,,,,,
6,2.2570502758026123,0.1875,2.2570502758026123,0.010171277448534966,0.001,0.1255631446838379,,,,,,,,,,,,,,,,,
7,2.2428226470947266,0.28125,2.2428226470947266,0.010243063792586327,0.001,0.14907050132751465,,,,,,,,,,,,,,,,,
8,2.2361042499542236,0.1875,2.2361042499542236,0.010315965861082077,0.001,0.1695256233215332,,,,,,,,,,,,,,,,,
9,2.248211622238159,0.1875,2.248211622238159,0.010437880642712116,0.001,0.18839597702026367,,,,,,,,,,,,,,,,,
10,2.224848985671997,0.296875,2.224848985671997,0.010569638572633266,0.001,0.21045875549316406,,,,,,,,,,,,,,,,,
11,2.2309563159942627,0.25,2.2309563159942627,0.010723640210926533,0.001,0.23204970359802246,,,,,,,,,,,,,,,,,
12,2.200418710708618,0.34375,2.200418710708618,0.010936240665614605,0.001,0.2520272731781006,,,,,,,,,,,,,,,,,
13,2.212207078933716,0.171875,2.212207078933716,0.011233626864850521,0.001,0.27199244499206543,,,,,,,,,,,,,,,,,
14,2.1989495754241943,0.3125,2.1989495754241943,0.01159003097563982,0.001,0.29400205612182617,,,,,,,,,,,,,,,,,
15,2.2226102352142334,0.234375,2.2226102352142334,0.012027086690068245,0.001,0.3161337375640869,,,,,,,,,,,,,,,,,
16,2.1879332065582275,0.296875,2.1879332065582275,0.01253962516784668,0.001,0.337646484375,,,,,,,,,,,,,,,,,
17,2.2041006088256836,0.296875,2.2041006088256836,0.013092384673655033,0.001,0.361802339553833,,,,,,,,,,,,,,,,,
18,2.1579034328460693,0.296875,2.1579034328460693,0.013718992471694946,0.001,0.3890235424041748,,,,,,,,,,,,,,,,,
19,2.1884970664978027,0.265625,2.1884970664978027,0.014440296217799187,0.001,0.4107019901275635,,,,,,,,,,,,,,,,,
