step,train_loss,val_score,best_val_score,warmup_eta
1,0.9137738347053528,-0.9485510587692261,-0.9485510587692261,0.01
50,0.656231164932251,-0.6518542766571045,-0.6518542766571045,0.5
100,0.45650652050971985,-0.4159145951271057,-0.4159145951271057,1.0
150,0.24465036392211914,-0.22760365903377533,-0.22760365903377533,1.0
200,0.19036762416362762,-0.1692369282245636,-0.1692369282245636,1.0
250,0.14671935141086578,-0.15129834413528442,-0.15129834413528442,1.0
300,0.14182470738887787,-0.1333993524312973,-0.1333993524312973,1.0
350,0.14053025841712952,-0.11651196330785751,-0.11651196330785751,1.0
400,0.07656344771385193,-0.10328296571969986,-0.10328296571969986,1.0
450,0.0934426560997963,-0.094093456864357,-0.094093456864357,1.0
500,0.0753343254327774,-0.08653677254915237,-0.08653677254915237,1.0
550,0.09063347429037094,-0.07806898653507233,-0.07806898653507233,1.0
600,0.06690695881843567,-0.07284582406282425,-0.07284582406282425,1.0
650,0.05073101818561554,-0.06828375160694122,-0.06828375160694122,1.0
700,0.051391810178756714,-0.06524848192930222,-0.06524848192930222,1.0
750,0.04685424268245697,-0.05791660398244858,-0.05791660398244858,1.0
800,0.04040005803108215,-0.05832158774137497,-0.05791660398244858,1.0
850,0.045020028948783875,-0.051626671105623245,-0.051626671105623245,1.0
900,0.029920700937509537,-0.04684250056743622,-0.04684250056743622,1.0
950,0.03258982300758362,-0.042850226163864136,-0.042850226163864136,1.0
1000,0.03517121076583862,-0.039618901908397675,-0.039618901908397675,1.0
1050,0.03473649173974991,-0.041876018047332764,-0.039618901908397675,1.0
1100,0.03268370032310486,-0.03482918068766594,-0.03482918068766594,1.0
1150,0.0326400026679039,-0.03355943411588669,-0.03355943411588669,1.0
1200,0.02838253788650036,-0.03275320306420326,-0.03355943411588669,1.0
1250,0.027894431725144386,-0.029408687725663185,-0.029408687725663185,1.0
1300,0.0247857253998518,-0.029693031683564186,-0.029408687725663185,1.0
1350,0.024371754378080368,-0.028088770806789398,-0.028088770806789398,1.0
1400,0.02587195113301277,-0.02620142325758934,-0.02620142325758934,1.0
1450,0.023053210228681564,-0.026442453265190125,-0.02620142325758934,1.0
1500,0.020984675735235214,-0.023307979106903076,-0.023307979106903076,1.0
1550,0.016589198261499405,-0.02225073054432869,-0.02225073054432869,1.0
1600,0.020242804661393166,-0.021589912474155426,-0.02225073054432869,1.0
1650,0.01716724783182144,-0.020153626799583435,-0.020153626799583435,1.0
1700,0.01567446067929268,-0.018772363662719727,-0.018772363662719727,1.0
1750,0.01342126913368702,-0.017038602381944656,-0.017038602381944656,1.0
1800,0.012283358722925186,-0.014957346022129059,-0.014957346022129059,1.0
1850,0.011354554444551468,-0.013733813539147377,-0.013733813539147377,1.0
1900,0.0115232914686203,-0.01222769170999527,-0.01222769170999527,1.0
1950,0.011129897087812424,-0.012568637728691101,-0.01222769170999527,1.0
2000,0.008118994534015656,-0.011003363877534866,-0.011003363877534866,1.0
2050,0.006945927627384663,-0.01004856638610363,-0.011003363877534866,1.0
2100,0.0066556669771671295,-0.01056893914937973,-0.011003363877534866,1.0
2150,0.00666320975869894,-0.009657521732151508,-0.009657521732151508,1.0
2200,0.007006303872913122,-0.008771434426307678,-0.009657521732151508,1.0
2250,0.00636490760371089,-0.008046391420066357,-0.008046391420066357,1.0
2300,0.007299783173948526,-0.007459925953298807,-0.008046391420066357,1.0
2350,0.005408702418208122,-0.00845097005367279,-0.008046391420066357,1.0
2400,0.004392909351736307,-0.006798474118113518,-0.006798474118113518,1.0
2450,0.005712173879146576,-0.0064795189537107944,-0.006798474118113518,1.0
2500,0.005516369361430407,-0.006404915824532509,-0.006798474118113518,1.0
2550,0.005314253736287355,-0.006473240442574024,-0.006798474118113518,1.0
2600,0.003673139028251171,-0.005603079684078693,-0.005603079684078693,1.0
2650,0.004316478502005339,-0.0062780678272247314,-0.005603079684078693,1.0
2700,0.004999661818146706,-0.006033522076904774,-0.005603079684078693,1.0
2750,0.004731896333396435,-0.0053994799964129925,-0.005603079684078693,1.0
2800,0.004621664993464947,-0.005602216348052025,-0.005603079684078693,1.0
2850,0.0037024819757789373,-0.005107035860419273,-0.005603079684078693,1.0
2900,0.003894779598340392,-0.005025211721658707,-0.005603079684078693,1.0
2950,0.004174455534666777,-0.0049614207819104195,-0.005603079684078693,1.0
3000,0.003591878805309534,-0.004733240231871605,-0.005603079684078693,1.0
3050,0.0033089863136410713,-0.005218913778662682,-0.005603079684078693,1.0
3100,0.004269641824066639,-0.004498498514294624,-0.004498498514294624,1.0
3150,0.003277074545621872,-0.004398893099278212,-0.004498498514294624,1.0
3200,0.0034952349960803986,-0.004445480648428202,-0.004498498514294624,1.0
3250,0.0038593660574406385,-0.0046872361563146114,-0.004498498514294624,1.0
3300,0.0028690288309007883,-0.0038683300372213125,-0.004498498514294624,1.0
3350,0.0023870510049164295,-0.0037661558017134666,-0.004498498514294624,1.0
3400,0.0027748418506234884,-0.0036639992613345385,-0.004498498514294624,1.0
3450,0.0031526396051049232,-0.004213887266814709,-0.004498498514294624,1.0
3500,0.003026931546628475,-0.004093757830560207,-0.004498498514294624,1.0
3550,0.0035990229807794094,-0.0036858872044831514,-0.004498498514294624,1.0
3600,0.003221378894522786,-0.004286143928766251,-0.004498498514294624,1.0
3650,0.0027471650391817093,-0.003958720713853836,-0.004498498514294624,1.0
3700,0.0023984736762940884,-0.0032465567346662283,-0.0032465567346662283,1.0
3750,0.0028602825477719307,-0.003203091211616993,-0.0032465567346662283,1.0
3800,0.0021920185536146164,-0.003001396544277668,-0.0032465567346662283,1.0
3850,0.0025645610876381397,-0.00301783112809062,-0.0032465567346662283,1.0
3900,0.0021312925964593887,-0.0029777793679386377,-0.0032465567346662283,1.0
3950,0.002428884617984295,-0.0033198189921677113,-0.0032465567346662283,1.0
4000,0.0025293617509305477,-0.0033049387857317924,-0.0032465567346662283,1.0
4050,0.0024331393651664257,-0.002920652274042368,-0.0032465567346662283,1.0
4100,0.00235185120254755,-0.00315780914388597,-0.0032465567346662283,1.0
4150,0.0017040546517819166,-0.00273316353559494,-0.0032465567346662283,1.0
4200,0.0021030085626989603,-0.0028914751019328833,-0.0032465567346662283,1.0
4250,0.002118308562785387,-0.0027917884290218353,-0.0032465567346662283,1.0
4300,0.002200216520577669,-0.0035029244609177113,-0.0032465567346662283,1.0
