step,train_loss,wall_clock_time_sec,eval_clean_accuracy,eval_clean_ece,eval_clean_aurc,eval_clean_resistance_noise_corr,eval_clean_resistance_occlusion_corr,eval_noisy_accuracy,eval_noisy_ece,eval_noisy_aurc,eval_clean_vs_noisy_auroc,eval_noisy_resistance_noise_corr,eval_noisy_resistance_occlusion_corr,eval_occluded_accuracy,eval_occluded_ece,eval_occluded_aurc,eval_clean_vs_occluded_auroc,eval_occluded_resistance_noise_corr,eval_occluded_resistance_occlusion_corr
1,2.4953107833862305,0.031082868576049805,,,,,,,,,,,,,,,,,
2,2.5267035961151123,0.05613541603088379,,,,,,,,,,,,,,,,,
3,2.191225528717041,0.084197998046875,,,,,,,,,,,,,,,,,
4,2.336487054824829,0.11269068717956543,,,,,,,,,,,,,,,,,
5,2.1769256591796875,0.1487133502960205,,,,,,,,,,,,,,,,,
6,2.1924848556518555,0.17430377006530762,,,,,,,,,,,,,,,,,
7,2.1981632709503174,0.1982102394104004,,,,,,,,,,,,,,,,,
8,2.1424224376678467,0.2305591106414795,,,,,,,,,,,,,,,,,
9,2.173551321029663,0.26103663444519043,,,,,,,,,,,,,,,,,
10,2.191884756088257,0.28661060333251953,,,,,,,,,,,,,,,,,
11,2.099670648574829,0.32027530670166016,,,,,,,,,,,,,,,,,
12,2.1850688457489014,0.34084606170654297,,,,,,,,,,,,,,,,,
13,2.0744271278381348,0.3767564296722412,,,,,,,,,,,,,,,,,
14,2.077631950378418,0.40650033950805664,,,,,,,,,,,,,,,,,
15,2.1343624591827393,0.4472522735595703,,,,,,,,,,,,,,,,,
16,2.0937259197235107,0.46857738494873047,,,,,,,,,,,,,,,,,
17,2.0124313831329346,0.49021339416503906,,,,,,,,,,,,,,,,,
18,2.080040693283081,0.5121991634368896,,,,,,,,,,,,,,,,,
19,2.006075859069824,0.5315818786621094,,,,,,,,,,,,,,,,,
20,1.917356252670288,0.5516064167022705,,,,,,,,,,,,,,,,,
21,2.065908908843994,0.5722522735595703,,,,,,,,,,,,,,,,,
22,2.024674654006958,0.5912132263183594,,,,,,,,,,,,,,,,,
23,2.1152913570404053,0.6122734546661377,,,,,,,,,,,,,,,,,
24,2.0443437099456787,0.6340234279632568,,,,,,,,,,,,,,,,,
25,2.048752784729004,0.6590335369110107,0.123046875,0.10062742233276367,0.8045659065246582,nan,nan,0.1474609375,0.0680108293890953,0.7896659970283508,0.5806751251220703,nan,nan,0.1572265625,0.06305338442325592,0.7392941117286682,0.5452480316162109,nan,nan
26,2.294546604156494,1.703512191772461,,,,,,,,,,,,,,,,,
27,2.136451244354248,1.7254753112792969,,,,,,,,,,,,,,,,,
28,2.225553512573242,1.7477147579193115,,,,,,,,,,,,,,,,,
29,2.1288082599639893,1.771535873413086,,,,,,,,,,,,,,,,,
30,1.9627199172973633,1.7948133945465088,,,,,,,,,,,,,,,,,
31,2.133080005645752,1.8183870315551758,,,,,,,,,,,,,,,,,
32,2.043184280395508,1.840937614440918,,,,,,,,,,,,,,,,,
33,2.0279831886291504,1.8644042015075684,,,,,,,,,,,,,,,,,
34,1.9138667583465576,1.8900651931762695,,,,,,,,,,,,,,,,,
35,1.9618875980377197,1.918959379196167,,,,,,,,,,,,,,,,,
36,2.2337403297424316,1.945410966873169,,,,,,,,,,,,,,,,,
37,2.01054048538208,1.977160930633545,,,,,,,,,,,,,,,,,
38,1.8916749954223633,2.006328821182251,,,,,,,,,,,,,,,,,
39,2.2530715465545654,2.035921573638916,,,,,,,,,,,,,,,,,
40,2.1332242488861084,2.0712058544158936,,,,,,,,,,,,,,,,,
41,1.973576545715332,2.097123384475708,,,,,,,,,,,,,,,,,
42,2.0323517322540283,2.1245689392089844,,,,,,,,,,,,,,,,,
43,1.926214575767517,2.150601387023926,,,,,,,,,,,,,,,,,
44,1.9340828657150269,2.1740915775299072,,,,,,,,,,,,,,,,,
45,1.9659416675567627,2.2026419639587402,,,,,,,,,,,,,,,,,
46,1.9254000186920166,2.229368209838867,,,,,,,,,,,,,,,,,
47,2.0703787803649902,2.2577078342437744,,,,,,,,,,,,,,,,,
48,1.9610588550567627,2.2852087020874023,,,,,,,,,,,,,,,,,
49,1.9139463901519775,2.3130526542663574,,,,,,,,,,,,,,,,,
50,2.036283254623413,2.33986496925354,0.2578125,0.02656412124633789,0.6609402894973755,nan,nan,0.259765625,0.016207866370677948,0.6723238229751587,0.5170698165893555,nan,nan,0.2626953125,0.01901053637266159,0.6608073115348816,0.5422163009643555,nan,nan
51,1.8283038139343262,3.265726327896118,,,,,,,,,,,,,,,,,
52,1.937096118927002,3.291116714477539,,,,,,,,,,,,,,,,,
53,1.9655230045318604,3.3149588108062744,,,,,,,,,,,,,,,,,
54,1.9171998500823975,3.3420848846435547,,,,,,,,,,,,,,,,,
55,1.7973339557647705,3.3682897090911865,,,,,,,,,,,,,,,,,
56,1.972550392150879,3.3939802646636963,,,,,,,,,,,,,,,,,
57,1.8641260862350464,3.416041851043701,,,,,,,,,,,,,,,,,
58,2.0537445545196533,3.437929630279541,,,,,,,,,,,,,,,,,
59,1.801480770111084,3.456570863723755,,,,,,,,,,,,,,,,,
60,1.820952296257019,3.4819672107696533,,,,,,,,,,,,,,,,,
61,2.113682508468628,3.5081095695495605,,,,,,,,,,,,,,,,,
62,2.1054935455322266,3.5338306427001953,,,,,,,,,,,,,,,,,
63,2.0701632499694824,3.559636354446411,,,,,,,,,,,,,,,,,
64,1.913604736328125,3.5879549980163574,,,,,,,,,,,,,,,,,
65,1.8819659948349,3.6124937534332275,,,,,,,,,,,,,,,,,
66,2.016003370285034,3.6350746154785156,,,,,,,,,,,,,,,,,
67,2.00028657913208,3.662276029586792,,,,,,,,,,,,,,,,,
68,2.028650999069214,3.686448097229004,,,,,,,,,,,,,,,,,
69,1.910448431968689,3.711885929107666,,,,,,,,,,,,,,,,,
70,1.994539499282837,3.73630952835083,,,,,,,,,,,,,,,,,
71,1.8713947534561157,3.76434063911438,,,,,,,,,,,,,,,,,
72,1.7989221811294556,3.7892768383026123,,,,,,,,,,,,,,,,,
