drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,null_weight_mean,null_weight_std,update_strength_mean,update_strength_std,update_gate_mean,update_gate_std,attractor_activation_mean,attractor_activation_std,attractor_diversity
-0.012694264762103558,0.26476815342903137,1.6124597787857056,0.19753386080265045,-0.09835948795080185,0.09615054726600647,0.3339492678642273,0.34563469886779785,0.6787278652191162,0.354453980922699,0.0702633336186409,0.03673280030488968,0.8229166865348816,0.38173919916152954,0.9836256504058838
-0.019546037539839745,0.31829261779785156,1.6167051792144775,0.2177964299917221,-0.08873797208070755,0.10087796300649643,0.5402247905731201,0.416275292634964,0.4698486924171448,0.4267638325691223,0.04831210896372795,0.04417426139116287,0.6041666865348816,0.4890289306640625,0.9847584962844849
-0.02518565207719803,0.36832910776138306,1.618251919746399,0.23699282109737396,-0.08814526349306107,0.10152801126241684,0.5477816462516785,0.4169486463069916,0.46180588006973267,0.427316278219223,0.04755647853016853,0.04428742825984955,0.59375,0.49113228917121887,0.9815775156021118
-0.030008500441908836,0.37929338216781616,1.6186658143997192,0.2412489354610443,-0.08600659668445587,0.10210178047418594,0.5870749950408936,0.4167385697364807,0.4224603474140167,0.4278119206428528,0.043315622955560684,0.044303249567747116,0.5625,0.49607837200164795,0.9751976132392883
-0.03547878935933113,0.3824295699596405,1.6179733276367188,0.2397402822971344,-0.0932350754737854,0.10005009919404984,0.44619235396385193,0.3996928036212921,0.5643052458763123,0.4092520475387573,0.05844924971461296,0.042519405484199524,0.6979166865348816,0.4591611921787262,0.9821980595588684
-0.05336698144674301,0.39559853076934814,1.623809576034546,0.2450316846370697,-0.08989891409873962,0.10258759558200836,0.541283905506134,0.4163376986980438,0.4689188003540039,0.4269053041934967,0.04823116585612297,0.04421580955386162,0.6041666865348816,0.4890289306640625,0.9792292714118958
-0.06493257731199265,0.4033845365047455,1.6259440183639526,0.24721279740333557,-0.08731584250926971,0.10450319200754166,0.6070716381072998,0.415344774723053,0.4018135666847229,0.42615455389022827,0.041123609989881516,0.04396698251366615,0.53125,0.4990224838256836,0.9831462502479553
-0.07670534402132034,0.4145730137825012,1.6275901794433594,0.248922660946846,-0.09040403366088867,0.10482995957136154,0.5651843547821045,0.4165304899215698,0.4456050992012024,0.42797043919563293,0.04546137526631355,0.0441405326128006,0.59375,0.49113228917121887,0.9843555688858032
-0.08606357872486115,0.41988876461982727,1.6284232139587402,0.25031328201293945,-0.08735950291156769,0.10680591315031052,0.6341177821159363,0.4112893342971802,0.37536653876304626,0.4229753613471985,0.038137804716825485,0.043426744639873505,0.5104166865348816,0.4998914897441864,0.9852117896080017
-0.0892205536365509,0.43430203199386597,1.6226240396499634,0.24708987772464752,-0.09873043745756149,0.10476669669151306,0.43221360445022583,0.3943477272987366,0.5790107846260071,0.404018759727478,0.059517908841371536,0.041689131408929825,0.71875,0.4496092200279236,0.9858762621879578
-0.10068642348051071,0.4416695535182953,1.6247615814208984,0.25201764702796936,-0.09062511473894119,0.10861042886972427,0.5962578058242798,0.4159351587295532,0.4125647246837616,0.4266173541545868,0.042014557868242264,0.04376128315925598,0.5416666865348816,0.49826085567474365,0.9862126111984253
-0.10980996489524841,0.45527616143226624,1.622443437576294,0.25359949469566345,-0.09134411066770554,0.110050268471241,0.5994295477867126,0.4156971573829651,0.40929946303367615,0.4261821210384369,0.04168703034520149,0.043647442013025284,0.53125,0.4990224838256836,0.9863910675048828
-0.11577782779932022,0.471329927444458,1.6166884899139404,0.2517872452735901,-0.09775754809379578,0.11008641123771667,0.49130940437316895,0.4089354872703552,0.5201083421707153,0.41983604431152344,0.05278846621513367,0.04304727911949158,0.6770833134651184,0.46759116649627686,0.984862208366394
-0.12620307505130768,0.4908558130264282,1.6121820211410522,0.251419335603714,-0.10280070453882217,0.11076772212982178,0.4179063141345978,0.38830244541168213,0.5939196944236755,0.3983386158943176,0.060440316796302795,0.04084628075361252,0.75,0.4330126941204071,0.9845895767211914
-0.14107738435268402,0.4980261027812958,1.6135388612747192,0.26002582907676697,-0.09250237792730331,0.11462453752756119,0.6223520636558533,0.41270023584365845,0.38698169589042664,0.4241088926792145,0.03900519013404846,0.04314691200852394,0.5208333134651184,0.4995657801628113,0.9865109324455261
-0.1523214727640152,0.5097714066505432,1.6096041202545166,0.2632578909397125,-0.09037823975086212,0.116204172372818,0.672508955001831,0.40285882353782654,0.3362237513065338,0.41469621658325195,0.03367382660508156,0.04200474172830582,0.46875,0.4990224838256836,0.9854680299758911
-0.16035374999046326,0.5387090444564819,1.597096562385559,0.25687268376350403,-0.10171634703874588,0.11688043177127838,0.47789305448532104,0.40578165650367737,0.5336909294128418,0.41641655564308167,0.05388859286904335,0.042407430708408356,0.6875,0.4635123908519745,0.9840179681777954
-0.17029345035552979,0.5536363124847412,1.5936222076416016,0.26216596364974976,-0.09910278022289276,0.11876987665891647,0.5341778993606567,0.4147232472896576,0.4757463037967682,0.42529821395874023,0.048033926635980606,0.04323209077119827,0.6145833134651184,0.4866935908794403,0.9831857681274414
-0.18631337583065033,0.5706380009651184,1.5873290300369263,0.26711833477020264,-0.09580153226852417,0.12144462019205093,0.6086715459823608,0.41378533840179443,0.4008027911186218,0.42528775334358215,0.0400615818798542,0.04293743893504143,0.5416666865348816,0.49826085567474365,0.9836159944534302
-0.19109372794628143,0.597898006439209,1.5774362087249756,0.2680248022079468,-0.09964171051979065,0.12276368588209152,0.5360238552093506,0.4143214225769043,0.4747217297554016,0.42544296383857727,0.047678228467702866,0.04314097389578819,0.625,0.4841229319572449,0.9857771396636963
-0.2056920826435089,0.6142476201057434,1.570528268814087,0.27120330929756165,-0.09892035275697708,0.12492050975561142,0.5643237233161926,0.41540685296058655,0.4462103545665741,0.42678096890449524,0.04465388134121895,0.043134428560733795,0.59375,0.49113228917121887,0.9836009740829468
-0.21264761686325073,0.6331067085266113,1.5615342855453491,0.27242812514305115,-0.10019563883543015,0.12715743482112885,0.5440017580986023,0.4149504005908966,0.4661361575126648,0.4256323277950287,0.046769630163908005,0.04299303516745567,0.6041666865348816,0.4890289306640625,0.9855086803436279
-0.22657965123653412,0.636650025844574,1.5554255247116089,0.27925562858581543,-0.09533551335334778,0.128701850771904,0.6487612128257751,0.40786653757095337,0.359785795211792,0.4191986620426178,0.03579998016357422,0.04208835959434509,0.4895833432674408,0.4998914897441864,0.9817873239517212
-0.23880691826343536,0.6617996692657471,1.5448940992355347,0.2767922580242157,-0.1001674234867096,0.13188466429710388,0.5702772736549377,0.415199339389801,0.4395616352558136,0.42635729908943176,0.04369519278407097,0.042757224291563034,0.5833333134651184,0.4930066466331482,0.9847158193588257
-0.24607983231544495,0.6902273297309875,1.5347681045532227,0.27243342995643616,-0.10615838319063187,0.13556411862373352,0.46083909273147583,0.4007665812969208,0.550457775592804,0.41091611981391907,0.05490511283278465,0.04121199622750282,0.6979166865348816,0.4591611921787262,0.9862841367721558
-0.25208690762519836,0.6912294626235962,1.528986930847168,0.273529976606369,-0.10545361042022705,0.1376969814300537,0.48245760798454285,0.4060240387916565,0.5278509855270386,0.4161068797111511,0.05253247544169426,0.04157496988773346,0.6666666865348816,0.4714045226573944,0.9867761135101318
-0.2703898847103119,0.6888425350189209,1.5229772329330444,0.28328433632850647,-0.10059691965579987,0.13894689083099365,0.6019992232322693,0.4133695363998413,0.40774816274642944,0.4249558448791504,0.04007614776492119,0.042186811566352844,0.5520833134651184,0.49727994203567505,0.9849914312362671
-0.29241469502449036,0.7210806012153625,1.512036919593811,0.28426676988601685,-0.10458603501319885,0.14396198093891144,0.5456849336624146,0.4135201573371887,0.4648761749267578,0.42472290992736816,0.04556460678577423,0.04199540987610817,0.6145833134651184,0.4866935908794403,0.9849269986152649
-0.3081580102443695,0.7347497940063477,1.5026353597640991,0.29135042428970337,-0.10346027463674545,0.14674745500087738,0.5843837857246399,0.41407519578933716,0.4251424968242645,0.42511069774627686,0.04157232865691185,0.04186679422855377,0.5625,0.49607837200164795,0.9842081665992737
-0.3151645362377167,0.7291432619094849,1.4916584491729736,0.29826655983924866,-0.10100430250167847,0.1471472829580307,0.645034909248352,0.4075624942779541,0.36344096064567566,0.41871923208236694,0.03542191535234451,0.04109489917755127,0.4895833432674408,0.4998914897441864,0.9847402572631836
-0.321927011013031,0.7534398436546326,1.479466438293457,0.29874762892723083,-0.10352791100740433,0.15058735013008118,0.5880418419837952,0.4140380620956421,0.42076951265335083,0.4246801733970642,0.041056033223867416,0.041679203510284424,0.5520833134651184,0.49727994203567505,0.9845350384712219
-0.32366281747817993,0.8023083806037903,1.4671071767807007,0.2914656698703766,-0.10991690307855606,0.15746912360191345,0.42160364985466003,0.38638466596603394,0.590039849281311,0.3962736129760742,0.0577637143433094,0.038944803178310394,0.7395833134651184,0.4388619661331177,0.9841882586479187
-0.3564893901348114,0.8114446401596069,1.454357385635376,0.3115273714065552,-0.10534469038248062,0.15970653295516968,0.5534886717796326,0.4131481647491455,0.4567239582538605,0.4242613613605499,0.04407238960266113,0.04125846177339554,0.6041666865348816,0.4890289306640625,0.9837473630905151
-0.3485810458660126,0.7942205667495728,1.4465100765228271,0.3189273476600647,-0.10231497138738632,0.1577036827802658,0.6140406727790833,0.41133302450180054,0.3955782651901245,0.42312300205230713,0.03807700052857399,0.041151538491249084,0.5416666865348816,0.49826085567474365,0.985339879989624
-0.3420763313770294,0.8227911591529846,1.4406566619873047,0.31659406423568726,-0.10482188314199448,0.162583589553833,0.5218777060508728,0.4104761779308319,0.4891341030597687,0.4217180907726288,0.047324638813734055,0.04119258001446724,0.6458333134651184,0.47826001048088074,0.982783854007721
-0.37906917929649353,0.8636612892150879,1.4252809286117554,0.3336479365825653,-0.10372080653905869,0.16762344539165497,0.5610191822052002,0.4130869209766388,0.4493078291416168,0.424271821975708,0.04316761717200279,0.041065558791160583,0.59375,0.49113228917121887,0.9849011898040771
-0.36565664410591125,0.877472996711731,1.4183275699615479,0.33253592252731323,-0.103828564286232,0.17035482823848724,0.5106281042098999,0.4084847569465637,0.5010031461715698,0.41990864276885986,0.04816600680351257,0.04082779958844185,0.6666666865348816,0.4714045226573944,0.9833154678344727
-0.37157315015792847,0.9192761778831482,1.403751015663147,0.33736878633499146,-0.10314160585403442,0.17632392048835754,0.47337448596954346,0.4023635685443878,0.5369687080383301,0.4123837351799011,0.052168507128953934,0.04020646587014198,0.6770833134651184,0.46759116649627686,0.9812694191932678
-0.36731231212615967,0.9154180884361267,1.3943814039230347,0.3430483937263489,-0.10125582665205002,0.17656956613063812,0.500207781791687,0.40726885199546814,0.5110464096069336,0.41819679737091064,0.04940664768218994,0.040781669318675995,0.6666666865348816,0.4714045226573944,0.9833717942237854
-0.3782714009284973,0.9279340505599976,1.3858833312988281,0.35372838377952576,-0.09969443082809448,0.17902155220508575,0.5322163105010986,0.41213566064834595,0.47720587253570557,0.42220184206962585,0.046230822801589966,0.041011519730091095,0.6041666865348816,0.4890289306640625,0.983704149723053
-0.39171361923217773,0.9527668356895447,1.375373125076294,0.36484330892562866,-0.09802152216434479,0.18342076241970062,0.548852264881134,0.4121731221675873,0.46261125802993774,0.42397522926330566,0.04422404244542122,0.04100435599684715,0.625,0.4841229319572449,0.9802657961845398
-0.39811715483665466,0.9629473090171814,1.3695411682128906,0.3729599714279175,-0.09707091748714447,0.1854165643453598,0.5591532588005066,0.41290125250816345,0.45134758949279785,0.42435553669929504,0.04317355528473854,0.041006676852703094,0.6041666865348816,0.4890289306640625,0.9837773442268372
-0.39217817783355713,0.9684025645256042,1.3680177927017212,0.3726576566696167,-0.09699546545743942,0.19015493988990784,0.5298329591751099,0.41143491864204407,0.4800318479537964,0.42181915044784546,0.04611066356301308,0.04069424420595169,0.6145833134651184,0.4866935908794403,0.9857765436172485
-0.39055135846138,1.0004914999008179,1.3610581159591675,0.3788391947746277,-0.0947449803352356,0.19543875753879547,0.5138437747955322,0.40922534465789795,0.49753183126449585,0.4200783967971802,0.047823429107666016,0.040701355785131454,0.6458333134651184,0.47826001048088074,0.9808614253997803
-0.36776599287986755,1.0111700296401978,1.3625952005386353,0.37384745478630066,-0.0937182828783989,0.2006801962852478,0.4515942335128784,0.395872563123703,0.560267984867096,0.4062935411930084,0.054050326347351074,0.03954998776316643,0.71875,0.4496092200279236,0.9796179533004761
-0.3735013008117676,0.9886201024055481,1.3606886863708496,0.3878866732120514,-0.09215749800205231,0.19593361020088196,0.5506991147994995,0.4129197895526886,0.4593318700790405,0.4239344596862793,0.04405094310641289,0.04100853577256203,0.6041666865348816,0.4890289306640625,0.9838175177574158
-0.34834444522857666,0.9652787446975708,1.3573920726776123,0.38773220777511597,-0.0905163362622261,0.19203892350196838,0.5754021406173706,0.4130041301250458,0.43562424182891846,0.4250594973564148,0.041731368750333786,0.04126480594277382,0.59375,0.49113228917121887,0.9827218651771545
