step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.6227504014968872,0.140625,0.140625,1.0,0.001,293.66644287109375,0.53363037109375,0.561985969543457,119.9332037058218,96.1640625
2,1.6228340864181519,0.21875,0.21875,1.0,0.001,3.3284049034118652,0.009497404098510742,0.6035351753234863,6738.683469310908,96.1640625
3,1.6327563524246216,0.1875,0.1875,1.0,0.001,2.7941417694091797,0.00910186767578125,0.6399297714233398,7031.523889354568,96.1640625
4,1.6300040483474731,0.1875,0.1875,1.0,0.001,2.8931078910827637,0.00884866714477539,0.6785702705383301,7232.727703831439,96.1640625
5,1.6263675689697266,0.125,0.125,1.0,0.001,3.0125527381896973,0.008805274963378906,0.7161204814910889,7268.370410484133,96.1640625
6,1.6058028936386108,0.21875,0.21875,1.0,0.001,1.2411900758743286,0.01447296142578125,0.7602360248565674,4422.039008961518,96.1640625
7,1.6176947355270386,0.21875,0.21875,1.0,0.001,2.917410373687744,0.014680147171020508,0.8075451850891113,4359.629318045247,96.1640625
8,1.6154736280441284,0.171875,0.171875,1.0,0.001,1.20351243019104,0.018183469772338867,0.8623006343841553,3519.6802811176526,96.1640625
9,1.5996873378753662,0.265625,0.265625,1.0,0.001,1.8121391534805298,0.009189367294311523,0.9045498371124268,6964.570894844719,96.1640625
10,1.608066201210022,0.125,0.125,1.0,0.001,3.396857738494873,0.015514612197875977,0.9482476711273193,4125.143392805004,96.1640625
11,1.6123156547546387,0.234375,0.234375,1.0,0.001,2.3247451782226562,0.014811277389526367,0.9967246055603027,4321.031759573749,96.1640625
12,1.60685396194458,0.21875,0.21875,1.0,0.001,0.7418235540390015,0.015777587890625,1.0474045276641846,4056.386847195358,96.1640625
13,1.6144254207611084,0.15625,0.15625,1.0,0.001,1.9370322227478027,0.009595632553100586,1.0901548862457275,6669.700996347554,96.1640625
14,1.6168920993804932,0.1875,0.1875,1.0,0.001,1.2733078002929688,0.012015342712402344,1.1333935260772705,5326.523057385507,96.1640625
15,1.6225215196609497,0.109375,0.109375,1.0,0.001,2.434319019317627,0.009658098220825195,1.1754264831542969,6626.563380977067,96.1640625
16,1.6095316410064697,0.234375,0.234375,1.0,0.001,0.9641435146331787,0.01572442054748535,1.2197551727294922,4070.1022849605024,96.1640625
17,1.6168532371520996,0.203125,0.203125,1.0,0.001,1.5267982482910156,0.018368959426879883,1.2745234966278076,3484.138568369135,96.1640625
18,1.6060495376586914,0.21875,0.21875,1.0,0.001,1.1158782243728638,0.017862558364868164,1.3267555236816406,3582.913415464289,96.1640625
19,1.6012308597564697,0.265625,0.265625,1.0,0.001,0.6356000304222107,0.008819580078125,1.368969202041626,7256.581314878893,96.1640625
20,1.603161096572876,0.25,0.25,1.0,0.001,1.3848135471343994,0.013852596282958984,1.4128530025482178,4620.072562046057,96.1640625
21,1.5989975929260254,0.265625,0.265625,1.0,0.001,0.9435316324234009,0.013255596160888672,1.4596030712127686,4828.149501780639,96.1640625
22,1.6015024185180664,0.21875,0.21875,1.0,0.001,1.111704707145691,0.01395106315612793,1.5078096389770508,4587.464000683585,96.1640625
23,1.6163759231567383,0.140625,0.140625,1.0,0.001,1.5474624633789062,0.014874696731567383,1.5583295822143555,4302.608729102887,96.1640625
24,1.6182101964950562,0.125,0.125,1.0,0.001,1.9438484907150269,0.013605356216430664,1.6044113636016846,4704.0297204941735,96.1640625
25,1.617432951927185,0.171875,0.171875,1.0,0.001,1.5545461177825928,0.013240337371826172,1.652653694152832,4833.713688911297,96.1640625
26,1.6009305715560913,0.21875,0.21875,1.0,0.001,0.8497729301452637,0.01325225830078125,1.69952392578125,4829.365572826713,96.1640625
27,1.6071032285690308,0.1875,0.1875,1.0,0.001,1.186774492263794,0.013241291046142578,1.7455034255981445,4833.365551514278,96.1640625
28,1.6073168516159058,0.15625,0.15625,1.0,0.001,1.0683408975601196,0.014471292495727539,1.7949638366699219,4422.548989241643,96.1640625
29,1.600365161895752,0.265625,0.265625,1.0,0.001,0.5743047595024109,0.014548063278198242,1.844695806503296,4399.210999852505,96.1640625
30,1.6011130809783936,0.203125,0.203125,1.0,0.001,1.271403431892395,0.014549493789672852,1.8940176963806152,4398.778467841049,96.1640625
31,1.5938282012939453,0.296875,0.296875,1.0,0.001,0.7839691638946533,0.01453256607055664,1.9440138339996338,4403.902221347245,96.1640625
32,1.6092455387115479,0.203125,0.203125,1.0,0.001,1.4901140928268433,0.020382404327392578,2.001094102859497,3139.963223768862,96.1640625
33,1.5867918729782104,0.21875,0.21875,1.0,0.001,1.2170159816741943,0.015156269073486328,2.0495190620422363,4222.675098316816,96.1640625
34,1.5878154039382935,0.171875,0.171875,1.0,0.001,2.311340093612671,0.013550281524658203,2.096270799636841,4723.149100890312,96.1640625
35,1.5729798078536987,0.234375,0.234375,1.0,0.001,1.2787396907806396,0.011877298355102539,2.1406161785125732,5388.430776642512,96.1640625
36,1.6059619188308716,0.234375,0.234375,1.0,0.001,1.3866333961486816,0.009702920913696289,2.182208299636841,6595.95193748925,96.1640625
37,1.5901172161102295,0.21875,0.21875,1.0,0.001,0.6020353436470032,0.013298988342285156,2.2284648418426514,4812.396127644317,96.1640625
38,1.5676320791244507,0.3125,0.3125,1.0,0.001,1.0868945121765137,0.013498544692993164,2.275230884552002,4741.251850151015,96.1640625
39,1.559484601020813,0.34375,0.34375,1.0,0.001,0.8952992558479309,0.013796567916870117,2.322737455368042,4638.834845421397,96.1640625
40,1.5855544805526733,0.25,0.25,1.0,0.001,1.6599034070968628,0.013456344604492188,2.36854887008667,4756.120765414599,96.1640625
41,1.550148606300354,0.375,0.375,1.0,0.001,1.4600811004638672,0.013863563537597656,2.418395757675171,4616.417692783931,96.1640625
42,1.5511010885238647,0.359375,0.359375,1.0,0.001,0.9598507881164551,0.01326131820678711,2.4666364192962646,4826.066232785588,96.1640625
43,1.5591721534729004,0.3125,0.3125,1.0,0.001,1.435541033744812,0.01345205307006836,2.5119524002075195,4757.63808443515,96.1640625
44,1.5914409160614014,0.25,0.25,1.0,0.001,1.091415286064148,0.01477670669555664,2.5585906505584717,4331.140985510988,96.1640625
45,1.5875325202941895,0.265625,0.265625,1.0,0.001,1.4858850240707397,0.014832258224487305,2.609736204147339,4314.919483692594,96.1640625
46,1.5825533866882324,0.265625,0.265625,1.0,0.001,1.78719162940979,0.014603614807128906,2.659109115600586,4382.476588519558,96.1640625
