drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std
0.00032451530569233,0.1067764088511467,0.15592287480831146,0.22192536294460297,-0.004696795716881752,0.01259354967623949
0.0009646339458413422,0.11307896673679352,0.1685621589422226,0.21695242822170258,-0.004985887091606855,0.013072656467556953
0.0016320206923410296,0.11346551030874252,0.17016935348510742,0.20211967825889587,-0.0049474285915493965,0.01296188123524189
0.0018941482994705439,0.11727128177881241,0.17892353236675262,0.20048850774765015,-0.005185384303331375,0.013428201898932457
0.0017232495592907071,0.1324625313282013,0.21335846185684204,0.242677703499794,-0.0062756165862083435,0.015510638244450092
0.0016667117597535253,0.1324773132801056,0.21398945152759552,0.2329193651676178,-0.006328996270895004,0.015620037913322449
0.0012312729377299547,0.13808009028434753,0.22695137560367584,0.25095534324645996,-0.0068183233961462975,0.016584303230047226
0.0013329253997653723,0.13283023238182068,0.2156437486410141,0.22110913693904877,-0.006523060146719217,0.01605525054037571
0.0009617994073778391,0.13639366626739502,0.2240993231534958,0.2303181290626526,-0.006900730077177286,0.016804704442620277
0.0015522816684097052,0.1333330124616623,0.2174299657344818,0.20518681406974792,-0.006734548136591911,0.01661555841565132
0.0011952590430155396,0.13672710955142975,0.22562579810619354,0.22847579419612885,-0.007133143488317728,0.017536288127303123
0.0013488383265212178,0.13686968386173248,0.22637106478214264,0.2249525934457779,-0.007257001008838415,0.017952773720026016
0.0013133998727425933,0.13687941431999207,0.22668389976024628,0.22178512811660767,-0.0073972116224467754,0.018349582329392433
0.0009016229305416346,0.13996605575084686,0.23397673666477203,0.2524945139884949,-0.0077963764779269695,0.019406765699386597
0.0006674404721707106,0.1422918438911438,0.23802530765533447,0.2698652446269989,-0.008082146756350994,0.020300913602113724
0.000813764869235456,0.1406366527080536,0.23457777500152588,0.24605923891067505,-0.008116761222481728,0.020410247147083282
0.0003281020908616483,0.142903134226799,0.23982393741607666,0.267610102891922,-0.008475018665194511,0.021366799250245094
0.00040504621574655175,0.14178204536437988,0.23662766814231873,0.24996253848075867,-0.008525441400706768,0.021608833223581314
-5.135375613463111e-05,0.14402198791503906,0.24145932495594025,0.2710878252983093,-0.008871346712112427,0.022611180320382118
-0.0003119730099570006,0.14470285177230835,0.24262377619743347,0.26968902349472046,-0.009103428572416306,0.02328994683921337
-0.0005210797535255551,0.14479540288448334,0.24364322423934937,0.27481552958488464,-0.009321420453488827,0.02397143840789795
-0.0005099718109704554,0.14392155408859253,0.24149781465530396,0.26477429270744324,-0.00942225381731987,0.024416333064436913
-0.0007778904982842505,0.1449873447418213,0.2422429472208023,0.2661325931549072,-0.0096343494951725,0.02516816183924675
-0.0007412921986542642,0.14327608048915863,0.23935475945472717,0.2528578042984009,-0.009715747088193893,0.025624526664614677
-0.0013558455975726247,0.14682133495807648,0.2452462613582611,0.2758733630180359,-0.010109837166965008,0.02674362249672413
-0.001612923457287252,0.14760884642601013,0.24629858136177063,0.27830076217651367,-0.010332180187106133,0.02751266025006771
-0.0014531229389831424,0.14501720666885376,0.2411121428012848,0.25316959619522095,-0.010339067317545414,0.027833620086312294
-0.0017411246662959456,0.14601154625415802,0.24241241812705994,0.2571425139904022,-0.010576926171779633,0.02866486646234989
-0.0025838708970695734,0.15080946683883667,0.25087934732437134,0.2952289581298828,-0.011065272614359856,0.030219728127121925
-0.002704403828829527,0.15018747746944427,0.24911274015903473,0.28390535712242126,-0.01119859330356121,0.030711838975548744
-0.0032700372394174337,0.15391339361667633,0.25424128770828247,0.300470232963562,-0.011566315777599812,0.032041944563388824
-0.002958767581731081,0.1498798131942749,0.2460576742887497,0.26691848039627075,-0.011484354734420776,0.032178159803152084
-0.0035695312544703484,0.15300291776657104,0.25113895535469055,0.2867256700992584,-0.011857668869197369,0.033426668494939804
-0.003981288056820631,0.1545564979314804,0.2532810568809509,0.2903275489807129,-0.012133888900279999,0.0344419963657856
-0.004230985883623362,0.1540847271680832,0.2523344159126282,0.2922248840332031,-0.012314966879785061,0.03524474799633026
-0.004338855389505625,0.15389646589756012,0.25064370036125183,0.2761242091655731,-0.012462178245186806,0.03586256504058838
-0.004604623187333345,0.15441611409187317,0.25054481625556946,0.27841225266456604,-0.01266995444893837,0.03681265190243721
-0.005073727574199438,0.15693043172359467,0.2537396550178528,0.2902258336544037,-0.012982306070625782,0.03801921382546425
-0.005390155129134655,0.15841831266880035,0.25647422671318054,0.29967883229255676,-0.01327470038086176,0.03897758573293686
-0.005668680649250746,0.1591574102640152,0.2562316954135895,0.29298850893974304,-0.01348292175680399,0.03998241201043129
-0.005873657297343016,0.15796905755996704,0.2533285319805145,0.28445371985435486,-0.013616427779197693,0.04079800844192505
-0.006469065323472023,0.16166600584983826,0.2593999207019806,0.3104463517665863,-0.014012693427503109,0.04213137552142143
-0.006835698615759611,0.16220539808273315,0.2593575716018677,0.30726754665374756,-0.014230883680284023,0.04318074509501457
-0.007080445997416973,0.16152071952819824,0.2574310898780823,0.3025447726249695,-0.014390761964023113,0.04407203197479248
-0.007448868826031685,0.16312792897224426,0.2594244182109833,0.3091144859790802,-0.014660550281405449,0.04525100067257881
-0.007521454710513353,0.16334117949008942,0.25844335556030273,0.2995893359184265,-0.01482433918863535,0.04602764919400215
-0.007809530012309551,0.1640571504831314,0.2590920627117157,0.30189797282218933,-0.015056208707392216,0.04720093682408333
-0.008400242775678635,0.16688036918640137,0.26239362359046936,0.3098004162311554,-0.01537439413368702,0.048460107296705246
-0.008710780180990696,0.16830673813819885,0.26416611671447754,0.31680944561958313,-0.015634754672646523,0.04966525360941887
-0.00836648978292942,0.16586729884147644,0.25860655307769775,0.290436714887619,-0.015662526711821556,0.050241366028785706
