step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_null_weight_mean,eval_null_severity_corr,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7141193151473999,0.0014030933380126953,,,,,,
2,0.775964617729187,0.002721071243286133,,,,,,
3,0.7813093066215515,0.0038530826568603516,,,,,,
4,0.6908457279205322,0.005433082580566406,,,,,,
5,0.6763636469841003,0.007213115692138672,,,,,,
6,0.6821825504302979,0.00840902328491211,,,,,,
7,0.6824369430541992,0.009557008743286133,,,,,,
8,0.6883357763290405,0.010631084442138672,,,,,,
9,0.6430715322494507,0.011774063110351562,,,,,,
10,0.7196294069290161,0.01308894157409668,0.5625,0.4002627730369568,0.39922869205474854,-0.045632824301719666,0.6007713079452515,0.045632798224687576
11,0.7287517786026001,0.016396045684814453,,,,,,
12,0.7278304100036621,0.01757526397705078,,,,,,
13,0.6820001602172852,0.01874089241027832,,,,,,
14,0.7042280435562134,0.019868850708007812,,,,,,
15,0.6882310509681702,0.021152019500732422,,,,,,
16,0.6999338865280151,0.02242898941040039,,,,,,
17,0.6700883507728577,0.0236661434173584,,,,,,
18,0.7178183794021606,0.024812936782836914,,,,,,
19,0.7039703130722046,0.025931119918823242,,,,,,
20,0.6683461666107178,0.02704000473022461,0.5703125,0.37320268154144287,0.39781224727630615,-0.04941301792860031,0.6021877527236938,0.04941299185156822
21,0.6784642338752747,0.03038787841796875,,,,,,
22,0.6763265132904053,0.031538963317871094,,,,,,
23,0.6975148916244507,0.03274393081665039,,,,,,
24,0.6960499286651611,0.033895254135131836,,,,,,
25,0.7002243995666504,0.035128116607666016,,,,,,
26,0.6586894392967224,0.03632521629333496,,,,,,
27,0.6748878359794617,0.03753209114074707,,,,,,
28,0.669521689414978,0.0388331413269043,,,,,,
29,0.6985771656036377,0.03996896743774414,,,,,,
30,0.6483906507492065,0.04112887382507324,0.59375,0.35078856348991394,0.3962739408016205,-0.05280456319451332,0.6037260293960571,0.052804555743932724
31,0.6872287392616272,0.04450511932373047,,,,,,
32,0.6840733289718628,0.04581308364868164,,,,,,
33,0.6583267450332642,0.0472712516784668,,,,,,
34,0.6440894603729248,0.048490047454833984,,,,,,
35,0.6531156897544861,0.04971504211425781,,,,,,
36,0.6703799366950989,0.05092501640319824,,,,,,
37,0.6896187663078308,0.05305314064025879,,,,,,
38,0.6788614392280579,0.05444812774658203,,,,,,
39,0.6768999695777893,0.05637025833129883,,,,,,
40,0.6605104207992554,0.05779004096984863,0.6171875,0.3213990330696106,0.39432859420776367,-0.05569193512201309,0.6056714653968811,0.05569189041852951
41,0.6796263456344604,0.06240105628967285,,,,,,
42,0.660743772983551,0.06395101547241211,,,,,,
43,0.6615577936172485,0.06533098220825195,,,,,,
44,0.6328045725822449,0.06676721572875977,,,,,,
45,0.6471235156059265,0.06856107711791992,,,,,,
46,0.6534764766693115,0.0706019401550293,,,,,,
47,0.6412813067436218,0.07211494445800781,,,,,,
48,0.6588343381881714,0.07353901863098145,,,,,,
49,0.6596970558166504,0.07494902610778809,,,,,,
50,0.6593707203865051,0.07947015762329102,0.65234375,0.2914513945579529,0.3919696807861328,-0.05888207629323006,0.6080303192138672,0.058882102370262146
